,content,,,,,,,,
424,스토리도 좋은 명작공포영화,,,,,,,,
425,한국의 공포영화적인 시나리오와  연출,,,,,,,,
426,줄거리 연기 ost 다 좋다.. 마지막 노래 나올때는 소름..,,,,,,,,
427,희대의 명작 돌이킬 수 없는 걸음은 잊을 수가 없음,,,,,,,,
428,내용도 내용이지만  이런 캐스팅이 또 나올 수가 있을까; 문근영 임수정 염정아 한창 물 올랐던 시절...,,,,,,,,
429,공포는 거들뿐. 아직까지도 여운이 가시질 않는다,,,,,,,,
430,10점이다,,,,,,,,
431,상상할 수 있는 가장 큰 슬픔. 눈물조차 나오지 않을 정도로 슬픈.,,,,,,,,
432,가히 염정아의 연기는 급을 매기기가 어렵다..,,,,,,,,
433,한국영화 최고..숨겨진 의미 알고봐야 재미있다.,,,,,,,,
434,수작 무슨 말이 더 필요할까?,,,,,,,,
435,내가 어려서 무서웠던게 아니라 그냥 명작,,,,,,,,
436,무서운것보다 슬픈영화. 이런 명작안나옴... 이런여운을 이끌어낼 수있는 공포영화가 또 나올 수있을까? Ost,,,,,,,,
437,가슴이 저리도록 아픈 영화.  누구도 눈물을 강요하지않는다. 그래서인지 가슴깊은곳에서 슬픔이 밀려온다. 장르적 특성을 떠나서 잘 만든 명작영화.,,,,,,,,
438,수미가정신병을앓기전에느꼈을공포를생각해봐라 사랑하는여동생이죽어가는동안자기는엄마노릇하는여자에대한증오만을느끼면서 집에서부터멀리떠났다 얼마나공포스러웠을까사랑하는여동생의괴로움은알지못하고구해내지도못했다는게 죄책감이라던지모든감정...,,,,,,,,
439,렛미인의 원작자인 작가가 가장 좋아하는 영화가 한국영화인 이 영화라고 했을땐 이걸 보기 전이라 의아했지만,,,,,,,,
440,대단한 작품이다김지운감독의 대표작으로뽑고 싶다,,,,,,,,
441,영상 음악 스토리 배우 완벽했다,,,,,,,,
442,슬퍼서 더 무섭고 여운이 길었다. 다시 생각하면 할수록 더 진해지는 여운. 혐오감없이 심리적으로만 공포를 극대화해서 좋았고,,,,,,,,
443,아름다운 두 자매,,,,,,,,
444,보면 볼수록 참 잘만들었다,,,,,,,,
445,내가 생각하는 최고의 한국 공포영화.슬프고 아름다운 명작.,,,,,,,,
446,영화중반까지는 지루했지만,,,,,,,,
447,죄책감과 슬픔으로 병든 음울한 공포. 미장센의 아름다움보다 피해자가 가해자처럼 살아가야 하는 부조리가 더 와닿았다,,,,,,,,
448,진짜 이거 잘만든것 같아 시간이 지나도,,,,,,,,
449,마지막에 전율이란 정말 명작,,,,,,,,
450,한국 공포영화중 가장 잘만드 작품,,,,,,,,
451,결국 모든게 불륜이 문제. 아빠가 제일 쓰레기.. ㅠ 진짜 명작.. 무섭긴 하지만 다 보고나면 장르가 새드로 바뀌는 영화,,,,,,,,
452,장인의 손길이 느껴지는 미장셴,,,,,,,,
453,처음 남겨보는평점.. 그정도로 너무 좋았던영화. 이걸왜 이제야봤을까,,,,,,,,
454,너무 슬픈 영화다 눈물이 날 정도로,,,,,,,,
455,작품성 있는 한국 공포 영화로는 단연 톱. 아직까지도 장화,,,,,,,,
456,월메이드 공포란 이런 것이구나!,,,,,,,,
457,흥미위주의 공포물을 찾는분껜 무조건 비추.  해석을 봐야  뜻을 이해하는 부류의 영화입니다. 보시는 분들은 참조하시길. 해석좋아하시는 분들껜 강추. 재미를 찾으시는분껜 비추입니다. 재미는 보통입니다.,,,,,,,,
458,근데 영화정보에 관객수가 왜 25명 이예요?,,,,,,,,
459,역시 존재하는것중 가장 무서운 것은 <돌이킬 수 없다>는 것이다마지막 임수정이 자신집 문을 박차고 나올때 나오는  메인테마곡 <돌이킬 수 없는 걸음>- 온 몸에 소름이 쫙- 진심 혹한의 추위처럼...,,,,,,,,
460,관객수 25명은 뭐냐??ㅡㅡ극장에서 볼때만해도 25명은 넘었는디 네이버는 역시 개구나,,,,,,,,
461,우아한 공포영화의 대명사,,,,,,,,
462,모든 면에서 레전드그냥보세요 지려요,,,,,,,,
463,,,,,,,,,
464,무서운 장면 억지 연출 없이 분위기 자체가 무서운 영화..배우분들 연기도 너무 잘하고 반전까지 다 잡은 영화. 너무 인상깊게 잘 봄,,,,,,,,
465,수많은 국산공포영화중 몇안되는수작,,,,,,,,
466,섬세하게 묻어난 잔혹 동화,,,,,,,,
467,많은 짝퉁을 만들어낸 한국호러영화 완벽한 레전드 명작,,,,,,,,
468,귤 까먹으면서 보다가 객사할 뻔,,,,,,,,
469,,,,,,,,,
470,너무무서워ㅠ요ㅜㅜㅜ악마를 보앗다도 재밌었늠데 김지운 감독ㄴㅁ 최고~,,,,,,,,
471,,,,,,,,,
472,영화에 대해 잘 모르는 사람이 단순 재미도만으로 주는 평점입니다,,,,,,,,
473,,,,,,,,,
474,누구나 마음속 깊은 곳에 아이 한 명은 품고 살아간다..,,,,,,,,
475,,,,,,,,,
476,,,,,,,,,
477,이 영화가 나온지는 OOO이 지났지만 아직도 많은 사람들이 이 영화를 꼽는 이유가 있다 특유의 공포스러운 느낌은 가히 독보적이다 다시 봐도 명작,,,,,,,,
478,무섭지 않은 것같으면서도 무서운.,,,,,,,,
479,이시대 이정도면 떡상이지,,,,,,,,
480,별점만주고싶은데 왜자꾸 글을 적으라고 그래!!,,,,,,,,
481,영화지금합니다임수정누나누나좋아합니다,,,,,,,,
482,다소 억지스런 부분과 공포스런 장면이 조금 더 있었으면.. 하는 아쉬움은 있지만 배우들의 명연기와 긴장감은 눈을 못 떼게 한다..,,,,,,,,
483,개인적으로 공포 영화중 단연 최고 ㅜㅜㅜ,,,,,,,,
484,,,,,,,,,
485,공포영호인 것보다도 넘 슬프고 비극적 ㅠㅠ 돌이킬 수 없는 걸음 미쳤다..ㅠ,,,,,,,,
486,유쥬얼서스펙트의 반전은 오히려 일상적인,,,,,,,,
487,,,,,,,,,
488,,,,,,,,,
489,,,,,,,,,
490,,,,,,,,,
491,,,,,,,,,
492,,,,,,,,,
493,우리나라도 이런 영화가 있었구나...  좋은 영화! 완벽!,,,,,,,,
494,그냥 내 생애 최고 공포영화.다시 봐도 재미있다.1년에 한두번씩은 꼭 다시 보게 되는 영화.,,,,,,,,
495,아안알앟와,,,,,,,,
496,,,,,,,,,
497,,,,,,,,,
498,,,,,,,,,
499,,,,,,,,,
500,수미의 돌이킬 수 없는 발걸음,,,,,,,,
501,어렸을 때는 그저 무서운 영화인 줄 알았던,,,,,,,,
502,돌이킬 수 없는 걸음이 엔딩곡이 계속 기억에 남는 영화,,,,,,,,
503,평점 10점의 영화 한국 공포 영화 중 최고,,,,,,,,
504,다 하나 빠질것없이 재밋던영화..,,,,,,,,
505,,,,,,,,,
506,너 지금 이 순간을 후회하게 될 지도 몰라. 명심해,,,,,,,,
507,,,,,,,,,
508,다시봐도 너무 재밌었어요김갑수님 염정아님 문근영님 연기는 정말 예술이었어요음악도 너무 좋고...슬프면서 아름다운영화,,,,,,,,
509,너무무서웠어요 ....잠을못자겠어요,,,,,,,,
510,,,,,,,,,
511,,,,,,,,,
512,소름이 싹돋노..,,,,,,,,
513,,,,,,,,,
514,,,,,,,,,
515,말이 필요 없다. 장화,,,,,,,,
516,이거 너무 무서우뮤ㅠㅠ 근데 뭔가 잼이땅,,,,,,,,
517,,,,,,,,,
518,,,,,,,,,
519,,,,,,,,,
520,,,,,,,,,
521,찬란하고 비극적인 영화,,,,,,,,
522,아직도 침대 아래를 잘 못쳐다본다. 다시 보고 싶다는 생각이 안드는 무서운 영화.,,,,,,,,
523,,,,,,,,,
524,나는 이영화가 제일 좋아 사랑해,,,,,,,,
525,,,,,,,,,
526,나 난치성 딸꾹질있는데 보통 한번하면 2.3일감근데 당일날 영화 초반부에 바로 멈췄음..그만큼 무서운영화 효능최고임,,,,,,,,
527,,,,,,,,,
528,2003년작인데도 임수정때문인지 역시 명작이다. 너무 예쁘다.,,,,,,,,
529,그냥 공포영환줄 알고 이해도 못한거였음. 띵작이다.,,,,,,,,
530,,,,,,,,,
531,,,,,,,,,
532,,,,,,,,,
533,ㅁㅊ 평점 10점 처음 본다.,,,,,,,,
534,공포영화 뿐만 아니라 전 장르 최고의 영화!,,,,,,,,
535,최고의 ost... 슬프다.,,,,,,,,
536,볼 때마다 새롭게 무섭다,,,,,,,,
537,연출,,,,,,,,
538,지금봐도 고궐리티 영화...임수정 연기에 또 반하고 명배우 집합 공포영화,,,,,,,,
539,꼭보세요꼭꼭!!!!,,,,,,,,
540,으  무서워 다운받아 봤어요,,,,,,,,
541,공포도 공포지만 결론은 심리극,,,,,,,,
542,내가 이걸 친구들이랑 중학교때 직접 돈 주고 본 처음이자 마지막 공포영화였는데 무섭지만 여운이 남는 영화였음...노래가 아직도 기억나네요,,,,,,,,
543,되게 기분 나쁘고 잘 만들어서 되게 기분 좋은 전율,,,,,,,,
544,학생때 극장에서 봤다가 똥지릴뻔한 영화,,,,,,,,
545,14년 정도가 지났지만 꿀잼임,,,,,,,,
546,2003년 15살때 개봉 하자말자옆반 짝사랑 했던 여자애랑 보러 갔었던..^^아름다운 영상미..무섭지만 슬펐던..그리고 마지막에 수미가 집에서 나올때 음악..모든것이 완벽했었던 영화.10점 만점 입니다^^,,,,,,,,
547,염정아와 감독의 슈퍼플렉스,,,,,,,,
548,ost부터 영상미 그 모든 것이 생생하게 기억나서 최근도 가끔씩 찾아본다. 이거 처음 본 게 완전 땅꼬마 시절인데 그럼에도 영화 내용의 반전이 잊혀지지 않아서 어른되서도 찾게 되더라. 벌써 10년도 더 지난 영화인데...,,,,,,,,
549,보색패턴들이 더욱 분위기를 고조시킨다. 한국 공포 영화 하면 무조건 꼽혀야 하는 영화라고 생각한다 ㅠ ㅠ,,,,,,,,
550,재밌네...음 기분이 이상하네,,,,,,,,
551,13년도 고등학생때봤는데 내용이 생각이 안나서 다시금 찾아봤는데,,,,,,,,
552,정말 ost와도 잘 어울리고 후반부로 갈수록 소름돋는 영화였어요 영화의 분위기와 영화 해석을 보면서도 여운이 매우 길게남고 갑툭튀나 귀신이 나오는건 거의 없지만 정말 무서웠던 영화 제 인생 공포영화입니다...!짱,,,,,,,,
553,웰메이드 공포영화. 무섭고 스토리도 좋고 배우들 연기도 뛰어나지만 미쟝센과 돌이킬수 없는 걸음 OST가 너무너무 뛰어나다.,,,,,,,,
554,한번보면 찝찝한 그래서 돌려보게 되는 공포영화  걸작이라 불릴만하다,,,,,,,,
555,최고의 공포영화...,,,,,,,,
556,3번 보고서야 알아챘다,,,,,,,,
557,돌이킬 수 없는 걸음부터 시작된 이야기.. 공포못봐서 안보려했는데 하도 꼭봐야되는 영화로 많이 회자되서 무서운부분은 눈감고봤는데 와..근데 두번째 베댓 왜 김갑수 염정아냐 캐스트올라가는건 임수정 염정아 김갑수 문근영...,,,,,,,,
558,내가남긴  시대가  이십이세기다,,,,,,,,
559,몇번을 봐도 멋진영화 강추,,,,,,,,
560,어릴때무서워서 안봤는데 지금보니 왜 이제서야 봤나싶네,,,,,,,,
561,관객수 25명?네이버 영화정보 똑바로 올려라.좋은영화를 망작으로 만들지말고,,,,,,,,
562,다시보아도 최고 공포영화!!,,,,,,,,
563,한국공포영화중 몇 안돼는 수작!,,,,,,,,
564,외국에 식스센스가있다면 한국에는 장화홍련이있다,,,,,,,,
565,이 영화 나왔을 때가 한국 영화계와 공포영화계 전성기 때였지...,,,,,,,,
566,관객수가 25명..!?!?!?!?!?!,,,,,,,,
567,영상미,,,,,,,,
568,진짜 스토리 복선 배우들의 연기 배경음악과 배경 모든것이 완벽한 한국스릴러의 명작..,,,,,,,,
569,굳 1ㅔ자 채우기 매우굳,,,,,,,,
570,진짜 수작입니다. 이런 공포영화 제발 다시 만들어 주세요 ㅠㅠ흑ㅎ륵,,,,,,,,
571,왜 8점대지 9점대 후반이어도 이상하지 않은 작품인데...?,,,,,,,,
572,반전을 위한 반전이 아닌 의미 있는 반전. 또한 반전을 제외하고도 영화 퀄리티가 좋다. 디테일한 연출이나 영상미 도 뛰어남.,,,,,,,,
573,이건 원래 호불호가 강한 영화임 나도 처음엔 이게 뭐가 무섭다고..이생각하다가 지금은 제일 기억에남고 무서운공포영화인듯,,,,,,,,
574,아 티비에서 하길래 영화 끝날때쯤부터 보고 있는데 무서워...,,,,,,,,
575,53 25 26 27 28,,,,,,,,
576,이런 영화가 또 나올 수 있을까...,,,,,,,,
577,한국영화 중 영상미와 분위기가 가장 아름다운 영화,,,,,,,,
578,영화의 서늘한 분위기와 예쁜 색감의 미장센이 어울어지면 꽤나 인상적인 장면들이 속출한다. 배우들의 연기마저 만족스러웠다.,,,,,,,,
579,정말 수작이다. 내용을 전부 알고 봐도 봐도 잘 만들어진 영화.,,,,,,,,
580,본중에 최고로 슬프고 아름답고 반전 있는 공포영화,,,,,,,,
581,이것보다 더 무서운 영화 있으면 나와보라고해!! 아직도 닭살 돋는다.,,,,,,,,
582,한국공포영화치곤 세련되게잘빠진작품이다 연기력도지리고 연출도 장난아님,,,,,,,,
583,내가 본 한국 최고의 공포영화.,,,,,,,,
584,이 영화는 전설이 될 것이다.,,,,,,,,
585,내 인생 손에 꼽는 공포영화 중 하나... 공포영화는 이렇게 분위기로 사람을 압도해야지,,,,,,,,
586,김지운감독은 천재인듯! 다시봐도 질리지 않는다! 대박 잘 만든 영화! 진심 소름돋게 무서버 ㅠㅠㅠㅠ 연출 연기 음악 인테리어 등등 어느것 하나 빠지지 않는 완벽한 영화?? 재상영 했으면 좋겠댜??,,,,,,,,
587,반전을 보고나서 한번더보니 백프로 이해가 가네요,,,,,,,,
588,미장센도 좋고 음악도 좋고.. 배우 연기 감독연출 뭐하나 빠지는것이 없는 인생영화.,,,,,,,,
589,와 진심 지금 봐도 존니무섭다 ㄷㄷ.,,,,,,,,
590,눈물을 흘리면서 볼수 있는 단하나의 공포영화 정말 그어떤 새드무비보다 슬프고도 아름다운 영화,,,,,,,,
591,가잔 처음 본 공포영화 그러다 보니 공포영화에 대한 깐깐한 잣대가 생겼다,,,,,,,,
592,매번 다시 찾아보는 영화 정말 좋은 영화입니다.,,,,,,,,
593,이영화는 음악이 한몫 하는것같다. 무려 10년이 지난 영화인데도 지금 다시봐도 명작이라고 나올만하다 .. 한국에서 만든 영화치고 잘나왔다고 생각함,,,,,,,,
594,엄청 어린시절 초등학교때 언니들이 보는거 잠깐보고 충격먹어서 한국공포영화 아직까지도 못보고있는...,,,,,,,,
595,재밌어요 재밌어 아주 재미써용,,,,,,,,
596,공포영화 싫어하는데 10,,,,,,,,
597,당시에 개봉 하자마자 보러 갔는데 배경이나 효과음 그리고 시나리오가 탄탄한 영화라고 생각됩니다.,,,,,,,,
598,각기귀신 나오는 장면은 평생 안잊혀질듯..결말을 알고 보면 더 재미나고 슬픈 영화..,,,,,,,,
599,미장센 공포영화의 최고봉,,,,,,,,
600,이 영화를 왜 지금봤는지 모르겠네요... 공포물로 하자면 저한테는 별로인 부분이 많았지만 영화 자체는 정말 좋았습니다.,,,,,,,,
601,애들도 볼수있고  좋은듯해요 ㅎㅎ,,,,,,,,
602,학창시절때 봤는데 아직도  ost랑  영화속인테리어와 소품들 영상이 기억이 난다.  전문가 평점은 낮았던걸로 기억하는데 나에게 있어선 명작이였다. 너무 애잔했어.,,,,,,,,
603,장화 홍련 진짜 개쩌는 공포영화 스토리 연기 영상미 음악 영화의 전반적인 분위기까지 뭐 하나 빠지는게 없음!!! 그리고 임수정과 문근영의 미모가으ㅓㅇ엉엉,,,,,,,,
604,그냥 스토리구성이 좋았던 공포영화인데 그달리 무섭지도 않음 ㅡㅡ 그래도 영화는 볼만 함,,,,,,,,
605,아름답고 예쁘고 무섭다... 최고!,,,,,,,,
606,그때도 지금도 앞으로도 슬프고 무섭고 아름다울 영화,,,,,,,,
607,무섭고,,,,,,,,
608,잊으려고 할수록 뱀처럼 온몸을 더욱 조여오는 기억이란 괴물,,,,,,,,
609,아름답고,,,,,,,,
610,분위기가 신비롭고 아름다운 공포영화,,,,,,,,
611,염정아 연기 진짜 잘함..,,,,,,,,
612,가슴 저미게 슬프고 반면 아름다운 배경 속에 펼쳐지는 잔혹한 이야기가 두고 두고 여운에 남을 것 같다.,,,,,,,,
613,굳굳구두구두구ㅜ구구두ㅜ두구구구ㅜㅜ꾸굳,,,,,,,,
614,당시 극장에서 보고 여운이 한참갔는데...ost도 최고,,,,,,,,
615,한국적 정서의 공포영화 중 최고의 반열에 오를 작품. 애절하고 슬픈가운데서 공포를 느끼게 하는 미묘한 느낌이 좋다.,,,,,,,,
616,12년 전 영화관에서 보고 여태까지 잊혀지지 않는 영화 공포영화지만 슬프고 아련한 마음이 더 남는다,,,,,,,,
617,공포영화도 이렇게 우아하고 예술적일수있다는걸 보여준 걸작. 음악 영상미 스토리 어느것하나 빠지는것없는 찌댕 감독이 미쳤따,,,,,,,,
618,지루하게하지 않고 또 너무 놀래키지 않았던 영화 반전만 생각하면 아까운 영화 반전의 숨겨진 뜻을 이해하면 한 없이 슬퍼지는 영화,,,,,,,,
619,공포영화가 이렇게 아름답고 쓸쓸할수 있을까..,,,,,,,,
620,중학교 때 본 공포영화지만 가슴아프고 먹먹한 영화..영상,,,,,,,,
621,명작 이 한마디 ....,,,,,,,,
622,돌이킬 수 없음을 알면서도 결코 놓지 못하는 수미의 고통과 사랑이 생생히 전해지는 영화.. 엔딩에서 여운이 터짐 ㅠㅠ,,,,,,,,
623,명실상부 한국 최고의 공포영화. 스토리,,,,,,,,
624,문근영을 처음 알게된 역사적인 영화,,,,,,,,
625,정말 여운이 남는,,,,,,,,
626,정말 최고. 잔혹하고 아름다운 공포영화.,,,,,,,,
627,분명히 공포 영화인데 공포나 잔인함보다 우아함과 슬픔,,,,,,,,
628,소녀의 절규가 들리는 장농,,,,,,,,
629,이걸 왜이제야봣을까  정말 한국영화답지않게 전개성과긴장감   배우들의연기력  굿굿 역시김지운감독님 최고,,,,,,,,
630,음향효과부터 카메라 영상 해석까지 너무 재밌고 신선하게 봤어요. 진짜 비젬은 짱인듯,,,,,,,,
631,지독히도 깨끗이 지워 버리고싶은 기억이 있는 누군가가 할 수 있는 최후의 발악.,,,,,,,,
632,이해하고 보면 평점이 1점 정도 올라가는 영화.,,,,,,,,
633,절정에서 마지막까지 연기 음악 분위기 영화관에서 전율느꼈는데.   전율느끼게해주는영화 또 나왔으면좋겟다,,,,,,,,
634,공포영화로서도 훌륭하고,,,,,,,,
635,와 진심 할말을 잃었슴다.. 12년전 영화를보고 이렇게 가시지않는 긴여운과 짠함이 밀려오는 공포영화라니요.. 와.. 참..,,,,,,,,
636,무섭긴한데 먼가 허무하고 아쉬운..,,,,,,,,
637,아름다운 음악과 영상미가 넘쳐나는 최고의영화다마지막에 여운도많이남고.. 공포영화를 뛰어넘는 특유의 미쟝센과 아름다움이 묻어난다.,,,,,,,,
638,놈놈놈,,,,,,,,
639,아름다운 미장센을 가득 머금은 처연한 호러,,,,,,,,
640,오늘 엘지유플러스로  장화,,,,,,,,
641,내인생 최고의 슬픈 공포이야기특히 음악과 미장센이..최고,,,,,,,,
642,아름답고 슬프며 처연하다..색감 연출 음악 모두 훌륭하다,,,,,,,,
643,완벽에 가까운 미장센과 연기.그리고 조명은 첫장면을 보자마자  관객의 눈을 사로잡는다.  샤이닝이후 이렇게 강렬한  미장센의 공포영화는 첨인듯.아니 공포영화가 아닌가? 슬픈데?,,,,,,,,
644,10년이 지나도 여전히 가슴먹먹해지는 영화공포영화를 싫어하지만 이영화는 매년마다찾고 보게된다  내인생작품 염정아의 소름끼치는 연기가 아직도 기억에 남는다,,,,,,,,
645,나이먹고 나서 다시 보니 정말 슬프기만 한 영화..,,,,,,,,
646,어렸을때 이걸보고 왜 무서워했는지 이해가 안가네요 ㅋㅋ,,,,,,,,
647,무섭다.. 많이무서웠다.. 근데 임수정은 예뻣다,,,,,,,,
648,장화홍련에  갑자기 귀신은 없고  윗층에서 문짝이 갈라지며어떻게 문짝이  닫힐까..그게 참 신기함.그리고 그욕조에 귀신의 쥐꼬린지 저고린지  잘은 뭐르지만  참그런것도 커텐에 올라가는 모습 참 무서움. 요플레 먹는 ...,,,,,,,,
649,대박이다진짜..이런영화가잇다니,,,,,,,,
650,영화가 끝이 나고 나서 더 슬퍼지는 영화. 장화,,,,,,,,
651,12년이 지나는 지금에서 봐도 정말 유치하지않고 명작이다. 초등학교때 생일날 처음극장가서 본 영화.. 음향감독이 한몫했다. 또 나중에 볼때 느낌이 다르겠지?,,,,,,,,
652,음산한 배경과 사운드가 한국 공포영화의 표본을 보여주는것 같아서 좋았다. 하지만 전체적으로 루즈하게 흘러가는 전개때문에 지루해질수도 있다.,,,,,,,,
653,이런 영화 또 나올 수 있을까.,,,,,,,,
654,아름답고 깔끔하고 잔혹한.. 잔잔하지만 무거운..,,,,,,,,
655,공포영화는 대게 한 번더 보고 싶지 않은 경향이 있는데 이 영화는  한 번 더 봐야 완벽히 이해되는 a급영화  한국 공포영화중 최고의 반전이 제일 매력적이었음ㅋㅋ,,,,,,,,
656,공포인것 같은데,,,,,,,,
657,공포영화라기 보다는 잔혹예술영화라고 보는게 맞을 듯. 배경화면의 색감이 특히 기억에 남는다.,,,,,,,,
658,머리크고 나서 보니 이해가 되네요.연출도 배경음악도 아주 좋은것같아요!!!진짜너무너무재밌게봤어요 ...임수정팬될것같음..,,,,,,,,
659,여운 쩐다 ㅠㅜㅜ 지금봐도 세련되고 고품적인 공포영화 ㅠㅠㅠ,,,,,,,,
660,이건 공포영화가 아니고 예술영화같다. 엔딩이 이렇게 여운남는 영화는 진짜 오랜만임,,,,,,,,
661,10년도 더 전에 극장에서 봤지만 아직도 기억이 생생한 영화. 스토리(반전?)와 ost가 돋보였던 영화다. 몇 년 후에 극장에서 재개봉한다면 보러갈 의향 200%!!,,,,,,,,
662,우리나라 영화 마장센중 최고!! 반전 ㄷㄷㄷ,,,,,,,,
663,생각해 볼 수록 무서운 영화,,,,,,,,
664,OO전에 봤는데 아직까지 내 최고의 공포영화로 기억되는 장화홍련!! 또 다시 보고싶네요~,,,,,,,,
665,한때 국민 여동생이었던 문근영의 어린시절모습을 볼 수있는 영화!잔인함만을 강조한 공포영화가 아닌슬픔이 가미되어 차별화된 영화!거기에 아름다운 영상미는 플러스!,,,,,,,,
666,이영화를 지금이라도 본게 정말 다행이다.. 김지운 감독을 다시보게됨..,,,,,,,,
667,진짜 명작이다...공포영화 마니아들은 이것 먼저 봐야지 다른 공포영화를 평할 자격이 주어진다고 생각,,,,,,,,
668,반전에반전을거듭한 결말이 그럴거라곤 상상도 못했던 최고의 영화!추천합니다,,,,,,,,
669,고전이란 모티브만 빌려와서 더 좋았던 듯,,,,,,,,
670,공포영화는 동양이 잘만듬ㅋ,,,,,,,,
671,내 인생 최고의 공포영화!,,,,,,,,
672,이 영화 하면 나무 계단을 오르는 장면의 이미지가 떠오른다. 웬지 아름다운 기억이였더랬지.,,,,,,,,
673,초등학교 저학년때 본 영화인데 장면장면이 여전히 기억에 남는다. 영화 중반의 그 목 꺾인 귀신? 생생한데.. 영화 ost가 영화의 분위기를 자아내는것도 없지않아있었음..,,,,,,,,
674,마지막에 수미가  집을나올때 흘러나왔던 돌일킬수없는걸음은   영화가끝난후에도 잊혀지지않았슴  한국공포영화중 최고,,,,,,,,
675,이 명작을 이제야 봤다니.. 많은 한국 공포 영화를 봤는데 이 영화를 본 이후 다 쓰레기 였다고 생각한다. 음악과 스토리 영상미 모두 완벽,,,,,,,,
676,볼 때마다 느낌이 달라지는 몇 안되는 명작영화중 하나,,,,,,,,
677,한국 공포영화계에 획을 그었다,,,,,,,,
678,무섭기보단 슬픈영화 (근데 왜우리나라에선12세인데 해외에서는 r이지?,,,,,,,,
679,확 몰아치는 공포보다는 잔잔히 파고드는 공포심이 더 공포스러움을 보여주는 작품,,,,,,,,
680,6 8 10 복잡다단한 내용으로 적당히 흥미를 돋구면서 산뜻한 음악으로 기분좋게 긴장을 풀어줌. 이 영화하면 자매애,,,,,,,,
681,예전에 이거보고 자꾸 생각나서 잠못잤던.. 지금은 다시 보고 싶네.. 음악도 멋지구리. 이젠 귀신도 전처럼 안무섭고..음악이 우울해서 영화가 보고싶어졌다..ㅜ.ㅜ,,,,,,,,
682,초등학생때친구2명데리고엄마하고,,,,,,,,
683,요즘엔 이렇게 못만드나? 공포영화가 재미가 없어ㅜ,,,,,,,,
684,정말 좋다..,,,,,,,,
685,무섭다 진심,,,,,,,,
686,한국 공포영화계의 바이블!,,,,,,,,
687,굿,,,,,,,,
688,영화가 단순한 이야기와 플롯이 아니라는 걸 알게 해준 영화. 촬영과 음악,,,,,,,,
689,몇 년 전에 본 영화인데 지금까지 기억에 남아있었어요ㅋㅋ 제가 공포영화를 잘 못 보는 편인데 이 영화는  끝까지 봤더라구요ㅋㅋㅋ 그만큼 재미있더라구요,,,,,,,,
690,우아하고 아름다운 최고의 공포영화!,,,,,,,,
691,레전드 한국 공포영화.. 과연 언제 또 이런 공포영화가 나올지..,,,,,,,,
692,최고~☆,,,,,,,,
693,단언컨대 한국 공포영화중 탑인듯,,,,,,,,
694,쩐다ㅜㅜ,,,,,,,,
695,秀作,,,,,,,,
696,ost제목이 돌이킬수없는 걸음 이더군요... 마지막 수미가 집에서 멀어져갈때 나오는 ost를듣고 전율이..ㅠㅜ연출참잘한거같은..,,,,,,,,
697,GOOD!!,,,,,,,,
698,보면 볼수록 슬프다,,,,,,,,
699,이 영화를 보고 많은 것을 배웠습니다!! 이렇게 할 수도 있구나...,,,,,,,,
700,아름답다. 공포영화가 이렇게 아름다워도 될까 싶을정도로 시각적으로 아름답다. 게다가 이병우감독의 노래까지 더해져 분위기는 절정으로 이끌고,,,,,,,,
701,최고의영화,,,,,,,,
702,먹먹해지는 공포영화‥ 보고나서 여운이 가시지않았다ㅠ,,,,,,,,
703,김지운 최대의 역작!,,,,,,,,
704,이거 너무 슬퍼...ㅠㅠ,,,,,,,,
705,정말 최고...정말정말최고...엔딩에서의 음악과 장면은 정말 최고였다,,,,,,,,
706,이래야 공포영화지.,,,,,,,,
707,10년이 넘어도 내가 본 공포영화 중 단연 1위,,,,,,,,
708,몇 안되는 한국 공포,,,,,,,,
709,내가 본 영화중 가장 최고,,,,,,,,
710,꼭 집고넘어가야하는 한국공포영화.,,,,,,,,
711,본 공포영화중 쵝오~,,,,,,,,
712,진짜 시간이 이리 짧게 지나갈 줄이야.............................,,,,,,,,
713,정말재밋게봣어욤!!,,,,,,,,
714,이 이상의 공포영화는 나오지 않을듯..,,,,,,,,
715,잘 만든 반전 영화의 공통점은 명작과 같이 세월이 흘러도 잊혀지지 않는다는점.,,,,,,,,
716,볼 때마다 새로운 것을 보여준다,,,,,,,,
717,역대 한국공포영화 최고의 캐스팅,,,,,,,,
718,소름돋아요,,,,,,,,
719,배우들을 보는 즐거움과 꽤 깔끔한 연출과 스토리는 역시 김지운 영화라는 생각이 든다,,,,,,,,
720,영화 곳곳에 김지운 감독의 섬세함이 많이 묻어 남.음악이 (이병우 - 돌이킬수 없는 걸음) 대박!!,,,,,,,,
721,아 내멘탈....,,,,,,,,
722,잔인함 기대했던 Me,,,,,,,,
723,영상미 멋지고 ost 진짜 좋다ㅜㅜ,,,,,,,,
724,김지운감독은 영화는잘만든다. 하지만 거품이꼈다 역대한국공포영화는 여고괴담.기담.장화홍련.알포인트가평이좋음,,,,,,,,
725,10년이 지난 후 다시봤는데도 참 괜찮은 영화다,,,,,,,,
726,무섭지만 내용이굿굿굿,,,,,,,,
727,초등학생때 친구들하고 엄마하고 같이 봤었던영화~오랜만이네~또다시보고싶다ㅎㅎ초등학생때는 진짜무서웠는데 그래도 많이는 재미있게 봤음~,,,,,,,,
728,새벽에 혼자봣는데 무서워서 죽는줄... 오늘은 엄마와 자야지~,,,,,,,,
729,울나라 공포영화중 최곤듯....,,,,,,,,
