,content,,,,,,,,
1061,좋은 발상에서 끝맺음이 쥑이네,,,,,,,,
1062,이건 별 반개도 아깝다 뭘얘기하자는건데 죽고싶냐?,,,,,,,,
1063,말이 필요없는 공포영화,,,,,,,,
1064,정말 긴장하면서 봤다. 배우들 연기또한 너무 소름돋을정도,,,,,,,,
1065,여배우 연기도 좋았고 악령에 대해서 생각하게 만든다. 갠적으로 기독교라 그런지,,,,,,,,
1066,이런식의 소재도 이영화의 개성중 하나아닐까?,,,,,,,,
1067,이런게 공포지,,,,,,,,
1068,이영화는 공포만을 보여주는게 아니었다.,,,,,,,,
1069,너무 재미있게 봤어요…보는 내내 엄청 쫄렸어요,,,,,,,,
1070,링과 맞먹는 공포물,,,,,,,,
1071,보는내내 긴장긴장긴장,,,,,,,,
1072,금방 내리질않길,,,,,,,,
1073,이건 별 1도 아까워 진짜 내 눈을 의심케하는 짜증나고 더러운 영화 내눈에게 미안해,,,,,,,,
1074,임산부나 노약자는 삼가해주시길,,,,,,,,
1075,공포영화에 많이 무뎌져있었는데 오랜만에 오싹오싹하게 만든 영화임.,,,,,,,,
1076,공포가 피부로 와닿는다.,,,,,,,,
1077,진짜재미없다 한국공포영화보다 더재미없는듯,,,,,,,,
1078,혹시나 하고 봤더니 역시나 페이크다큐는 이제 그만 만들어라,,,,,,,,
1079,넬! 루이스! 카메라 꺼! 케일럽! 끄아아아아악!! 이게 다임 진짜 진심 오늘 봄,,,,,,,,
1080,진짜 많은 엑소시스트 영화를 보았지만이영화는좀허구적인 내용이많이 포함됀 듯하다,,,,,,,,
1081,정말 허접하다 뭐이래 영화가 정말 막장인데 돈 아까워요 ㅠㅠ,,,,,,,,
1082,영화라고 생각하고 보면 하나도 안무서움,,,,,,,,
1083,잠시도 긴장감을 늦출수없다.,,,,,,,,
1084,재밌게 잘봄 ^-^,,,,,,,,
1085,모든 공포물을 능가하는..,,,,,,,,
1086,보이지않는 무언가로부터 느끼는 공포,,,,,,,,
1087,혼자봤는데 장난 아님,,,,,,,,
1088,재밌어요 뒷부분이 놀래키네요 ㅋㅋ,,,,,,,,
1089,심리적으로 조여오는 긴장감 최고. 마지막에 되돌아갈때 진짜 똥쌀뻔,,,,,,,,
1090,우악스런 공포보다는 자연스럽게 조여오는 긴장감이 좋았다.,,,,,,,,
1091,극장에 혼자가서 보삼. 긴장감 쩔고 마지막에 뒈짐 ㅋ,,,,,,,,
1092,진짜 아직도 의문이 남음,,,,,,,,
1093,내용부족...지루따분사운드별로... 돈주고본게아깝다;; 예고편이다인영화;;,,,,,,,,
1094,이거정말별로...만들다만영화같았다.,,,,,,,,
1095,끝부분이 정말 좋았다. 첨엔 좀 지루한감이 없지않아 있었지만.,,,,,,,,
1096,진짜 돈버렸다. 짜증나. 1시간 동안 자게 만든 유일한 영화다. 진심,,,,,,,,
1097,이영화보구재밋단사람있으면내가개그를보여줄게돈버려시간버려짜증나,,,,,,,,
1098,복잡하지않고 진짜 나 이런가게 좋다.,,,,,,,,
1099,요즘 이야기위주의 허접공포영화보다 1000배는 재밌다. 무섭구..ㅜ,,,,,,,,
1100,이거 진짜 무서웠다..,,,,,,,,
1101,진정한 공포,,,,,,,,
1102,진짜 심신미약한사람은 보지않았으면 좋겠다…,,,,,,,,
1103,그럭저럭 생각도 많이 하게 되고..괜찮은 영화인거같아요.,,,,,,,,
1104,완성되어진 잘짜여진 영화,,,,,,,,
1105,이런식으로 공포영화에 접근할생각을 하다니…감독 누구심? 암튼 대박무서웠다.,,,,,,,,
1106,전혀 지루하지않고 나올때 시원~하게 나올수있다. 참 잘만들었네…,,,,,,,,
1107,이건 재미도 뛰어나고 작품성도 뛰어남,,,,,,,,
1108,무슨 케이블채널에서 실화를 다룬 다큐멘터리같아서 리얼하고 긴장넘쳤다,,,,,,,,
1109,실화라는 생각이 막 들어서 더 무섭다,,,,,,,,
1110,공포영화 보통 시시한데 이건 내용이 알차고 긴장감돌고 좋았아요,,,,,,,,
1111,추락하는 공포영화의 끝을 잡아주었다.,,,,,,,,
1112,재밌는데 결말이 쪼큼.. 그래도 이정도면 괜춘,,,,,,,,
1113,이궁. 난 괜찮았는뎅~ 볼만해영~,,,,,,,,
1114,완전 무섭진 않는데 그래도 공포영화로 괜춘해요 결말이 쪼큼 아쉽지만,,,,,,,,
1115,보고 후회함.,,,,,,,,
1116,이게뭐임.... 엑소시스트 마지막이라 기대햇건만 공짜여도 안본다..,,,,,,,,
1117,후반으로 갈수록 디진다 진짜 정신 바짝 차리고 봐라,,,,,,,,
1118,원래 공포영화 시시한데 이건 아니네요…재밋어용~,,,,,,,,
1119,흥미진진하고 늦은밤에봐서 더 재밌었음.,,,,,,,,
1120,귀신이 나오거나 그런건 아니지만 뭔지모를 공포감이 있어 좋았다.,,,,,,,,
1121,말로 표현할수가 없다.,,,,,,,,
1122,대체 왜 평점이 높은거지??-_- 차라리 엑소시스트1을 돈주고 다시보라고 해도 보겠다.,,,,,,,,
1123,카메라에 진동장치를 듯한 떨림에서 오는 멀미... 우웨엑,,,,,,,,
1124,페이크다큐 방식의 엑소시스트... 이정도면 잘 만들었다...,,,,,,,,
1125,흐미 OO 나 혼자사는데 이젠 어떻하나,,,,,,,,
1126,혼자 극장가서 손에 땀을 쥐고 본 영화…공포영화는 혼자봐야 제맛.,,,,,,,,
1127,제 나름 정말 재밌었던거 같네여,,,,,,,,
1128,진짜 기대안하고 봤는데 진짜 깜놀,,,,,,,,
1129,간만에 진짜 공포영화다운 영화보네요,,,,,,,,
1130,개재지 없음 진짜 보면 후회함,,,,,,,,
1131,진짜 안 무섭고 결말도 허무해요.,,,,,,,,
1132,짜임새있고 연출력 좋고 배우들 실감나는 연기 좋네요,,,,,,,,
1133,세심하게 구성된 리얼리티공포물.,,,,,,,,
1134,엑소시스트이후 나온 오컬트 무비중 최고의 리얼리티,,,,,,,,
1135,왠간한 잔인한거.. 귀신등등 무섭게 본적없던 내가 주변을 둘러보며 봤던영화 첨..ㅜㅜ,,,,,,,,
1136,허리꺽을때 내 심장도 멎을뻔…,,,,,,,,
1137,무엇하나 부족함이 없는 새로운 시도의 공포영화,,,,,,,,
1138,영화 자체가 무섭다.,,,,,,,,
1139,나의 몇안되는 최고의 공포영화,,,,,,,,
1140,정말,,,,,,,,
1141,내용 기대도안하고 갔었지만,,,,,,,,
1142,완죤잼없음 무섭지도않고 결말 넘~~~~~~허무함  돈아까워 무서웠다쳐도 정~말 잼없음,,,,,,,,
1143,정말 잼없다,,,,,,,,
1144,진짜 허접 공포영화 감독들 이거보고 좀 느끼시길…,,,,,,,,
1145,TV다큐채널느낌…안무서울거같다가 결국은 관객의 혼을,,,,,,,,
1146,짝퉁 신부. 첨에 완전 맘놓게 하다가 완전 관객을 패닉으로 몰아넣는;;;;,,,,,,,,
1147,결말이 허무한줄알았으나 곱씹어 생각해보니 음...좋은 작품인거같애,,,,,,,,
1148,이래서 동양 공포영화는 서양의 공포물을 못따라오는거같다,,,,,,,,
1149,공포영화? 아니 그이상의 짜릿함!,,,,,,,,
1150,심도있게 진행되는 상황전개그리고 리얼한 연기,,,,,,,,
1151,꽤나 현실적인 공포,,,,,,,,
1152,허리꺾기 대박. 보면 헉소리나와요,,,,,,,,
1153,괜찬네요. 공포영화가 깔끔하고 세련된 느낌을 줄수도 있네요…,,,,,,,,
1154,여운도 남고 몰입되서볼만큼 재밌었다.,,,,,,,,
1155,긴박감있는 진행. 짜임새있는 스토리.,,,,,,,,
1156,스토리도 좋고 역시 마지막이 깜놀이네염,,,,,,,,
1157,에밀리 로즈까진 대박 라스트는 설정부터 엉망 엑소시스트 먹칠한 것 같다,,,,,,,,
1158,긴장하면서 봤다…근데 끝이 잘 이해가 안간다..,,,,,,,,
1159,배우들 연기 진짜 리얼하다. 그래서 더 무섭고 실감났다,,,,,,,,
1160,공포보다는 종교적색채가 강하다. 개개인의 신앙에 따라 다른느낌을 받을듯..,,,,,,,,
1161,상당히 몰입감있고 괜찮았다,,,,,,,,
1162,이건 재밌는 영화라고할수없다.,,,,,,,,
1163,엄청 재밌음. 심리적압박,,,,,,,,
1164,마치 사실에 기초한듯한 착각을 불러일으킨다.,,,,,,,,
1165,신선한 소재가 무척 흥미로웠고 다큐프로같은느낌이라서 더 리얼했음..,,,,,,,,
1166,표현이 보기드물게 세련된 공포영화,,,,,,,,
1167,기대를 져버리지 않을것이다,,,,,,,,
1168,여자주인공 연기가 진짜 소름돋았어요,,,,,,,,
1169,허리 우두두두둑,,,,,,,,
1170,명품 공포다큐멘터리,,,,,,,,
1171,공포영화인데 이거 너무 사실적인 영화 그래서 더무서움…,,,,,,,,
1172,공포는 몫. 긴장은 필수,,,,,,,,
1173,무조건 잔인하고 끔찍한것만이 공포가 아니다 이야기의 전개만으로도 공포가,,,,,,,,
1174,일단 공포는 무서워야 제맛.,,,,,,,,
1175,하드한 공포물은 아니다. 하지만 생각을 하게 만드는 영화 간만에 본다,,,,,,,,
1176,배우들의 연기가 괜찮았다,,,,,,,,
1177,블레어 위치'가 되고싶니? 꿈 깨셔~,,,,,,,,
1178,공포영화를 두루 섭렵한 사람으로써 단연 수작으로 꼽고싶은 영화다.,,,,,,,,
1179,마지막 장면..관객들을 끝까지 맘편하게 집에 가게 놔두질않는다,,,,,,,,
1180,신선한 소재. 꽤괜찮지만 결론이 애매함,,,,,,,,
1181,기분이 매우 나쁜 공포감,,,,,,,,
1182,진짜 배우들 연기 진짜같다,,,,,,,,
1183,끝이 좀 허무한듯하지만 난 진짜 등이 다젖어가면서 봤음 ㅋ,,,,,,,,
1184,진짜 자연스럽게 무섭다.,,,,,,,,
1185,새로운 장르인듯 소재가 진짜 신선했다.,,,,,,,,
1186,깊이있고 무거웠음. 가벼운 진행이 아니라 정말 리얼리티였음..,,,,,,,,
1187,초반에는 스토리에 몰입이 되자않았으나 중반부터 대박이네요.,,,,,,,,
1188,사실 보고 기분이 그다지 좋지않다. 앞으로 집에서 불켜고 자야겠다,,,,,,,,
1189,완전 마이너스를 주고싶은 영화! 완전 쓰레기 영화. 끝마무리..없이없음..,,,,,,,,
1190,극장을 나올,,,,,,,,
1191,여배우의 연기가 너무 리얼함 하나도 어색하지가 않아..덜덜덜,,,,,,,,
1192,끝날때 그 허무함이란...생각보다 공포스럽지 않았다,,,,,,,,
1193,절대 보지말아야할 영화........,,,,,,,,
1194,짜릿한 공포의 묘미…이영화를 보면 알수있을거다.,,,,,,,,
1195,내가 여지껏 봤던 공포영화중에 최고의 공포를 안겨준 영화..,,,,,,,,
1196,알수없는 공포의 리얼.,,,,,,,,
1197,솔직히 난 무서운거 잘 안타는데 이거 진짜 쪼금 무서웠구 진짜 재밌게 잘만듬.,,,,,,,,
1198,마지막까지 흥미진진,,,,,,,,
1199,오랜만에 정말 무서웠다 배우들의 호연이 돋보임.,,,,,,,,
1200,저는 정말 무섭고 재밌게 봤어요,,,,,,,,
1201,여지껏 봤던 엑소시스트 시리즈중에 최강이다..,,,,,,,,
1202,상당히 리얼하고 치열한 공포,,,,,,,,
1203,16살짜리 혀놀릴땐 무섭기도했지만 섹시하기도..ㅋㅋㅋ,,,,,,,,
1204,여배우 연기하다 실신했을듯,,,,,,,,
1205,기대보다 훨씬 잘만든 영화.,,,,,,,,
1206,사람의 어두운 본능을 잘 살린듯,,,,,,,,
1207,기독교인들은 한번쯤 볼만한 영화 실화같은데 이거…..,,,,,,,,
1208,끝난게 맞는지 긴가민가해서 계속앉아있었음ㅋㅋㅋㅋ,,,,,,,,
1209,사탄 이미지를 좀더 형상화했으면 좋았을텐데,,,,,,,,
1210,무섭도록 공포에 집중할수있게 만든 영화…,,,,,,,,
1211,말도안되는평점. 알바OO들..짜증나는영상과 아무내용도없는 완전 막장영화,,,,,,,,
1212,끝도 나름 흥미있고...애들도 별로라 하던데 이제껏봤던 공포영화중에 가장 재밌던데,,,,,,,,
1213,알바 때문에 진짜 ㅡㅡ 개낚였음 진짜 재미없네요 ㅋㅋ,,,,,,,,
1214,이 영화의 문제점은 전혀 무섭지가 않다는거다.. -_-;;,,,,,,,,
1215,뭔가 인디 느낌도나는데 의외로 긴장하게 만들더군요,,,,,,,,
1216,끝만 뺴고 다 좋음,,,,,,,,
1217,봤는데 나쁘지 않아여,,,,,,,,
1218,개무서워,,,,,,,,
1219,신선하긴한데내가원한건 이게아니다,,,,,,,,
1220,존내 허무하네 아~시....돈아까워 ㅡㅡ,,,,,,,,
1221,이해안감,,,,,,,,
1222,결말 존내 허무해요.,,,,,,,,
1223,진짜 개재미없음 돈아까워 하나도안무섭고 그냥지루함 보다잠듬,,,,,,,,
1224,엑소시즘 영화는 무조건 본다,,,,,,,,
1225,어제 봤는데 초반 천천히 시작되다가 막 치고 올라가는 느낌 ㅠ.ㅠ,,,,,,,,
1226,결말이 호불호가 갈리긴한데...ㅋ,,,,,,,,
1227,;;; 진심 알바가 있구나;;,,,,,,,,
1228,진짜 이거 꼭봐라..,,,,,,,,
1229,무서운 장면을 기대한다면 비추.,,,,,,,,
1230,엑소시즘시리즈중에 최악..급하게 마무리를지어버린다는느낌이강했고,,,,,,,,
1231,잉 난 잼께봤는데 ㅋ 영화 무섭긴 무서운데,,,,,,,,
1232,간만에 제대로 된 공포영화 본것 같네여,,,,,,,,
1233,신비한 tv 서프라이즈를 보시길 ㅋ,,,,,,,,
1234,전부다 욕하고 나옴..ㅋㅋㅋㅋ소리가 무서웠음..ㄷ,,,,,,,,
1235,진짜 완전 기대했는데... 너무 기대가 컸나? 마무리가....좀 아쉬웠던거같은...영화,,,,,,,,
1236,별 반개도 아깝.진짜 알바가 있구나,,,,,,,,
1237,그리 재미있지는 않았고 디테일이 부족한 독톡한 형식의 공포영화,,,,,,,,
1238,재밌긴 재밌네요 그래도 그동안본 무서운영화는 파라노말2가 최고에요ㅋㅋㅋ,,,,,,,,
1239,걸작이에요지난주에봤는데아침에혼자머리를못감겠어요아발람이 천장에서 보는듯한...,,,,,,,,
1240,이전 진짜 쓰레기 영화임..같이본 사람들 다 돈아깝다함,,,,,,,,
1241,아..찝찝해..찝찝해 끝이 찝찝해...확실한 결말뭐냐긔...ㅠㅠㅠㅠㅠㅠㅠㅠ,,,,,,,,
1242,내가 공포영화에서 원하던 분위기,,,,,,,,
1243,아 돈아까워 죽겠음 ㅡㅡ 이거진짜보지마셈 진짜 결말 어이가없음,,,,,,,,
1244,진짜 계속 보면서 흥미진진했어요,,,,,,,,
1245,이건 재미도 뛰어나고 작품성도 뛰어남,,,,,,,,
1246,괜찮은데? 긴장도 되고!,,,,,,,,
1247,진짜 아직도 의문이 남음,,,,,,,,
1248,스토리적으로 조금 미흡하긴 하지만 아주 참신하고 흡인력있었다.,,,,,,,,
1249,공포영화로써 이정도면 굉장히 훌륭한 편이지,,,,,,,,
1250,16살짜리 혀놀릴땐 무섭기도했지만 섹시하기도..ㅋㅋㅋ,,,,,,,,
1251,심리적으로 조여오는 긴장감 최고. 마지막에 되돌아갈때 진짜 똥쌀뻔,,,,,,,,
1252,굿,,,,,,,,
1253,제 나름 정말 재밌었던거 같네여,,,,,,,,
1254,짜임새있고 연출력 좋고 배우들 실감나는 연기 좋네요,,,,,,,,
1255,초반에는 스토리에 몰입이 되자않았으나 중반부터 대박이네요.,,,,,,,,
1256,진짜 허접 공포영화 감독들 이거보고 좀 느끼시길…,,,,,,,,
1257,이래서 동양 공포영화는 서양의 공포물을 못따라오는거같다,,,,,,,,
1258,그저그런 영화일거라는 내편견을 깨는 영화,,,,,,,,
1259,현실을 제대로 반영했기에 더욱더 무서울수밖에 없었던,,,,,,,,
1260,어설프게 놀래키려는 다른영화랑 다름.,,,,,,,,
1261,깊이있고 무거웠음. 가벼운 진행이 아니라 정말 리얼리티였음..,,,,,,,,
1262,기대했다면 기대를 버려라,,,,,,,,
1263,완성되어진 잘짜여진 영화,,,,,,,,
1264,배우들 연기 진짜 리얼하다. 그래서 더 무섭고 실감났다,,,,,,,,
1265,재밌어요 뒷부분이 놀래키네요 ㅋㅋ,,,,,,,,
1266,시작하자마자 밀려오는 긴장감,,,,,,,,
1267,이런게 공포지,,,,,,,,
1268,좋은 발상에서 끝맺음이 쥑이네,,,,,,,,
1269,인간들 무섭다 이렇게 낚는구나,,,,,,,,
1270,인간이 가장 무서운 법.,,,,,,,,
1271,나는 지금 화가 나있습니다. 내 돈,,,,,,,,
1272,정말 별 반개도 아깝네여 아웅 시간 낭비햇네 ㅡㅡㅋ,,,,,,,,
1273,십라 낚였다ㅡㅡ 이평점은 정말 말이안돼 예고편에 나오는것도 안나오고 오쒯,,,,,,,,
1274,너무 쓰레기같은영화에요 영화필름그냥 휴지통으로 고고고~~상영안햇으면 좋겟네요,,,,,,,,
1275,후회하실꺼예요.,,,,,,,,
1276,사기 분노 허탈 별 반개도 아까워 내 리뷰 보고 제발 다시 생각하시길,,,,,,,,
1277,오랜만에 공포영화가 무서웠다,,,,,,,,
1278,ㅜ.ㅜ 너무 무섭다….,,,,,,,,
1279,소재와 연기 모두 잘살린 영화,,,,,,,,
1280,최고의쓰레기영화.,,,,,,,,
1281,이거 진짜 무서웠다..,,,,,,,,
1282,순간순간 집중을 안할수없는 영화인듯..마지막엔 예상못한 반전이 대박,,,,,,,,
1283,극장에서 소리 졸라 질렀네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
1284,그럭저럭 생각도 많이 하게 되고..괜찮은 영화인거같아요.,,,,,,,,
1285,여자주인공 연기가 진짜 소름돋았어요,,,,,,,,
1286,여배우 연기하다 실신했을듯,,,,,,,,
1287,와 나 진짜 무섭게 봤음.,,,,,,,,
1288,꽤나 현실적인 공포,,,,,,,,
1289,잘때 생각 날거같애ㅠㅠ,,,,,,,,
1290,재미있네요 강추,,,,,,,,
1291,알바가 넘치네.엄창걸고 OOO기 영화입니다. 돈주고도 다운받아서도 보지마여..,,,,,,,,
1292,사실 보고 기분이 그다지 좋지않다. 앞으로 집에서 불켜고 자야겠다,,,,,,,,
1293,새로운 장르인듯 소재가 진짜 신선했다.,,,,,,,,
1294,괜찮은데? 긴장도 되고!,,,,,,,,
1295,금방 내리질않길,,,,,,,,
1296,허리 우두두두둑,,,,,,,,
1297,이거본날 잠못잤다. 존나 무서워…,,,,,,,,
1298,무조건 잔인하고 끔찍한것만이 공포가 아니다 이야기의 전개만으로도 공포가,,,,,,,,
1299,여운이 남는 공포영화. 영화가 끝난후 기독교에 대해서 다시 생각해보게됐음..,,,,,,,,
1300,대강 쓰레기였음 포스터에 속지말자 ㅋ,,,,,,,,
1301,이영화 안무섭단 인간은 뭐임 ㅋ 걍첨부터끝까지전남무서웠음 ㅎㄷㄷ,,,,,,,,
1302,무섭고 의미있는 영화에요,,,,,,,,
1303,마지막 장면..관객들을 끝까지 맘편하게 집에 가게 놔두질않는다,,,,,,,,
1304,솔직히 겁나 무서움,,,,,,,,
1305,링과 맞먹는 공포물,,,,,,,,
1306,16살짜리 혀놀릴땐 무섭기도했지만 섹시하기도..ㅋㅋㅋ,,,,,,,,
1307,짝퉁 신부. 첨에 완전 맘놓게 하다가 완전 관객을 패닉으로 몰아넣는;;;;,,,,,,,,
1308,무서운건 둘째치고라도 기억에 진짜 오래 남는다…,,,,,,,,
1309,평점 낮추는 알바쉑들은 쓰레기 밖에 모르나..지들이야긴가,,,,,,,,
1310,쓰레기 영화...하나도 아까움,,,,,,,,
1311,정말 무서워요..이영화찍은 배우분들 심리상태는 괜찮나요? ㅜ,,,,,,,,
1312,이래서 동양 공포영화는 서양의 공포물을 못따라오는거같다,,,,,,,,
1313,솔직히 무서웠엉. 이게 페이크다큐의 묘미아니겠어?,,,,,,,,
1314,혼자 극장가서 손에 땀을 쥐고 본 영화…공포영화는 혼자봐야 제맛.,,,,,,,,
1315,이건 단순한 공포영화가 아니다..,,,,,,,,
1316,상당히 몰입감있고 괜찮았다,,,,,,,,
1317,공포영화 보통 시시한데 이건 내용이 알차고 긴장감돌고 좋았아요,,,,,,,,
1318,요즘 이야기위주의 허접공포영화보다 1000배는 재밌다. 무섭구..ㅜ,,,,,,,,
1319,긴장감과 현장감이 고스란히 오감으로 느껴졌다,,,,,,,,
1320,완성되어진 잘짜여진 영화,,,,,,,,
1321,알바쩌네 ㅋㅋㅋㅋㅋㅋ 레알 쓰레기 영화,,,,,,,,
1322,아 극장에서 뛰쳐나가고 싶더라…무서워서…ㅜ,,,,,,,,
1323,이런게 공포지,,,,,,,,
1324,적당한 복선과 치밀한 반전,,,,,,,,
1325,깊이있고 무거웠음. 가벼운 진행이 아니라 정말 리얼리티였음..,,,,,,,,
1326,무슨 케이블채널에서 실화를 다룬 다큐멘터리같아서 리얼하고 긴장넘쳤다,,,,,,,,
1327,소재를 잘이끌어냈습니다.,,,,,,,,
1328,초반 목사 떠벌이 짜증. 중반 몰입 흥미롭다가. 후반 생뚱맞은 결론에 확깬다.,,,,,,,,
1329,배우들 연기 진짜 리얼하다. 그래서 더 무섭고 실감났다,,,,,,,,
1330,이거완전평들알바네개어이없는영화 개막장.영화만든의미가뭐져?내생에최악의영화,,,,,,,,
1331,나름 긴장하면서 봤다. 재밌었다,,,,,,,,
1332,완전 긴장하면서 봤는데..진짜 마무리 좋다.,,,,,,,,
1333,솔직히 난 무서운거 잘 안타는데 이거 진짜 쪼금 무서웠구 진짜 재밌게 잘만듬.,,,,,,,,
1334,저는 정말 무섭고 재밌게 봤어요,,,,,,,,
1335,짜릿한 공포의 묘미…이영화를 보면 알수있을거다.,,,,,,,,
1336,공포보다는 종교적색채가 강하다. 개개인의 신앙에 따라 다른느낌을 받을듯..,,,,,,,,
1337,전문가 평점이 때론 정답~ 지겹고,,,,,,,,
1338,오잉..이제 페이크공포물 질렸나,,,,,,,,
1339,보기싫었는데….진짜 괜히봤다는 생각이 든다..나 혼자산단말야……,,,,,,,,
1340,아 진짜 다큐멘터리같잖아,,,,,,,,
1341,결말이 허무한줄알았으나 곱씹어 생각해보니 음...좋은 작품인거같애,,,,,,,,
1342,배우들의 연기가 괜찮았다,,,,,,,,
1343,긴박한 상황과 반전이 기가막힌다.,,,,,,,,
1344,실화라는 생각이 막 들어서 더 무섭다,,,,,,,,
1345,왠간한 잔인한거.. 귀신등등 무섭게 본적없던 내가 주변을 둘러보며 봤던영화 첨..ㅜㅜ,,,,,,,,
1346,솔직히 난 무서운거 잘 안타는데 이거 진짜 쪼금 무서웠구 진짜 재밌게 잘만듬.,,,,,,,,
1347,엑소시시트시리즈중 단연 으뜸이다.,,,,,,,,
1348,진짜 심신미약한사람은 보지않았으면 좋겠다…,,,,,,,,
1349,와진짜잼없어ㅎ답답하고잼없고 여태엑소시스트 엑소시즘다봤는데일케잼없긴첨이다ㅡㅡ,,,,,,,,
1350,올만에온가족이함께봄어머니주무심중간에2명나감영화보면서돈시간아깝다는생각처음함,,,,,,,,
1351,진짜 계속 보면서 흥미진진했어요,,,,,,,,
1352,혼자 보고 잠을 못자고 있다,,,,,,,,
1353,짜임새있고 연출력 좋고 배우들 실감나는 연기 좋네요,,,,,,,,
1354,대박 재밌음 이런건 극장에서 봐야지.,,,,,,,,
1355,기분이 매우 나쁜 공포감,,,,,,,,
1356,공포영화중 엑소시스트시리즈가 최고죠,,,,,,,,
1357,시작하자마자 밀려오는 긴장감,,,,,,,,
1358,전혀 지루하지않고 나올때 시원~하게 나올수있다. 참 잘만들었네…,,,,,,,,
1359,공포라기보단 다큐멘터리..ㅋㅋ 그래서 더 무서움,,,,,,,,
1360,여지껏 봤던 엑소시스트 시리즈중에 최강이다..,,,,,,,,
1361,심야에 보시라,,,,,,,,
1362,아 진짜 제대로 낚시 영화 ㅡㅡ,,,,,,,,
1363,꿈에 나올까봐 무섭다,,,,,,,,
1364,영화자주보는뎅... 간만에.. 보고 돈아깝다는 생각이..ㅠ_ㅠ;,,,,,,,,
1365,공포영화인데 이거 너무 사실적인 영화 그래서 더무서움…,,,,,,,,
1366,어설프게 놀래키려는 다른영화랑 다름.,,,,,,,,
1367,끝이 좀 허무한듯하지만 난 진짜 등이 다젖어가면서 봤음 ㅋ,,,,,,,,
1368,잠시도 긴장감을 늦출수없다.,,,,,,,,
1369,진짜 허접 공포영화 감독들 이거보고 좀 느끼시길…,,,,,,,,
1370,기대를 져버리지 않을것이다,,,,,,,,
1371,엄습하는 심리적 공포,,,,,,,,
1372,TV다큐채널느낌…안무서울거같다가 결국은 관객의 혼을,,,,,,,,
1373,허를 찌르는 공포를 느꼈다,,,,,,,,
1374,여자애가 아크로바틱했나? 진짜 유연함. 아 무서워서 혼났네요,,,,,,,,
1375,말이 필요없다. 용기있는 사람만 보시오.,,,,,,,,
1376,간만에 진짜 공포영화다운 영화보네요,,,,,,,,
1377,공포영화답지않게 굉장히 리얼하고 신선한,,,,,,,,
1378,스토리적으로 조금 미흡하긴 하지만 아주 참신하고 흡인력있었다.,,,,,,,,
1379,꽤 무서웠어요,,,,,,,,
1380,오락영화를 원했다면 1점 이겠지만......,,,,,,,,
1381,내가 여지껏 봤던 공포영화중에 최고의 공포를 안겨준 영화..,,,,,,,,
1382,이런영화는다시없을꺼같다  아주좋은영화 돈주고 꼭볼만한 영화 꼭보세요,,,,,,,,
1383,외국영화도 알바쓰냐 이제 ㅜㅜ 배급사 홍보팀 가만안둔다 진짜ㅜㅜ,,,,,,,,
1384,포스터의 허리꺽는게 전부인 영화.이게 무슨 박스오피스1위야 ㅡ.ㅡ 아~ 시간아까워~,,,,,,,,
1385,굉장한 막장영화입니다~ 이런걸 극장에서 돈주고 보면 절대 안됩니다.,,,,,,,,
1386,전반적으로 재미있었으나 마지막에 너무 갑자기 마무리하는 느낌이 아쉬웠다,,,,,,,,
1387,이거짱재밌으니까꼭보러가세요ㅋ제친구가재밌다고보자고해서오늘 봤는데ㅋ짱재밌어요,,,,,,,,
1388,시도는 좋았으니 ..뭔가 영..-_-,,,,,,,,
1389,돈아까운 영화다.  짜증나는 영화였습니다. 화면도  어지러워서 ㅡ ㅡ 하나도 안무서,,,,,,,,
1390,무서운부분은 있긴있지만 진짜 조금이고 너무 짧은듯..,,,,,,,,
1391,허리꺽을때 내 심장도 멎을뻔…,,,,,,,,
1392,스토리도 좋고 역시 마지막이 깜놀이네염,,,,,,,,
1393,우두두두두두둑 우두두두두둑 소리 완전 무서웠음,,,,,,,,
1394,공포영화? 아니 그이상의 짜릿함!,,,,,,,,
1395,마치 사실에 기초한듯한 착각을 불러일으킨다.,,,,,,,,
1396,일본 공포물보다 한수위인 영화,,,,,,,,
1397,재밌어요 뒷부분이 놀래키네요 ㅋㅋ,,,,,,,,
1398,다큐라는게 크게 한몫했음.,,,,,,,,
1399,정말별로던데... 무서운장면은 예고편이 다임,,,,,,,,
1400,초반 지루.. 중반~후반 몰입감 괜찮음...,,,,,,,,
1401,공포영화좋아하는분에게 추천합니다.,,,,,,,,
1402,진짜 아직도 의문이 남음,,,,,,,,
1403,후반으로 갈수록 디진다 진짜 정신 바짝 차리고 봐라,,,,,,,,
1404,16세의 소녀... 무서워죽는줄알았네ㅠ 질질쌉니다.,,,,,,,,
1405,무서워서 고개 돌리고 봤다. 쩝..,,,,,,,,
1406,내가살면서이렇게재미없는공포영화첨봄....폐가가헐배나음..,,,,,,,,
1407,공포영화를 두루 섭렵한 사람으로써 단연 수작으로 꼽고싶은 영화다.,,,,,,,,
1408,소름끼칠정도로 무섭다. 마음의 준비를 하고 보시길.,,,,,,,,
1409,언제봐도 무서운 엑소시스트,,,,,,,,
1410,공포는 몫. 긴장은 필수,,,,,,,,
1411,내가 진짜 영화볼줄모르지만 이건 아니에요 알바들말 믿지마세요,,,,,,,,
1412,정말 한숨밖에 안나오네요. ㅡㅡ;;,,,,,,,,
1413,처음엔 이게끝?이런 생각이었지만 시간이 지나니 이해가 되네요,,,,,,,,
