,content,,,,,,,,,
533,초반 러쉬에 힘을 다 뺀듯한 전개.. 점점 산으로 가는 내용은 참 아쉽다,,,,,,,,,
534,갑툭튀랑 사운드하난 진짜 인정한다. 후반부에 쓸데없는 개그들로 분위기가 깨지는게 조금 아쉬웠음,,,,,,,,,
535,제임스완의 연출력에 비하면 턱없이 부족함.. 그냥 놀레키기만 해서 짜증유발  공포심보다는 그냥 깜놀 ㅅㅂ,,,,,,,,,
536,난 솔직히  친구랑 1.2를 재밋게보고 난뒤라 그런지 3는 놀래기만 하고 진짜 딱히 평점주고십지도않음 혼자서 시커먼대서 봐도 안무서움 노잼,,,,,,,,,
537,진짜 죽을뻔함 나 진짜 와 진짜 하 진짜 후  그냥 나가고싶었음 장난없다진짜  아 ;;,,,,,,,,,
538,사운드 깜짝깜짝 1.2에 비하면 좀 스토리 전개가 지루한 느낌이 드네요.,,,,,,,,,
539,1,,,,,,,,,
540,깜짝 깜짝 놀라는 장면이 많았어요. 그리고 뒤에 가면 웃긴 남자들이 나와서 웃음을 선사해 주네요.,,,,,,,,,
541,인시디어스 좋당 !!!,,,,,,,,,
542,너무재밌다..깝짝놀랄 요소들이 많아서 무서웠지만 좋았다ㅠㅠ,,,,,,,,,
543,디펜드차고가라 개지린다,,,,,,,,,
544,1편2편보시는분들이재밌게더잘볼듯인시디어스3는1편2편전에있던3년전얘기로나와서애틋함도있네요ㅜㅜ무튼무섭긴무섭고소리도장난아니였다는,,,,,,,,,
545,오래기다렸던만큼 실망하지않고 재밌게 잘봤습니당!,,,,,,,,,
546,재미있다 스릴있었고 강해지는느낌!,,,,,,,,,
547,역대 최고공포영화 명작이다,,,,,,,,,
548,와... 개무섭고 개웃기고 개슬픈영화임.... 아근데마지막에 진짜 개놀랫음 ㅠㅠ 대박진짜 역시제임스완!!!!그리고 평점1점준새끼들 다 혼자보면 지릴꺼면서 ㅋㅋㅌ안무서운척 ㅋㅋㅋㅋ,,,,,,,,,
549,와... 진짜 재밌습니다 보면서 계속 심장이 쫄깃쫄깃한 기분으로 다봤어요 ㅋㅋㅋ,,,,,,,,,
550,인시디어스 영화처음봤는데  무섭기도하지만 그래도재미있었어요.,,,,,,,,,
551,영화보러갔다가 내후드티만 보고왓다,,,,,,,,,
552,평점보고 기대하고 갔는데 그리 무섭지않음. 옆에서 놀라는 여친 비명소리가 더 무섭다. 이냥저냥 볼만함,,,,,,,,,
553,기대이하네요 그래도 볼만해요,,,,,,,,,
554,넘 잼있게 잘 봤어요~~~,,,,,,,,,
555,그다지요..'위자' 라고 분신사바 비슷한거 있었는데  그거랑 비슷하네요. 죽은사람 불러내는거 하며,,,,,,,,,
556,너무 깜짝 놀래키기만 함... 적응 되니까 그다지 감흥도 안옴 그리고 귀신이 너무 허무하게 사라짐,,,,,,,,,
557,초반엔 무서웠는데 뒤로가면 장르 불분명,,,,,,,,,
558,솔직한 감상임.놀래키기만 하고 무섭진 않음.귀신은 분노조절장애를 가지고있나 격투가라 당황스럽고,,,,,,,,,
559,우선 베스트 댓글에 사운드가 죽인다는거는 부정할 수 없는 사실이다 뭐 나올때마다 소리 겁나 크게나는데 심장마비 걸릴뻔ㅋㅋㅋ 초반에는 진짜 뛰쳐나가고 싶었다 ㅋㅋㅋ,,,,,,,,,
560,진짜 그 악령은 안무서운데 소리가 갑이고 갑자기 훅들어와서 놀람ㄷㄷㄷ 근데 나는 제대로 화면도 못봄ㅋㅋ,,,,,,,,,
561,역시 공포영화는 외국껄 봐야함ㅋㅋ,,,,,,,,,
562,기억나는 영화 장면이 내 손바닥밖에 없음.,,,,,,,,,
563,사운드가 장난 아니다. 인시디어스 1 2안봐도 스토리 이해하는 데에는 지장없으니까 많이 관람하시길!,,,,,,,,,
564,뒤로 갈수록 긴장감이 사라진다...,,,,,,,,,
565,무서워서 지림하지만 웃김,,,,,,,,,
566,솔직히 2편이 더무서움 걍 그냥 소리땜에 깜짝 깜짝놀래서 짜증낫음,,,,,,,,,
567,코미디 영화 잘 보고 갑니다. 올해 가장 많이 호탕하게 웃은것 같네요. 촤하하 다들 재밌게 보세요. 행복합니다.,,,,,,,,,
568,방금 막 보고왔습니다.솔직히 말해 기대이하..컨져링을 한번더 보고말지..흠,,,,,,,,,
569,누텔라발자국 극혐이었다,,,,,,,,,
570,소리때문에 놀란게 많음 귀신도별로안무서움 사운드때문에 무서운듯한 그래도스토리볼만함,,,,,,,,,
571,보통 시리즈나오면 망스멜 나지만 인시디어스는 더 탄탄해져서 오는듯함. 전편보다 악마?귀신? 모습도 더 무서웠고 스토리는 전편봣음 왠만하면 다 이해하구 사운드 덕에 더 무서웟음.이번에나온 데모닉 라자루스 좀 실망햇는데...,,,,,,,,,
572,콱 놀래키는 장면만 많고 지속적인 공포감이 없다.전체적인 스토리가 어둡긴 하지만 분위기 자체로 공포감을 주지 않는다. 갑뚝튀가  반복 되면서 공포감도 사라지고 귀신도 한두마리고 전작과 다를게 없다.,,,,,,,,,
573,무더위를 날려버리기엔 아주 조금 부족하다.,,,,,,,,,
574,무섭다는사람들은 다 알바인가??1.2편을 기대하고 보면 절대. 안된다.,,,,,,,,,
575,재밋게 무서웠습니다 굿굿,,,,,,,,,
576,혼자봐서 깜짝깜짝놀래긴했는데 스토리가 별로였어요,,,,,,,,,
577,너무 재미있게  봤어요~ 여친하고 보기 딱 좋은 영화 ㅋㅋ,,,,,,,,,
578,심장이 쫄깃해져서 심장근육 발달할듯,,,,,,,,,
579,난 시리즈 1,,,,,,,,,
580,오싹한 사운드 나올때 팝콘이나 음료수먹지마세여 다쏟음ㅋㅋㅋ,,,,,,,,,
581,인시디어스는 공포영화의 교과서 같은 존재로 생각해야된다1.2에 비해 엉성했던 부분이 있었지만 다른 공포영화와는 비교 된다면 자존심 상하는 일이다.,,,,,,,,,
582,너랑 봐서 좋앗다..ㅎ,,,,,,,,,
583,이게 무서워ㅋ? (오줌 줄줄..),,,,,,,,,
584,인시디어스 1과 2에서는 무서운 얼굴의 귀신등장과 효과음만으로 관객을 놀래키는 저급한 공포영화와 달리,,,,,,,,,
585,원래 무서운거 잘 못봐서 놀래서 소리를 막 지르고 오긴했는데.. 끝이 참... 설마 이게 끝? 했는데 끝나고.... 스토리는 별루.. 솔직히 돈 아까웠음..; 다만 공포물 못보는 사람에겐 소리때문이라도 깜놀하는 부분...,,,,,,,,,
586,약간끝에 살짝 유치하긴하지만 진짜 무서웠던영화..이제까지 본 공포영화중에 손에꼽을정도 뒤에 사람 놀래가꼬 팝콘쏟고 암튼 돈안아까운 영화,,,,,,,,,
587,복선이 조금 더 들어있었으면 좋았을거 같다 하지만 충분히 무서웠고 재미있었다. 다만 마지막이 조금 이상했다,,,,,,,,,
588,각본은 1,,,,,,,,,
589,인시디어스 영화이름 빼곤 볼게없는 영화,,,,,,,,,
590,인시디어스시리즈는 다 너무 과소평가된,,,,,,,,,
591,집에서 컴퓨터로 봤는데정말 전기세가 아까운 영화입니다.보지 마세요.,,,,,,,,,
592,노잼...재미가없음...공포가아닌 코믹장르..,,,,,,,,,
593,네이버에 알바 풀면 점수 올리기 쉽지,,,,,,,,,
594,사촌동생이 초 4인데 걔도 진짜 표정 하나 안바뀌고 너무 안무섭대(진지),,,,,,,,,
595,별루 무섭지않고 리얼하지못해요,,,,,,,,,
596,노잼 개노잼 핵노잼이건 바로 트리플 노잼진심 보지 마세요.길가다 감독 만나면 패드립 각.,,,,,,,,,
597,이게 호러냐 판타지냐 1도 안무서움 진짜 핵실망,,,,,,,,,
598,이 영화는 극장에서 봐도 안무서워요...진짜 솔직히 이거는 깜짝놀라는 거지 무서운게 아니죠...스토리도 쓰레기구요...보지 마세요 이거 볼바에는 인사이드  아웃을 보세요...정말  인사이드 아웃이 훨씬훨씬 돈 안아까...,,,,,,,,,
599,재미는 잇는데 사람들이 시끄러웟음,,,,,,,,,
600,개안무섭고노잼진심ㅋㅋㅋㅋ 머냐이게. 악령퇴치물이구만,,,,,,,,,
601,이건.... 진짜 하.... 스토리도 별로고 놀라는건 30분?,,,,,,,,,
602,걍개놀램결말개노잼핵쓰리기임;;;;,,,,,,,,,
603,인시디어스 시리즈는 왜 다 평이 이따구지;; 공포영화인데 공포와 스토리까지 두마리 토끼를 잡은 영화인데 왤캐 평이 낮아;;,,,,,,,,,
604,원래 공포영화봐도 무서움 느끼지 않는 사람인데요 이번것도 뻔히 예측되는 스토리로 공포영화 장르의 한계성을 다시한번 느끼구요...결정적으로 재미가 없었구요,,,,,,,,,
605,오줌지렸어요ㅎㅎㅎ 올해 무서운영화탑,,,,,,,,,
606,내용은 전형적인공포영화귀신공포7?점 연기력팔점?사운드효과음100점,,,,,,,,,
607,할머니 짱짱걸이라는걸 느꼇습니다,,,,,,,,,
608,개인 차 이겠지만 평점 보고 많이 무서울줄 알았지만 별로 무섭지않았고 깜짝 놀라는 거 그 이상은 절대 아니였다. 귀신 생긴것도 별로 잔상이 남지도 않고.,,,,,,,,,
609,오 올해 공포 영화 중 제일 나은 듯! 스토리도 괜찮고 공포 강도도 예상보다 강해요 ㅎ,,,,,,,,,
610,최근 본  영화중 가장 무서움,,,,,,,,,
611,뭐지.. 뭔가 무서운 것 같은데 별로 안 무섭다. 긴장감도 없고 지루하다. 이야기에 힘이 없다고 할까? 아무리 공포영화라도 너무 스토리에 힘이 없다. 여주인공의 활약도,,,,,,,,,
612,컨저링 정도의 수준을 기대했는데 진짜 실망.유치하고 그냥 깜짝깜짝 놀래키기만하는.공포영화인데 하나도 안 무서운 그런 영화.,,,,,,,,,
613,영화관에서 본 영화중에 젤 무서웠음,,,,,,,,,
614,깜짝이야 이렇게 재밌을수가,,,,,,,,,
615,존나 무서움 굿귯굿듓굿듓국귯,,,,,,,,,
616,아 진짜 당분간 공포에 떨게 셍겼네,,,,,,,,,
617,심장이 쫄깃쫄깃 흥해랑,,,,,,,,,
618,후반부에 계속 소름이 쫙쫙....인시디어스는 역시 사운드가 장난아니다,,,,,,,,,
619,밤12시30분꺼봤는데 반신반의했는데 컨저링 들먹여서 본건데 쓰레기네..무슨 영화의 공포조성은 장면이아니라 사운드로 사람놀래키고 포켓몬스터에서도 안나올법한 유치함..손에 손잡고 떠나보자 여행을~~,,,,,,,,,
620,별로안무서워요ㅎㅎㅎ,,,,,,,,,
621,감독이 바뀌어서 그런지 전편과 다르게 부실한 스토리였다. 갑작스러운 유령의 등장과 커다란 사운드로만으로  공포를 조성하는게 단순하고 실망스러웠다.,,,,,,,,,
622,긴장하게 만드는 영화 입니다. 볼만 합니다.,,,,,,,,,
623,말이필요없음 최고임  인시디어스 최고,,,,,,,,,
624,와...!!!!@@@!!!,,,,,,,,,
625,인시디어스 최고ㅎㅎ4편도나와랏,,,,,,,,,
626,헐~공포보다는 사운드로 사람을 놀래켜 별로였습니다~평점보고 기대에 부풀어 보러갔다가 실망하고 갑니다~,,,,,,,,,
627,영화관에서 봤는데..그냥 사운드만 무섭고 나머지는 이야기 전개도 약간 뜬금포 없잖아 있고 귀신이 너무 실체적이고 이야기도 솔직히 공포보다는 코믹이었음 ㅋ 그냥 진짜 할 거 없을 때 재미삼아 볼 수 있는 정도. 그냥 ...,,,,,,,,,
628,생각보다별로네요2는무서웠는디그닥,,,,,,,,,
629,노잼 ㅋㅋ 안무서움 역시 공포는 국내산이나 일본산이 갑 귀신이안나오니 소리만 무서움,,,,,,,,,
630,령의 세계를 이해하고 스토리를 따라가는 것은 재미있지만솔직히 전작보다 너무 떨어진다 돈내고 보기에는 땅을 칠 판,,,,,,,,,
631,계속 귀막고 보느라 ㅠㅠ 귀아파용... 귀신보는건 괜찮은데 소리가 굉장히 무서움..! 정적마저 무서워..,,,,,,,,,
632,보다가 팝콘 엎음,,,,,,,,,
633,이거진짜 무서워ㅠㅠㅠ 잠못잘듯...ㅠㅠ,,,,,,,,,
634,진짜 짱 무서움!!!완전 무서움!!!하아...무서워서 힘들었어요,,,,,,,,,
635,역쉬 날 실망시키지 않아,,,,,,,,,
636,덜덜덜 너무 무쎠워서 여름 더위가 저멀리,,,,,,,,,
637,대박! 이런 공포 처음이야,,,,,,,,,
638,꼭 1,,,,,,,,,
639,이게 바로 진정한 공포영화지! 공포 영화 좋아하시는 분들 보시면 좋을 듯 ㅋㅋ,,,,,,,,,
640,많이 무서웠지만 간만에 공포영화 보니 재밌네요! 더운 여름에 공포 영화 한 편 보면 시원해질듯 ㅋㅋ,,,,,,,,,
641,아침부터 후덜덜했네요... 진짜 공포 영화 중에 손에 꼽힙니다..!!,,,,,,,,,
642,혼자 보러가면 오줌싸도 아무도 모르겠지 ㅎㅎ,,,,,,,,,
643,엄마랑같이자야지ㅎ..,,,,,,,,,
644,이거진짜대박임....남자지만 소리 존나 지를뻔....,,,,,,,,,
645,1,,,,,,,,,
646,공포영화보고 무서웠던적이 없었는데.. 첨으로 공포라는 장르가 있다는걸 알게됨.,,,,,,,,,
647,솔직히 스토리는 잘 모르겠는데 진짜 컨저링 저리가라임. 속는셈 치고 보셈. 갠적으론 지금까지 본 영화중 제일 무서웠음. 10분꼴에 한번으로 나오는듯ㅋㅋㅋㅋ 이제 자야되는데....,,,,,,,,,
648,와 동생이랑 보러갔는데 진짜 소리없이 끄으윽하면서 놀란게 3번이넘음 나이가 스물셋인데 진짜 무서워서 고개숙이고 팝콘만먹음 흑흑 마지막까지 어흑하게만드네,,,,,,,,,
649,1편 2편 안보고보면 재밋으면서도 뜬금없는 부분있겠지만.  전 편들 보고 보면 이해잘되고 재미 !굳굳 !!,,,,,,,,,
650,박평식분 뭐지.. 영화손님은 평점 잘주고 이건4점주시넹,,,,,,,,,
651,기자,,,,,,,,,
652,방금보고옴 무섭다 ㄸㅂ ㅠㅠ,,,,,,,,,
653,굿 보는내내 소름돋네요ㅎㅎ,,,,,,,,,
654,내가 왠만해서 안무서워하는데 1,,,,,,,,,
655,3편은 1,,,,,,,,,
656,정말 이거보고 무섭다는 사람들 이해가 안가네요. 극장에 있던 사람들 마지막에 빵터져서 다 웃었어요. 진짜 이걸 공포영화라고 하다니....컨저링이 훨씬 더 무섭네요. 공포영화라고 하기보다 그냥 좀비영화같았어요^^;;,,,,,,,,,
657,기대안하고봤는데 생각보다 괜찮았음 너무놀래서 팝콘엎고 옆사람한테 너무 피해줌 .. ㅠㅠ 난개인적으로돈안아까웠다 볼만함,,,,,,,,,
658,귀신이너무약한데 잼뜸,,,,,,,,,
659,중반까지는 그럭저럭 볼만함. . . 웹사이트운영하는 2명 나오면서 코메디물로  변함. . 퇴마는 격투로 하고. . . 먼곳에 가기 전에 퇴마사가 카메라 녹화와 받아적기를 이야기 하는데 영화 끝날때까지 안나옴.  . ...,,,,,,,,,
660,아 너무 무서웠어요. 평소 공포영화 못보면 보지마셈,,,,,,,,,
661,1,,,,,,,,,
662,...엄마 보고싶다 여러가지로,,,,,,,,,
663,리워넬 감독이 각본만 잘 쓰는 줄 알았더니 연출도 성공적이다! 인시디어스는 진짜 스토리가 살아있는 공포!,,,,,,,,,
664,영화가 한마디로 용두사미,,,,,,,,,
665,남자가 소리 지르는것 처음 보았다. 시리즈중 가장 무서웠던 이번 3..당분간 고생할것같다ㅜ,,,,,,,,,
666,그렇게 무서운건 아니네,,,,,,,,,
667,1,,,,,,,,,
668,인시디어스 보고 왔습니다..볼만하네요.좀더 무서웠으면 했는데.. 뒷사람이 자꾸  의자 (울렁울렁) 10분마다 툭툭치는바람에 4D보는 효과 (짜증),,,,,,,,,
669,생각보다 무섭진않았고 여자주인공이 이쁘다 볼만했는정도,,,,,,,,,
670,한국영화보다가  이거보니까 오줌지림ㅋㅋ 간만에 영화다운 영화,,,,,,,,,
671,예고편은하나도안무서운데지리네김지리,,,,,,,,,
672,소름돋으러 갑니다 오늘,,,,,,,,,
673,평식아 !!  너땜시 웃는다!! ㅋㅋㅋㅋ,,,,,,,,,
674,공포영화 못보긴 하는데공포몰입도나 스토리는 컨저링이 나은것 같다.깜짝깜짝 놀래는거 외에는 영...,,,,,,,,,
675,사실 많이 기대하고 봤는데 기대한것만큼 무섭지가 않네요,,,,,,,,,
676,IPTV로도 안보겠다. 진짜 돈 아깝다. 무섭기는 개뿔,,,,,,,,,
677,공포영화는 이래야한다.  123편 모두 이야기를 진행시켜가는 방식이나 촬영방식 공포심을 유발 하는 장면을 표현 하는 방식은 같지만 아쉽단 말보단 공포영화를 만드는 궁극의 방식이라 그런거라 생각하며 10점드린다. 공포...,,,,,,,,,
678,인시디어스 원투본사람들은 꿀잼  짜맞춰지는 스토리,,,,,,,,,
679,끝에 뜬금포 감동 기승전 감동 ㅋㅋㅋ,,,,,,,,,
680,보는내내 긴장감의연속,,,,,,,,,
681,무섭기는 개뿔 보지마라 할망구가 원더우먼이다 스토리꼬라지 다 거지같다,,,,,,,,,
682,진짜 사운드 지린다...아마 올해 공포영화중 베스트일듯,,,,,,,,,
683,솔직히 처음에는 진짜무서웠음 깜짝깜짝 ㄷㄷ 사운드도 장난 아니였는데 마지막 부분에는 나만느낀건가 좀 웃겼음 귀신이 뭔가외계인 같음,,,,,,,,,
684,핵노잼입니다 잘뻔했습니다 1,,,,,,,,,
685,앞에  남자애   기절 직전까지 가서   못일어남 ㅋ여자친구가 일으켜 세움ㅋㅋ  소리 지르고 난리 났음 ...정말 재미있음   역대 최고,,,,,,,,,
686,평점에 낚이지마세요. 알바들이거나 내가 당했으니 너도 당해봐라식으로 점수높게 주는 듯 ::: 레전드공포영화들이 8~9점 사이인데 이런 영화에 6점이상주는건 진짜 개개인의 주관을 떠나서 너무 후한 점수입니다. 쥬라기월...,,,,,,,,,
687,그냥 봐도 재미있겠지만 1,,,,,,,,,
688,부디 무서웠으면 좋겠다,,,,,,,,,
689,빤스 최소3장이상 들구가세요,,,,,,,,,
690,단언컨대,,,,,,,,,
691,스토리 전개가 1,,,,,,,,,
692,정말 놀래키는 장면이 너무 많아서 무서워서 눈을 못 뜨겠어요 엄마랑 자야겠네요 진짜 너무 무서워요,,,,,,,,,
693,진짜 이렇게 만들면 감독은 제작자 에게 안 미안한가??귀신의 집수준도 안되는 영화.,,,,,,,,,
694,조금 무서웠고 결말이 좋았습니다,,,,,,,,,
695,여자애 참 이쁘다.. 크면 개 섹시할 듯...,,,,,,,,,
696,제임스완 감독은 자기 영화 인기 시리즈가 2편 이상 넘어가면 그 때부터 후배에게 감독직을 넘겨준다. 후배까지 챙겨주는 쏘 스윗 완 감독. 근데 본인이 제작한 영화는 본인이 직접 감독까지 겸했을 때 시너지가 더한다는 ...,,,,,,,,,
697,재미있는 동화이야기.킬링타임으로 so so,,,,,,,,,
698,와 너무 재밌게 봄요 굿굿,,,,,,,,,
699,국산공포 영화급 다른거보세요,,,,,,,,,
700,후반부 보면서 연출 왜 이래?  같은 감독 맞나? 라고 생각했는데 와.. 다른 감독이었네요..! 코미디를 섞어놨어요..!,,,,,,,,,
701,,,,,,,,,,
702,넷플에서 봤는데  중간중간 놀라는장면 땜시  힘들었는데 막판 갈수록... 공포에서 벗어나는할머니 개쎔.... 마지막은 어떻게든영화내용 조금 남은거 즙 짜서 나온 감동장면...,,,,,,,,,
703,저는 213 순서대로 봤는데 개인적으로 321 순서로 봤으면 훨씬 재밌었을 것 같아요 인시디어스 시리즈 하나도 안 보신 분들은 꼭 321 순서로 보세욤!! 스토리 연결 되는게 그게 더 흥미진진하고 떡밥을 잘 이해하실...,,,,,,,,,
704,투보다는 쓰리가 찌끔 더 나음..그나마 좀 튀어나옴 ㅋㅋ  근데.스토리는 영 ㅋ,,,,,,,,,
705,인시디어스 영화 너무 좋다~ 1편부터 재밌게 보는 중,,,,,,,,,
706,조금은 뻔하고 진부하지만 나름 봐줄만.,,,,,,,,,
707,50분짜리 영화를 90분으로 늘려 놓은 게 가장 마음에 안 드는 점.,,,,,,,,,
708,개인적으로 그닥 갑툭튀만 있다,,,,,,,,,
709,윈체스터 형제를 부르지 그랬어,,,,,,,,,
710,조금은 산만해진 시리즈 3편인듯,,,,,,,,,
711,뭐 이딴 영화가 다 있냐 결말 어이없어서 피식함 감동을 이끄려고 한 것 같은데 실패한 듯,,,,,,,,,
712,유트브영화로 900원에  폰으로 이어폰끼고 봤는데...스토리는 반전없고 단순한데..나름 잼있었음...,,,,,,,,,
713,1편보단 3편이 훨 낫던데..,,,,,,,,,
714,스토리도 제법 짜임새 있는 편이고 깜놀 하나는 제대로다. 개인적으로 후반부 중간 중간 개그스러운 장면도 못마땅할 정도로 나쁘진 않았음,,,,,,,,,
715,이제는 익숙해져가는 패턴. 볼만한 공포영화지만,,,,,,,,,
716,인시디어스4 보다 무서움,,,,,,,,,
717,이 시리즈를 3편까찌 맹글다니....그 창의적인 인내력에 박수를~~~짝짝,,,,,,,,,
718,마지막에 약간개그임..,,,,,,,,,
719,코믹 섞인 공포영화? 버스터즈 한명이 앨리스 할머니 뒤에 있는거보고 놀란 부분 웃겼음 ㅋㅋ 나름 볼만했음,,,,,,,,,
720,여주 장원영+김유정 닮음.  아 이쁘다... 초반 분위기 잡을때만 좀 무섭고 그 뒤로는 개그물 ^^,,,,,,,,,
721,소리때문에 5번이상 깜짝놀랜거같아요ㅋㅋ그리고 괴물인지 귀신인지 몰라도 E.T같이생겼어요 그냥 무서운것보단 괴물인지 귀신인지 얼굴이 징그러워요 따로 추천하고싶은 영화는 아닌거같아오,,,,,,,,,
722,여전사 등장. 가짠타.,,,,,,,,,
723,조연 두명이 양념역활을 하는군요.,,,,,,,,,
724,무섭더라. 그리고 중간중간 음향효과가 갑자기 크게 나오는 장면에서 간 떨어질뻔...,,,,,,,,,
725,블룸하우스 작품들중 완성도가  많이 떨어진다.,,,,,,,,,
726,7.5 영화관에서는아니지만 비록 기억도안나는 1편을 보고 간만에 줄거리도모르고본영화지만 단순하게 공포영화로써 깜짝놀래켜주는건 하난 잘한듯 공포장르에맞는 연출이여서 큰기대안해서 만족스럽게봄 다행히 3412순서로 진행되...,,,,,,,,,
727,밤에 혼자봐야 리얼 공포를 느낄수있다. 1,,,,,,,,,
728,가벼운 공포 가벼운 끝맛.,,,,,,,,,
729,구라안치고 이영화는 깜놀이 나오는데 솔까 코미디영화다 보면안다 ㅋ 늙은할매 만렙법사다  귀신이절때못이긴다 ㅋ,,,,,,,,,
730,중간에 제임스완감독이 잠깐 나오네,,,,,,,,,
731,내기준 제일무서웠음...,,,,,,,,,
732,너무아쉬운.공포라는장르가정말쓰담쓰담할땐;,,,,,,,,,
733,무서웠습니다아아아앙,,,,,,,,,
734,시리즈의 사족.. 특히 감독이 바껴서인지 전편들에서 봤던 촘촘한 공포감 대신 무리한 설정들과 억지스런 훈훈함,,,,,,,,,
735,핵로잼...,,,,,,,,,
736,무서워요... 중간중간에 이불필수품이더만....ㅠㅠ,,,,,,,,,
737,뻔히 드러난 악령은 무섭지가 많다는,,,,,,,,,
738,청각보다 시각에 신경을 쓰는 영화다운 영화가 되길 바란다...,,,,,,,,,
739,굳이 안나와도 됬을 프리퀄.,,,,,,,,,
740,코미디라고 왜 안알려줬냐잉?,,,,,,,,,
741,무섭지 않은 공포,,,,,,,,,
742,적당한 수준의 공포영화,,,,,,,,,
743,재밌어요~!!ㅇㅅㅇ,,,,,,,,,
744,913427846ㄷ,,,,,,,,,
745,아주아주아주 잼있어요,,,,,,,,,
746,이제 개그 드라마로 가는구나,,,,,,,,,
747,첨엔 지루하다 싶었는데 중간에 한번 땅콩 엎지름,,,,,,,,,
748,앨리스님의 트라우마 극복기. 인터넷사기치던 터커&스펙스와의 인연. 여장살인마 할배귀신,,,,,,,,,
749,전작들 보다 공포는 덜하고 이야기는 약간 아쉽지만..재미있다.,,,,,,,,,
750,인시디어스를 등에업은 호러물....짝퉁인데도 그럭저럭 볼만하다...,,,,,,,,,
751,별로 안무서웠당....,,,,,,,,,
752,예상보다 안무서웠고 1,,,,,,,,,
753,컨저렁이 너무 쎄서...ㅎㅎ,,,,,,,,,
754,재미있었어요! 뭔가 무섭지만 하하하,,,,,,,,,
755,후달달합니다....너무 경끼 일으켰어용,,,,,,,,,
756,간만에 재미있게 봤습니다~~^^,,,,,,,,,
757,허니잼ㅋㅋ 영글자수지한,,,,,,,,,
758,[8점] 인시디어스4 너무 기대됩니다.,,,,,,,,,
759,눈감고 사운드로 공포를 느껴야 하는 ..,,,,,,,,,
760,시간가는줄 모르고 재밌게  봤어요~,,,,,,,,,
761,넘나무시무시하고무시무시한영화,,,,,,,,,
762,1이나 2에 비해 많이 약하지만 그럼에도 제임스 완이다...,,,,,,,,,
763,인시디어스는  사운드와 갑자기 튀어나오는 귀신으로 깜놀시킴. 고전적인 수법인데도 계속 놀람. 사운드와 시각적 효과로 깜놀시키는 건 공포를 암만 즐겨봐도 면역이 안되네요. 계속 놀람.ㅋ,,,,,,,,,
764,정말재미있어요 강추추추,,,,,,,,,
765,앨리스 할머니의 연기력은 뛰어났지만 시간이 아까운 영화,,,,,,,,,
766,어떤 영화 였는지 기억도 잘 안난다,,,,,,,,,
767,굿멋있음오오오잼썼음,,,,,,,,,
768,걍 그랬어요 별로 무섭진 않음,,,,,,,,,
769,재밌었음.재밌었음.,,,,,,,,,
770,음 인시디어 스 3 는 너 무 나 도 재 미 있 게 감 명 깊 게 봤 어요,,,,,,,,,
771,어떻게 하면 놀래킬수 있는지 제대로 아는 연출력!!,,,,,,,,,
772,재밋음 이거본후 이시디어스 시리즈 다 찾아봄,,,,,,,,,
773,사후세계에 대해 읽은적이 있는데 다양한 경험들속에  하나같이 똑같은건 죽은직후 깜깜한 터널 같은곳을 지나 갔다는것 이였는데 왠지 비슷한 느낌이여서 흥미 있었음!  저승도 이승과 다를바없이 착한이가 있으면 악한이도 존...,,,,,,,,,
774,존 잼나는구만.대박이다,,,,,,,,,
775,전작들에비해임팩트가약해졌고개연성도,,,,,,,,,
776,놀래키는 것은 정말 일품.,,,,,,,,,
777,이용철 평론가 소름돗네..1편도 혹평 해놓고,,,,,,,,,
778,무섭긴한데 전 좀 유치했어요.,,,,,,,,,
779,전작들에 비하면 아쉽지만,,,,,,,,,
780,한국에선 흰 개만 귀신을 볼 수 있는데 저기는 갈색 개도 가능하네,,,,,,,,,
781,앞 열 중딩들 벌벌 떨면서 거품 물고 넘어가는 재미,,,,,,,,,
782,저어어어엉말재밋게봣어요,,,,,,,,,
783,앨리스 아줌마 연기 진짜 좋았는데 영화가 너무 망작이다 ㅠㅠ,,,,,,,,,
784,다른 건 다 제쳐두고 할머니 진심 멋있음,,,,,,,,,
785,괜찮은 영화였던것같아요 ㅎㅎ 심심할때 보세여 ㅎ,,,,,,,,,
786,괜춘.... 무서웟다,,,,,,,,,
787,초반부만 공포영화같고 중반 넘어가고 후반 넘어가면 유치한 특촬물 수준,,,,,,,,,
788,인시디어스는 국내 해외 영화를 통틀어 최고의 공포영화이다 볼때마다 다음편들이 기대가된다,,,,,,,,,
789,두근두근 대면서 보기 좋은 영화,,,,,,,,,
790,인시디어스특유의공포임.엄~청 공포에질리는 그런건아니었음.,,,,,,,,,
791,엄청무섭고 재미있어요,,,,,,,,,
792,무섭긴 한데.. 뭔가 어정쩡했던..,,,,,,,,,
793,평점 패륜아님 개웃 ㅋㅋ 전 걍 볼만햇어여ㅎ,,,,,,,,,
794,재밌아요 버세요 꿀임!!,,,,,,,,,
795,기대에못미쳐서 아쉬웠다.,,,,,,,,,
796,ㅠㅠ그저그랏음열자9ㅏㅇ,,,,,,,,,
797,무서원진짜 깜놀하고  개무서워용,,,,,,,,,
798,아주훌륭하군ㅋ3도 나왔으면좋겠다,,,,,,,,,
799,버스안에서 우연히 봤다가 재미있길래 집가서 제대로 볼꺼임,,,,,,,,,
800,재밌게 봤습니다~ 또 보고 싶네요 ㅋ,,,,,,,,,
801,마지막 장면이 가장 무섭지만 그게 전부.,,,,,,,,,
