,content,,,,,,
288,스릴은 있지만 미스터리는 아니고 그냥 죽으니 안좋다. 뜻있는 결말이라 1점추가,,,,,,
289,내용이 좀 단순하긴 해도 몰입감있다. 깜놀은 아니지만 전체적으로 꽤 무서움.,,,,,,
290,인시디어스에 나오는 할머니 연기력 덕분에 더 긴장됐던거같아요 ㅎㅎ 화질은 좀 안좋지만 꽤 무섭고 재밌어요,,,,,,
291,이미 15년전 영화라 어느정도 예상 되었지만깔끔한 저예산 공포 스릴러~,,,,,,
292,영화시작하고 20분만에 결말을 알게됐지만 영화끝날대까지 재미있게 봤다.,,,,,,
293,안무섭고 웃김ㅋㅋ 근데재밌어요,,,,,,
294,좀 너무 늦게 본 감이 있지만 수작이네요 ㅎㅎ반전의 절반은 예상 했지만 나머지 반은 예상 못 했어요 ㄷㄷ::,,,,,,
295,졸음운전 절대 금물!!,,,,,,
296,이젠 흔해빠진 반전이지만 당시로서는 획기적이었다. 특유의 이상한 분위기가 공포스럽고 괴기스러운 영화,,,,,,
297,재밌게 잘 보았습니다.,,,,,,
298,엄마랑 자야지....,,,,,,
299,최고의 위트. 10자10자10자,,,,,,
300,엄마랑 아들 역할진짜 꼴보기싫음,,,,,,
301,알 수 없이 뒤죽박죽이지만 결론은 하나다.,,,,,,
302,영화는 잼있네~ 중반쯤 됬을때 내 예상이 결말에 나온걸 보고 기뻣음~,,,,,,
303,영화속 인물처럼 화면밖에서 보는 나조차 답답해진다. 표현을 아주 잘한 것 같다.,,,,,,
304,지루한건아닌데,,,,,,
305,낯설음을 잘 활용한 사례.,,,,,,
306,반전 영화라고 큰 기대를 하고 봤는데 참... 뻔한 반전과 엉성한 스토리,,,,,,
307,최고!^^* 공포,,,,,,
308,반전 예상도 못했다. 처음에 오해했다가 나중에 알았다. 꽤 괜찮음,,,,,,
309,10점까진 아니지만 반전도 괜찮고 공포 영화 중에서는 연출도 괜찮아서 플러스 2점~,,,,,,
310,멋진영화 후회는 없다.,,,,,,
311,리뷰를 보고 소름끼쳤음 ㅜ..,,,,,,
312,참신한 매력이 돋보이는 영화!!!! 진심 최고 가족의 소중함을 느낄 수 있었다,,,,,,
313,신선한 소재를 굉장히 잘 살림!,,,,,,
314,오 신선했다!!!!! 진짜 첨부터 끝날 때까지 긴장가 최고였음. 이 정도면 수작임!!!,,,,,,
315,2011年 春/ 나까지 기절했다가 깨어난듯한 느낌,,,,,,
316,그냥저냥.. 마지막에 오히려 공포를 반감시키지 않았나하고..,,,,,,
317,이런게 b급영화의 제맛이지,,,,,,
318,독특한 분위기가 주는 공포가 매우 맘에 들었음. 꿈에서의 환상이라는 설정도 맘에듬,,,,,,
319,평점이 왜이래 ㅡㅡ 이정도면 휼륭하다,,,,,,
320,쵝오~ 신선한 공포,,,,,,
321,무서웠음..,,,,,,
322,콩가루집안 ㅎㅎ,,,,,,
323,저예산치곤 뽕뽑았다,,,,,,
324,7년전 우연히보고 짱이라며 흥분했다가 제목을 최근 알게되어 다시봐써요,,,,,,
325,이거 원작 책 제목 뭔지 아시는분?,,,,,,
326,꼭 잔인하고 사람죽이는 장면이 나와야지만 공포영화가 아니라는걸 알려준영화,,,,,,
327,블록버스터의 붕붕펀치보다 급소를 찌르는 저예산의 날카로운 펀치가 더 무서운법,,,,,,
328,음산하다 무섭고 꽤 괜찮은 작품이라생각함,,,,,,
329,호러+블랙유머+가족애의 조화,,,,,,
330,저예산으로도 훌륭한 영화를 만들 수 있다는걸 느꼈는데.. 평들이 왜이래 ㅋㅋ,,,,,,
331,킬링타임용 뻔하다 근데 안 지루하다 이상한 영화다,,,,,,
332,영화를 통해 원작이 보고 싶어지는 경우는 극히 드문 경우!,,,,,,
333,너무 무서워서 중간에 보다 말았는데,,,,,,
334,이게안무섭단놈들은 밤에혼자이불덮고 엠피로 보지않은것들이다--아 여자얼굴소름끼쳐,,,,,,
335,고어물 쩌는거 진짜 수십편은 봣는데도 이런 미친심리적공포는 엑스텐션후로 처음이다,,,,,,
336,내가본 공포영화중에 최고!!안무서운애들은 고호물이나 보길~,,,,,,
337,피튀기는 영화보다 훨씬 소름끼침,,,,,,
338,스릴러로서는 아주 굳~,,,,,,
339,재미 + 공포 잔인한 장면도 별로 없구 여러모로 만족함 ㅋ,,,,,,
340,심리적인 공포가 최고 근대 좀 아쉽다,,,,,,
341,그냥저냥 ㅋㅋㅋㅋ,,,,,,
342,영화 볼 줄 모르는 사람들 참 많네.. 스릴러 영화 중에서 이만한 영화 거의 없다,,,,,,
343,내용을이해하기힘들뿐ㅠㅠ재미는있엇다,,,,,,
344,등에 식은땀이 나긴 하더라...,,,,,,
345,꽤 재밌게 본 영환데 평점이 낮네요. 심리물이라서 그런가..,,,,,,
346,상당히 수작이다.. 강한임팩트의 공포영화를원하는 사람들한텐 비추~,,,,,,
347,레알 코미디,,,,,,
348,기가 막힌 설정 진짜 재밌는 영화!!!!!!,,,,,,
349,공포라는 감정이 저 길에서 달려오는 자동차에 뭍어난다,,,,,,
350,같은 길을 지나칠수록 긴장감이 맴돈다. 그 길을 따라서..,,,,,,
351,2번 봐도 재밌다^^*,,,,,,
352,내가 제일 좋아하는 스타일!!!,,,,,,
353,별 5개로는 부족하다~!!!! 결말에서의 충격이란!!!!,,,,,,
354,간만에 본 수작. 치밀한 구성과 저질스럽지 않은 공포분위기가 훌륭하다,,,,,,
355,제법 그럴싸하니 공포스런 분위기는 좋았다. 반전이라기엔 너무 뻔한 결말,,,,,,
356,반전쩜 얼른보셈들,,,,,,
357,10 스릴도 있고 반전의 반전 굿^^*,,,,,,
358,정말 잘 만든 수작... 다 보고 나오면서 극찬을 하게 되더군요.,,,,,,
359,무섭다 마지막장면까지 궁금증을 유발했다,,,,,,
360,아이인사이드랑비슷함. 사고나는장면부터 결말예측가능.그래도볼만함,,,,,,
361,긴장하면서 봄 깜놀하기도하고 재미까진 몰라도 괜찮았음,,,,,,
362,방금본 파라노말 머시기에 비하면 이게 훨 무섭지,,,,,,
363,아이디어만으로도 영화를 잘만들수 있다는 사실,,,,,,
364,협소한장소 허접한연기치곤 재밌었다.,,,,,,
365,밤에 혼자 불꺼놓고봣는데... 완전 섬뜩하던데;;; 결말이 쫌 허무하다는?,,,,,,
366,솔까말 영화 나쁘진 않네,,,,,,
367,수작 트라이앵글에 전편이라 볼 수 있군,,,,,,
368,내용을 잘보면 정말 최고임.. 평점이 극과극인데 재미없다는놈들은 정말 이해가 안됨!,,,,,,
369,초저예산 영화의 막강한 힘...돈많이 쓰는게 능사는 아니다.,,,,,,
370,그러게요..저도 재미있게봤는데ㅎ,,,,,,
371,헐.... 이 영화에 별점이 이따구라니... 가슴한켠이 참담하다 ㅋㅋ 어이없네,,,,,,
372,깔끔한 공포 영화의 수작. 난잡한 슬레셔 무비보다 낫다,,,,,,
373,몇년전에 밤에 혼자봤었는데 아직까지도 이영화보다 무서운 영화를 못봤음 최고최고,,,,,,
374,아줌마때문에 짜증났음 나머지는 재미있었음,,,,,,
375,예산은 적게,,,,,,
376,예고편이 참...오래된듯 하지만 내용만큼은 절대 틈이 없을 정도로 잘 만들어졌어요.,,,,,,
377,보는동안에도 무서웠는데,,,,,,
378,옛날에 봤을때 굉장히 재미있게 봤는데.. 또보고싶네 .,,,,,,
379,솔직히...쩔지는 않지만 괜찮았음...특히 마지막...병원에서..후우...ㅋ,,,,,,
380,잘만든 공포영화다. 스토리의 헛점도 없는 완벽한 공포영화. 강추한다.,,,,,,
381,저예산 킬링타임무비의 표본,,,,,,
382,꽤 볼만한 영화!,,,,,,
383,저도 비슷한 경험이 있어서 더욱 몰입!하면서 봤네요. 재밌게 봤습니다.,,,,,,
384,긴장감을 놓칠 수 없었다!!어느 한곳을 계속 맴돈다는 건 정말 무서운 설정이야,,,,,,
385,흥미진진하고 재미있음.,,,,,,
386,정말로 실존하는 장소와 일어났던 사건을 소재로 했다는게,,,,,,
387,새벽에 혼자 불끄고 보는데 긴장감 장난 아니였다 평점좀 더올리자 ㅋ,,,,,,
388,영화 보는 내내 가족들 상태가 영 이상하다고 했는데 .  역시나,,,,,,
389,영화가 끝나고도 후유증처럼 계속 생각하게 된다.,,,,,,
390,아,,,,,,
391,굿,,,,,,
392,제가본 공포/스릴중 1th 인정하는 영화!,,,,,,
393,저 예산 공포영화 내용은 굿,,,,,,
394,다보고나서 대충 이해했지만 리뷰를 보고 충격.. 이런영화 또 없나요?,,,,,,
395,생각없이 보다가 뒷통수 맞는영화,,,,,,
396,아무리 저예산 공포영화라지만 너무 쌈마이틱하잖아,,,,,,
397,간만에 놀랐다... 무섭고,,,,,,
398,이런게 공포다...다시보기 싫다 - -,,,,,,
399,대박~ 무서워 ㅜ,,,,,,
400,한참 전에 본건데 아직도 인상깊음,,,,,,
401,밑에 OO 이게 왜 블랙코미디냐,,,,,,
402,한국서 이런블랙코미디를 이해할거라 기대치않는다.미국놈들도 한국볼때 마찬가지겠지,,,,,,
403,영화의 50% 이상이 차 안에서 이뤄진다 해도 과언이 아닌 그 속에서의 긴장감은 쵝오!,,,,,,
404,간지 그 자체,,,,,,
405,같이봤던 친구들과 토론해보면 생각치못하게 섬뜩했던 부분도 많았던..ㅠㅠ,,,,,,
406,이야 반전도 있고 재밋음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,
407,공포영화 중에 최고~ 반전도 있고,,,,,,
408,무셔웠어염,,,,,,
409,정말영화짜임세있네요 영화의 내용을 이해해야함,,,,,,
410,중반부에 별로라서 껏는데 후반부가면 재밋나요???,,,,,,
411,쉽고 화려한 것만 찾는 어린분이 많아서 평점이 심하게 낮네요..제대로된 공포영화,,,,,,
412,길지않아서 선택했지만 애들장난같다 ^^ 시간죽이기용으로보세여,,,,,,
413,네이버 정신차려라 네이버 정신차려라 네이버 정신차려라 네이버 정신차려라,,,,,,
414,머죠? 이거 지금 상영하나요? 이게 언제때 영환데...ㅎㅎ 재밌긴 했지만...,,,,,,
415,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ네이버 뻘짓 완전 웃곀ㅋㅋㅋㅋㅋㅋ,,,,,,
416,ㅎㅎ 괜찮게 봤던 영화 근데 난 2010년 더로드를 보려왔을 뿐이고...,,,,,,
417,그러게 이게 왜있지ㅋㅋ 암튼 공포영화로선 최고다~,,,,,,
418,네이버 영화 오류인가요ㅋㅋㅋㅋㅋ 동명이라서 헷갈리셨나ㅋ,,,,,,
419,동명의 영화를검색하다 이 영화 평점을 보니..영화수준에 비해 너무 낮은 평점~,,,,,,
420,"아래 평점 "" 이 영화의 모든것을 이해했다면 낮은 평점을 줄수가 없음""에 완전 공감.",,,,,,
421,영화를 보고난후...오랜동안 휴우증 난 정말 무섭게 봤던영화 심리적인 공포짱^^,,,,,,
422,이정도는 돼야 어디가서 공포영화라고 말할 수 있는거다. 평점 8점이상임.,,,,,,
423,첨엔인해안되지만 보는내내의 긴장감이야말로 공포영화를보는재미ㅋ,,,,,,
424,소재나 개연성이 좀 특이하지 않나 싶은데..스릴도 있고.. 보고나서 해석을 찾게 됨,,,,,,
425,전혀 말이 안되는 영화 공포에만 신경쓰고 스토리에 신경쓰지 않은영화 비추,,,,,,
426,이영화의 모든걸 이해했다면 낮은평점을 줄수가없음...보고난후 많은생각을하게만듬,,,,,,
427,이런게 공포영화지. 적당히 잔혹하고 적당히 반전도 있고 적당히 생각할 거리도 줌.,,,,,,
428,이런걸 바로 진흙속의 흑진주,,,,,,
429,솔직히 8.5이상은 된다. 잘 알려지지 않은영화지만 명작이다.여운이가시질않는다.,,,,,,
430,해석을 보고나면 놀라움을 금치 못할것이다.,,,,,,
431,정말 예상치 못한 반전,,,,,,
432,내 인생에 최고의 공포영화,,,,,,
433,깔끔한 반전,,,,,,
434,아이덴티티' 이상도 이하도 스릴러,,,,,,
435,코미디와 공포를 잘 버무린듯하지만 기억에 남을거같진 않다.,,,,,,
436,평점조금만 올리자 ..그래도 8이상은 되는거 같다.,,,,,,
437,나쁘지는 않은영화..재미없진않았지만 썩 기억에 남을것같지도않습니다..,,,,,,
438,피가 흐르고 살이 찢기는 것만이 공포는 아니다. 잠시도 긴장을 늦출수 없다.,,,,,,
439,영화 좋다,,,,,,
440,밤길이 무서워진다 너무 무서운영화,,,,,,
441,어떤해석이 맞는건지 알수없는영화 여러가지 해석을보면서 진정한 재미를 느끼는영화,,,,,,
442,제겐 최고의 공포영화로 남을것 같습니다. 공포영화중 사이코,,,,,,
443,마지막 장면을 보고 나서야 전체적 스토리가 이해가됬다... 끝까지스릴만점!!!,,,,,,
444,지식인 보고서야 이해되는 영화..이건 명작입니다.,,,,,,
445,두번봤다 말이 필요없다. 재밌다,,,,,,
446,정말 오삭하게 만드는반전...첨부터 끝까지 집중하게 만든 영화,,,,,,
447,처음부터 끝까지 긴장감의 연속이었다.,,,,,,
448,죽이고 도망치는 호러영화와 급이 다르다.,,,,,,
449,보고 잠안왔다,,,,,,
450,계속 보면서 살이 오그라드는 이느낌 *_* 나중에 보여주는 엄청난 반전,,,,,,
451,기억에 오래도록 남는 영화중에 하나...,,,,,,
452,이게 실화였다니 정말 놀라운 영화 너무재미있다 이런류의 스릴러 굿,,,,,,
453,굿,,,,,,
454,처음엔 뭐 이런영화가 있어 짜증났는데 오~그런 반전이.. 정말재밌게 봣습니다,,,,,,
455,점수가 너무 낮다. 난 이런류의 공포영화가 조아~,,,,,,
456,뭔가 시원치는...하지만 처음부터 끝까지 몰입력은 대단함..,,,,,,
457,초반부터 깔끔하게 몰입할 수 있는 영화!!! 너무 좋아!!!,,,,,,
458,공포영화치고 볼만한 수준.,,,,,,
459,감독이 일부러 사고도 살인도 아닌 쪽으로 만들어 놨는데. 우리가 억지로 끼워 맞추,,,,,,
460,흡입력 있는 영화,,,,,,
461,잔인하디않으면서도 무섭고 긴장감있어서 재밌고 좋았다,,,,,,
462,아이영화 ㅋㅋㅋ 말그래도 '재밌'는 영화랄까ㅡ ㅡ.독득했음,,,,,,
463,영화보시려면 아무정보없이 혼자보시고 나서 리뷰 ㄱㄱ,,,,,,
464,꽤나 긴장 되는 영화...,,,,,,
465,이 영화평점을 5점이하로주는인간들은 '영화'를 못보는 사람들... 그냥액션영화나쳐봐,,,,,,
466,블랙코매디인줄 알았네요. 뭔일하나터지면 과거사 고백하고 반전도 별로,,,,,,
467,자막땜에 정말 짜증났지만 재밌었음,,,,,,
468,보는내내 짜증만 났던..,,,,,,
469,미스터리한 맛은 있는데 긴장감이 부족한 스릴러 영화,,,,,,
470,처음부터 예상 가능한 결말이었지만,,,,,,
471,까발려지는 가족사의 천재적인 저예산,,,,,,
472,저예산이라서저예산냄새가 풀풀 나긴 하지만 긴장감과 마지막 맞춰지는 퍼즐들은 최고,,,,,,
473,솔직히 이영화는 공포위주는 아니고 몇몇개는 억지가있다.,,,,,,
474,저예산 영화의 정점을 보여주는듯,,,,,,
475,보고나서 밀려오는 감동,,,,,,
476,굳,,,,,,
477,식스센스와 디아더스가 없었다면 몰라도...시작부터 예측할수밖에 없는..,,,,,,
478,영화 해석을 보고 나니 더 오싹하네요~최근에 본 공포중에 제일 맘에 들어요,,,,,,
479,공포영화치고 크게 무섭지 않았고,,,,,,
480,다보고 되짚어보는 재미가 쏠쏠~,,,,,,
481,폐쇠적인 공포감과 깜찍한 반전...인물들의 성격... 다 마음에 든다,,,,,,
482,결말의 반전 볼만 했다....... 여운이 남는영화?,,,,,,
483,볼 때 보다 보고 난 후가 더 재밌는영화,,,,,,
484,긴장의 꼬리를 난 마지막 장면에서 놓쳐버렸다. 오 제발 이게 꿈이라고 나에게 말해줘,,,,,,
485,영화 시작하자마자 바로 몰입하게 만드는 영화. 시간가는줄 모르고 봤음.,,,,,,
486,재밌었는데 반전이... 이미 다른영화에서 3번정도 본지라...엔딩만 좀더 색달랐다면!!,,,,,,
487,막판 반전 비스무리가 ..기억에 남는....,,,,,,
488,본지는 꽤 됐지만 지금껏 봣던 공포중에 최고영화였다.. 지금도 최고다,,,,,,
489,심리적공포가 역시 잔인한것보단 낫죠,,,,,,
490,소름이 쫙쫙~ 뒷맛은 약간 씁쓸....,,,,,,
491,내가본 공포영화중 가장재밌었다 잘만든영화,,,,,,
492,잘 만들었다.,,,,,,
493,최고의영화!  영화보고나후  해석보면 완전쩔어요ㅎ해석꼭 보세요,,,,,,
494,설정은 매력있다. 가족간의 이야기를 좀 더 매끄럽게 풀어냈으면 좋았을걸..,,,,,,
495,무섭지는 않은데 조마조마하며 봤다. 나름 신선한테 이해가 잘 안간다.,,,,,,
496,내가본 최고의 공포영화,,,,,,
497,와 긴장감 스릴 굿,,,,,,
498,저예산 영화로 괜찮은 작품,,,,,,
499,아주 천천히 다가오는 긴장감..어느덧 이불밑에 있는 나....,,,,,,
500,살면서 본 공포영화 중에 최고 명작입니다.,,,,,,
501,피가 낭자하는 영화가 아님에도,,,,,,
502,아따매 후덜덜 하네~~,,,,,,
503,스토리전개나 긴장감 모두 좋았다..,,,,,,
504,신선했다,,,,,,
505,처음으로 영화보고나서 다른사람들 리뷰 찾아다녓다,,,,,,
506,밤에 불 끗고 보기 좋은 영화,,,,,,
507,영화에 몰입했을 때의 긴장감은 굳!!,,,,,,
508,특별한 특수효과나 화려함없이 잘만든 수작,,,,,,
509,결말이 아쉽긴하지만 그전까지는 엄청나게 흥미진진!!,,,,,,
510,재밋습니다 대단히 이런거 낮게주는사람이해가안갈정도고요,,,,,,
511,이 영화 물건이네요 ㅎㅎ,,,,,,
512,이거 이해한사람 별로 없을걸? ㅋㅋㅋ,,,,,,
513,굿. 괞찬은 걸...ㅋㅋㅋㅋ,,,,,,
514,대박이죠?,,,,,,
515,저예산영환데 이정도면 성공!!,,,,,,
516,우연하게 기대않고 보았다가..보석을발견한듯한.  흥미롭고긴장감있는 공포영화,,,,,,
517,작은 소재로도 공포감을 극대화할 수 있다니. 그것을 끝까지 끌어가는 힘은 경이롭다,,,,,,
518,세상에 이런영화가 없다 진짜 완전 추천 꼭 보세요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,
519,많은 공포영화를 봐왔지만.. 보는 내내 가슴졸였던 영화는 첨인데요..,,,,,,
520,아 그냥 쓰레기영화다...평점 높게 주는 또라이들은영화100번 봐라 ㅋㅋㅋ이게 영화야,,,,,,
521,모르고 보면 이상하지만 알고보면 감탄이 나오게 만드는 영화,,,,,,
522,나름 신선한 공포영화...중간쯤부터 결말이 대략 예상이 가지지만...,,,,,,
523,쵝오,,,,,,
524,공포영화로서는 괜찮은영화. 하지만 반전에 신경쓰면 재미반감,,,,,,
525,평점을 낮게 주는놈들은 이해를 못하는놈들이다 ㅋㅋ 10번더 봐라,,,,,,
526,공포영화볼때마다 실망했지만 더로드~~괜찮네,,,,,,
527,왜케무서워 씨1발 오줌쌀뻔햇네 씨1발 무서워 아 무서워 씨1발 울엇자나 OOOO,,,,,,
528,평점이 낮다,,,,,,
529,섬뜩한 현실적인 반전 공감간다,,,,,,
530,반전괜찬던대 ㅋ영화내용도괜찬고 스릴도잇고,,,,,,
531,영화끝날때까지 심장이 터질것같았다..인간의 심리상태를 정말 잘 표현한영화,,,,,,
532,5점 밑으로는 반전이 맘에 들어야만 평점 잘나오나?이해못하거나?영화만 잘만들었구만,,,,,,
533,살짝 피식하게 만든 영화,,,,,,
534,왜? 난 너무 잼있든데 ㅋㅋㅋㅋㅋ 마지막에 깜짝놀랬다 오랜만에 반전,,,,,,
535,그냥 그럭저럭 볼만한 영화,,,,,,
536,볼만하다.. 여운이 많이 남는 영화,,,,,,
537,그닥,,,,,,
538,굿,,,,,,
539,스릴과 블랙코미디로 잘빠진 값싸고 질 좋은 영화,,,,,,
540,저예산 혹은 B급영화의 수작. 처음부터 끝까지 스릴있고 공포감있게 조성된 로드!,,,,,,
541,저예산 호러 영화의 모범이란 말에 전적으로 동의한다. 깔끔하고 절제된 심리적 공포!,,,,,,
542,처음부터 끝까지.. 몰입 그자체. 30분 지난거 같았음. 생각도 하게되고.....,,,,,,
543,한편의 재밌는 공포 영화,,,,,,
544,나름 괜춘햇음.,,,,,,
545,허무하다,,,,,,
546,잔인한장면을 보여주지 않으면서 공포를 부르는 방법이 차별성있는거 같다.,,,,,,
547,누구나 예상 가능한 결말인 것과 과정이 다소 억지스러운 것만 빼면 괜찮은 공포영화,,,,,,
548,돈안들이고 만들수있는 극악의 공포라고 생각한다....정말 대단한 공포,,,,,,
549,이동하는차안이라는 특이폐쇄적공간에서 감정충돌의 스파크는 긴장감을 폭발시킨다.,,,,,,
550,이해안될정도의 멍청한 행동을 반복하는 인물때문에 짜증만 난다,,,,,,
551,끝이 보이지 않아..........,,,,,,
552,같이보자한 친구에게 미안해지는 영화,,,,,,
553,그닥..중간중간 코미디스러운거뭐냐ㅋㅋ,,,,,,
554,기대치보다 높은 영화,,,,,,
555,단순한 공포영화가 아니다. 비록 몇년된 영화라지만 새롭다,,,,,,
556,처음에 너~무 지루한데 그것만 버텨내면 몰입도 급상승~~,,,,,,
557,긴장감...ㅋㅋㅋ 짱,,,,,,
558,기대한게바보,,,,,,
559,이거 완전... 압박감이 장난이아니에요,,,,,,
560,정말 최고다,,,,,,
561,진짜 이런영화는 처음 압박감이 있지만 재미정말 없음 결말 뭐 이딴식,,,,,,
562,삶과 죽음의 모호한 경계에서 드러나는 숨겨진 가족사,,,,,,
563,잼있네~~ㅋ,,,,,,
564,긴장감의 연속.. 결말은 좀 허무,,,,,,
565,정말 긴장감과 섬뜻한영화로써 꼭보았으면하는영화입니다.,,,,,,
566,재밌긴한데 리뷰보면 볼수록 재미는 반감 ㅇㅅㅇ,,,,,,
567,악몽을꾼것같은느낌.. 하지만 결국 뭐지? 라는느낌을받음.,,,,,,
568,허를찌르는반전.. 섬뜻한영화이다 생각을많이하게만드는영화,,,,,,
569,잘 만든 영화이다.,,,,,,
570,요구하는 의도적인 집중이 아닌 자연스럽게 집중할수 있는 영화,,,,,,
571,다시생각하게만드는영화 해석할수록섬뜩해지는영화..끝으로갈수록긴장감이 극대화된다,,,,,,
572,공포영화중최고 걍놀래키거나 무서운게아님 내포된의미도많고생각할수있게만드는영화,,,,,,
573,"첨에 이해불능이라고생각했지만 지식인에서 설명을 보아하니 걍 ""와우!"" 보면암",,,,,,
574,넘 재밌고 스릴있었음! 쵝오,,,,,,
575,재밋다 딱 평점에걸맞는영화,,,,,,
576,이런 몽환적인 느낌 너무 좋아한다. 그리고 7점대가 맘에 안들어서 10점,,,,,,
577,솔직히 난 무섭지도 않고 그냥 생각만 많이 하게 한 영화,,,,,,
578,반전영화.,,,,,,
579,숨겨진 이야기가 더 놀라운 영리한 영화!,,,,,,
580,이런영화 참 맘에든다. 잔인한 장면없이두 이런 긴장감을 주는.......,,,,,,
581,정말 괜찮은영화...중요한건 이영화는 공포를위해만든영화다!,,,,,,
582,두고두고 기억에 남는 영화.....절대 후회하지 않는 영화...강추천,,,,,,
583,긴장감도 전혀없고,,,,,,
584,몽환적이면서 긴 악몽을 꾼것같은 느낌..,,,,,,
585,볼만,,,,,,
586,보는 내내 심장이 아팠 -_-완전.,,,,,,
587,보는네네 긴장감 쩔었다 시체좀 보여줬으면 하는 아쉬움이..,,,,,,
588,저예산 공포영화의 교과서,,,,,,
589,1점 준놈 뭐야 난10점,,,,,,
590,이 영화를 2005년도에 봤더라면 10점. 지금은 그저 식상한 반전영화.,,,,,,
591,숨 쉴수 없는 긴장감을 선물하는 영화. 심장이 멈추질 않는다.,,,,,,
592,진짜 무섭게 봤다. 내 취향이라서 그런지 모르겠지만...,,,,,,
593,무서운걸 원하면,,,,,,
594,영화를 본후 네티즌 리뷰를 몇개 읽어보고 나니... 소름돋는다..,,,,,,한마디로 진짜 무서운영화다
595,무섭지는 않았지만,,,,,,
596,극도의 긴장감... 무서움보다 분위기에 빠져든다,,,,,,
597,분위기 만으로도 충분히 공포스럽다,,,,,,
598,시종일관긴장감을늦출수없는새로운공포...으스스한분위기...내스타일!,,,,,,
599,흠 반전 기대하고 봣는데 솔직히 별로네요 ㅋㅋ 긴장감은 굿 ~,,,,,,
600,우와...정말 손에 쥔땀쥐며 봤습니다. 뭔가 어떻게 될것만 같은 분위기...끝내주네요.,,,,,,
601,이제껏 본 공포/스릴러 중 최고중 하나!! 귀신없이 이렇게 무서울수가 !!,,,,,,
602,심리적공포의 압박,,,,,,
603,초반엔 조금 지루한 감이 있었지만 갈수록 숨쉬는것도 무서운 영화ㅠㅠ..,,,,,,
604,막판에 반전이 꼭 식스센스 같앗다능~~~나름 갠찬앗다구 봄,,,,,,
605,아무 정보없이 본다면 그냥 웃기는 3류 공포영화.,,,,,,
606,재밌고 무섭고 놀라웠음 ! 강추!!,,,,,,
607,재미있다..,,,,,,
608,미스터리 스릴러..깔끔하게 잘 살린 작품..,,,,,,
609,나정말 이영화 100%이해한거같다 와진짜,,,,,,
610,이 정도의 예산을 가지고 이 보다 더 나은 영화를 만들수있을까,,,,,,
611,색다른 공포... 그 사건이 꿈이 었을까??,,,,,,
612,평점이 왜이렇게 낮지??? 10점줘도 모자란 명작,,,,,,
613,그냥 그냥~ ㅎㅎ,,,,,,
614,콩가루 가족의 4차원 저승 여행기. 으스스한 분위기.......,,,,,,
615,저예산 치곤 잘만든 영화...,,,,,,
616,긴장감 있게 봤다,,,,,,
617,나쁘지 않아,,,,,,
618,3번 봤는데 볼때마다 느낌이 달랐음,,,,,,
619,아무런 정보 없이 걍 봤는데 생각 외로 정말 재미있게 봤어여 반전도 좋았구,,,,,,
620,이 영화를 겉으로보지말고 내포하고 있는 것을 찾아라.,,,,,,
621,결말이 너무 썸뜻했어요 몰입도도 있고 잘만든 작품,,,,,,
622,긴장했다,,,,,,
623,공포영화치고 여운도오래남고 스토리도잘짜여지고 무엇보다 공포도 놓치지않아서 10점,,,,,,
624,평점 처음 줘본다..순간 짜릿 ㅋㅋㅋㅋㅋ,,,,,,
625,무조건 만점,,,,,,
626,괜찮았슴 평점 8을 넘기기위해 10점 줍니다.,,,,,,
627,반전과 반전 ,,,,,,
628,스포주의...    한 여자의 심리(?)극. 긴장감은 시종일관 거의 없었습니다.,,,,,,
629,평점 7.98밖에 안되냐?? 역시 네이버평점은 믿을게 못되 . 이거 완죤 재밌음 ㅋㅋ,,,,,,
630,저런길 운전 안해본사람은 모른다,,,,,,
631,분위기만으로도 충분한 공포감이 느껴지는 영화,,,,,,
632,모아니면 도인 영화.. ㅎ 허무와 긴장감이 갈등때리는.... 전 모에 걸겠습니다~~,,,,,,
633,정말 이거야 말로.. 내가 원하던 공포영화,,,,,,
634,반전 자체보단 긴장감 넘치는 스토리,,,,,,
635,나름 코메디적인 요소도 재밌었고 전체적으로 긴장감조성을 상당히 잘했다고 봄,,,,,,
636,보고나서 해석하는 재미가 솔솔한영화 ㅋㅋㅋ 끝이 없는 도로라는 폐쇄감도 굿,,,,,,
637,정말 최고의 긴장감조성 ㅋㅋㅋㅋㅋ 대박 ㅋㅋ,,,,,,
638,볼때는 쪼끔 재밌다가 보고난뒤 많이 여운이 남고 생각하게 하는영화,,,,,,
639,싸일런트힐보다 점수는 이게 더 높네..;; 싸일런트힐은 이해를 못해서 그런가..,,,,,,
640,반전이 스펙타클하진 않았지만 괜찮았고,,,,,,
641,최악,,,,,,
642,깜깜한 밤,,,,,,
643,반전이 멋진 영화.. 극도의 긴장감을 안겨준 영화다.,,,,,,
644,평범한 길위에서 엄청난 공포가 쓰며든다,,,,,,
645,여운의 영화!! 반전영화중에 가장 최고라는 생각이 듬... 별다섯개가 부족~,,,,,,
646,그래도 볼만..ㅎ,,,,,,
647,스토리구성치밀하고저예산치고잘만든건알겟는데난별루재미가없네....,,,,,,
648,반전에 반전을 거듭하는 무시못할 추리공포영화,,,,,,
