,content,,,,,,,
697,그냥.. 겟아웃이랑 어스가 나아요 조금뻔한 반전하구 음... 영화관에서 보면 사운드로 놀래키는 그런느낌...저 사운드때문에만 몇번 놀라서 불쾌했어요,,,,,,,
698,여주가 못생겨서 몰입이 안됨..,,,,,,,
699,그런 대단한 발명을 했으면서 기껏 스토킹이나 하다니 두뇌가 아깝다 차라리 마블 빌런이 되어서 세계 정복 야심이라도 가졌으면 덜 한심했을듯,,,,,,,
700,,,,,,,,
701,기승전결따윈 없다 그냥 인비져블 그리고 마지막은 뻔한 반전복수,,,,,,,
702,그냥저냥함....,,,,,,,
703,감독의 뛰어난 연출력이 뻔할수 있는 소재를 너무 잘 살려버렸다. 모든것이 밝혀지는 병원 복도씬은 이 영화의 화룡정점 그 자체.,,,,,,,
704,참 재밌게 봤으나 이해가 안가는 것중에 하나는 왜 애드리안은 여주에게 그토록 집착하고 아이를 갖고 싶어했을까?,,,,,,,
705,흔하디 흔한 스토킹 범죄 스릴러물. 이런 영화의 범인은 언제나 물리적으로 불가능한 공간 이동 능력과 제갈공명도 울고갈 치밀한 스테이지 연출력을 가지고 있다. 90년대~2000년대의 범죄 스릴러물에 익숙하지 않은 20...,,,,,,,
706,인간이 빈 공간에 가지는 상상력을 십분 활용한 스릴러 영화. 빈 공간은 새하얀 도화지처럼 언제든 다양한 색깔로 변할 수 있다. 때로는 따뜻한 일상적 풍경이 때로는 얼음처럼 차갑고 숨막히는 싸늘한 공포로...,,,,,,,
707,뭔가 예상했던건아니지만..뭔가 메시지를 준다는것보단 스릴러 공포 영화 로만 느껴졌다,,,,,,,
708,칼로 인비저블맨 찔러 죽이길 바랐는데 다 보고 나서 - 편안 -,,,,,,,
709,서늘한 오프닝이 좋았다. 대저택의 뷰도 멋지고. 초반의 공포는 상당했는데 중반부터 바람이 살짝 빠졌다. 소재나 여주의 분위기,,,,,,,
710,여주의 연기력이 이 영화를 거의 다 살린거라고 보면 될 것 같고,,,,,,,
711,연기는 좋았으나 보는 내내 답답함 짜증나죽을뻔,,,,,,,
712,"공포감은 사실상 투명인간의 소행임이 확정되면서 급격하게 줄어든다. 그래도 여주인공의 트라우마나 하나둘씩 주변인들이 돌아섬에 따른 극한의 외로움에 대한 표현과 연기는 훌륭했으며 그에 따른 몰임감도 좋다. 물론 ""...",,,,,,,
713,겟아웃,,,,,,,
714,공포,,,,,,,
715,다크 유니버스의 감각을 깨운 블룸식 소생술,,,,,,,
716,서스펜스와 SF합체 =  물과 기름 뭐이런건가,,,,,,,
717,신개념 공포...어디서 튀어나올지 심장 졸이면서 보게된다... 상황과 인물에 대한 의심... 추리하는 재미도 있음...,,,,,,,
718,엄청 기대햇는데 그닥...엄~~청 재미잇을줄 알앗는데..걍 그럭저럭..,,,,,,,
719,,,,,,,,
720,아...스토리 저질이네 ㅡㅡ  속터져 디지겄네답답해서 암걸리겠음!,,,,,,,
721,긴장하면서 재밌게봄 결말도 나름 깔끔,,,,,,,
722,투명슈트때메 환공포증왓다.,,,,,,,
723,관람객 하나도 없는 관에서 쫄보 두명이 보았다..너무 무서웠다ㅠㅠ짱구 노래 불렀음,,,,,,,
724,그냥 킬링타임으로 생각했는데재밌네요...!!,,,,,,,
725,무언가 더 나올 수 있을 법 한데 아쉽다. 기본기에 충실했다.,,,,,,,
726,간만에 신선한 공포영화였음,,,,,,,
727,간만에 제대로된 스릴러 한편 봤네요,,,,,,,
728,연기도 좋았고 반전이 굉장히 좋았어요!,,,,,,,
729,스릴러 좋아하는 분들이면더 재밋게 볼 영화라 생각합니다,,,,,,,
730,볼만한 영화이고 좀 잔인하다. (목자르는 것 등).,,,,,,,
731,처음부터 집중하지 않을 수 없게 만든 영화  여주인공의  연기 최고  저런 남자  있을까봐 무섭ㅎ,,,,,,,
732,주인공의 연기에 십점만점 드린다,,,,,,,
733,재미는 있는데 4주연속 1위까지는 아닌것 같다  가장 인상 깊었던것은 지금까지 투명인간 다룬 영화들은 다들 현실과는 멀었는데 이번 투명인간 슈트 설정은 미래에 충분히 가능한 설정이여서 충격!,,,,,,,
734,이 정도면 정말 수작이지,,,,,,,
735,신기술로 하여금 공포를 이리도 잘 표현해냄에 일단 점수준다첨부터 쫄깃하게 만든건 신의 한수였다.그나마 요즘 공포들(그루지,,,,,,,
736,착하게 살아야할듯 ㅎㅎ,,,,,,,
737,주인공 외에는 바보천치라는 설정은 한결같아 아쉬웠지만..존재에 대한 공포감보다 답답함과 충동에 정당함을 강요하는게 안타깝다.조금만 현실적인 감정선이었다면 몰입이 쉬웠을 것 같다.,,,,,,,
738,영리한 연출,,,,,,,
739,개인적으로 스토리가 새롭기도 했고 연기자 분이 연기를 잘하셔서 재밌었습니다 지인들은 중간에 살짝 지루하다고 느꼈다고 하네요!?,,,,,,,
740,보이지 않는 적이 젤 무서운 법. 굿잡,,,,,,,
741,재밌게 잘봤습니다. 서프라이즈~,,,,,,,
742,재미남 아쥬 스릴잇음 ㅌㅋ,,,,,,,
743,,,,,,,,
744,최대한 꼬았다고 생각한다. 최대한 뻔하지 않게 만들었다고 생각한다. 예고편이 너무 많은 걸 알려준 거 빼고.,,,,,,,
745,이제 다크유니버스는 불륨하우스에게 맡겨라,,,,,,,
746,생각보다 더 개꿀잼!!!,,,,,,,
747,여주 연기에 다크서클이 한몫했다~,,,,,,,
748,오랜만에 잼께본영화 ~~,,,,,,,
749,이거보고 식탁에 칼보니깐 개무서움,,,,,,,
750,에이 진짜 솔직히 9점짜리는 절대 아니잖아.... 그냥저냥 볼만한 수준... 스토리는 뻔히 보이지만 여주인공 연기력은 좋음. 총평은 추천안함!,,,,,,,
751,위대한 발명품을 겨우 이렇게밖에 못 쓰다니... 천재 억만장자의 비뚤어진 욕망이 낳은 참사.,,,,,,,
752,생각보다 안무서워요 깜놀포인트가 몇 개 있지만 그래두 재밌었어요 촬영지 어디인지 궁금해요 그 집 얼마인가요,,,,,,,
753,나도 평점 때문에 봤는데 진짜 역대급 노잼임 그냥 내용도 없고 하 내 2시간,,,,,,,
754,오늘 친구랑 봤는데 코로나 때문에 사람도 별로 없어서 무섭게 볼 수 있을거라 생각했던 내 생각이 무너짐. 내가 기대를 많이 했었는데..보고 싶던 영화였는데..딱히 무섭진 않았다.,,,,,,,
755,업그레이드를 재밌게 본 관객이라면 이 작품도 재밌게 볼 수 있을 있을 것이다.,,,,,,,
756,여주연기력이 뛰어나 나름볼만하다. 사이다마신느낌.,,,,,,,
757,이 영화에서 공포심을 유발하는 소재는 투명인간이라기 보다는 광기어린 집착이라고 보는 것이 맞을 듯 싶다. 어쨌든 이렇게 또 새로운 여장부의 탄생! 긴장감은 할로우맨과 비교해 다소 떨어진다. 7점 뙇|!!,,,,,,,
758,깔끔한 공포,,,,,,,
759,보고나서 개밥통 무서워서 버렸네요 진짜 ㅡㅡ 공포 스릴러 좋아하시는 분 강추,,,,,,,
760,[ S5 V5 D4 A5 ]　설정은 그럴 듯 했으나 전체적으로 수준 미달이다. 저 정도의 여자가 남자가 스토킹을 할만한 수준인지,,,,,,,
761,차라리 처음부터 끝까지 여주의 조현병으로 인한 망상이었고 먹던 약이 피임약이 아닌 조현병 약이었다고 하는게 더 나았을 듯... 갑자기 뜬금없이 동생이 범인이었다는게 말인가; 물론 해석해보자면 형이 동생에게 투명복을 ...,,,,,,,
762,오메.. 놀래라눈돌려가며봤네..,,,,,,,
763,무서운 장면 없고,,,,,,,
764,형이  한마디해준다 그냥봐라  존나  잼있다,,,,,,,
765,슈트를 숨긴걸 애드리안이 몰랐던거 아닐까요? 원래 전시를 투명하게 해놔서 없어져도 몰랐나봄. 이거 개연성 없다는 분들이 많아서 ㅎㅎ 공포를 생각하고 봣는데 재미있었습니다. 페인트랑 언니 죽는장면이 잴소름. 여쥬 연기...,,,,,,,
766,평점보고 엄청 기애하고 봤는데.. 처음 지루할때도 뒤로 가면 뭔가 있겠지 했는데.. 에휴... 네이버 평점은 이제 무조건 거른다..,,,,,,,
767,여자 할로우맨  초반부 영상미가 전부 ㅜㅜ,,,,,,,
768,The Invisible Girl,,,,,,,
769,별점 높게 준 사람들은 너도 보면서 죽어보라는 심보로 높게 준거야??,,,,,,,
770,그냥 그래요 어제 봤는데 저는 제일 무서웠던게 첫 장면에서 침대에 누운 여주인공  얼굴이었습니다 투명인간 스파이더맨,,,,,,,
771,긴장감있고재밋네요범죄스릴러물에가까워요,,,,,,,
772,기대를 많이 해서 그런가...개인적으로는 좀 별루였어요. 약간 지루한 감도 있고 슈트 나올 때 오히려 맥이 빠지는 느낌에 어색한 부분도 있고... 너무 기대를 많이 했나봐요,,,,,,,
773,sf영화네,,,,,,,
774,다들 잘주는 평점에 나는 지루하다고 1점 주면  본인의 취향이 특이하다고 생각하시길.알바타령은 그만하고.믿고 거르는 영화가아니라 믿고 거르는 관객일뿐.이정도 연출에 연기면 일단  별점 세개는 주고 시작이다.,,,,,,,
775,일반 공포영화 루트랑 거의 비슷하고 고구마만 잔뜩먹인다,,,,,,,
776,뭐 귀신 공포 이런거 없이 개짜릿함;;마지막 결말이 좀 허무했지만 그래도 고구마 얹힌게 다 내려간느낌,,,,,,,
777,이게 진정한 투명인간 공포지.... 할로우맨과는 비교도 안된다. 무언의 공포가 청각을 더욱더 활성화시켜 소름돋게 한다.,,,,,,,
778,,,,,,,,
779,페인트 뿌릴때 여주보다 크게 소리지른게 너무 부끄럽다 ㅠㅠ 보는 내내 너무 긴장을하고 봐서 몸이 너무 아프다 ㅠㅠ 이집은 끝나고나면 안무서운데 러닝타임동안은 너무 쫀다,,,,,,,
780,기대 안 하고 봤는데 꽤 괜찮았어요 몰입력이 좋네요,,,,,,,
781,,,,,,,,
782,슈트 쩐다,,,,,,,
783,혼자보는 영화중에 제일 무서운 영화,,,,,,,
784,남친이랑 눈가리며 봤어요^^;;  음향소리에 더 놀람T.T  재미있었어요^^굿굿~~,,,,,,,
785,간만에 핵꿀잼감상했네요,,,,,,,
786,,,,,,,,
787,제목은 인비저블맨인데 재미는 하프 인비저블일때가 진짜임,,,,,,,
788,흠.. 이거 좀 애매한데,,,,,,,
789,이정도면 여주가 빌런 아니냐. 표정부터 전투력까지 흠잡을데가 없음.,,,,,,,
790,초딩용 투명인간 인줄 알았는데 어른용 '서프라이즈' 명작이었네. 소름 돋는 카메라 워킹과 초점 변형. 한니발의 조디포스터를 떠올리게 하는 엘리자베스 모스의 명연기. 무엇보다도 감독이 어마무시하네.,,,,,,,
791,여주인공 연기 굿이에요,,,,,,,
792,일단 주인공이 답답이 1시간 50분 하다가 1분 뻥뚫어주긴하지만 너무 답답했다.,,,,,,,
793,,,,,,,,
794,주인공의 연기가 몰입감을 선사함 연출도 좋고 추천,,,,,,,
795,귀신얘기같아 무서워 하시는 분들 걱정말고 안심하고 보셔도 됩니다.그런식의 공포조장 아닙니다.투명스파이더맨 악당버전.카메라 구도가 좋아서 볼만했어요.,,,,,,,
796,오랜만에 스릴러 다운 스릴러를 보았습니다. 다만 아쉬운건,,,,,,,
797,"포스터랑 스토리만보고 놀라지마세요 무서운 장면 안나옵니당..그냥 눈에안보이지만 존재하는 사람이 스토킹하는 내용임..분위기가 익숙해서 찾아보니 영화.""업그레이드""감독 이였네요 ㅎ전작품도 재미있게봤는데 이...",,,,,,,
798,보이지 않는 공포가 얼마나 무서운지 알게 해주는 영화. 영화 끝나고 화장실 들렀는데 괜히 쫄렸다.,,,,,,,
799,Surprise!!,,,,,,,
800,기대 1도 하지않고 보았어요. 소름 만배~~~~재밌게 봤습니다 .,,,,,,,
801,영화관에 사람없어서 다행,,,,,,,
802,이 시국에 영화보러오길 잘못했지... 영화관에 나 혼자 밖에 없다 ㅠㅠㅠ ㅈㄴ 무서워,,,,,,,
803,오랜만에 흥미진진한 소재와 얘기로 기대했는데 재미있었다,,,,,,,
804,기대한만큼 재밌었어요,,,,,,,
805,마지막 결말 보고 암티 나았습니단,,,,,,,
806,나름 참신하고 잼있네요... 부연 설명들이 좀 부족하지만 그런거 빠져서 지루하지 않았나봐요,,,,,,,
807,,,,,,,,
808,간만에 재밌게 본 영화~,,,,,,,
809,영화가 개연성도 떨어지고 적과의 동침이라는 영화고 비슷한 구성이고 그냥 시간죽이기에 적합한 영화 정도입니다.,,,,,,,
810,영화라는 세상에선 핸드폰 동영상 기능이 없는거죠?나이 들면서 느끼는 게 공감력 떨어지는 영화는 쓰레기라는 것.,,,,,,,
811,마지막까지 멋진영화다. 공포보다는 스릴러 같음.,,,,,,,
812,가나다라마바어오도여샤,,,,,,,
813,아무 생각 없이 보러갔다가시간 가는줄 모르고 완전 잼나게 보고왔어요.,,,,,,,
814,무섭다기보다는 진짜 재밌는 공포영화였음 오랜만에! 눈을 못떼게 만드는..? 이런 공포영화 너무 좋아요,,,,,,,
815,*흑형 어마무시한 피지컬은 결국 쓸모 없었음.*여주인공이 2대 인비저블맨이 되어 어벤져스에 햡류 기대.,,,,,,,
816,재밌어요 사운드도 만족스럽고 쫄깃쫄깃 긴장감 정말 잘아는 감독같아요 추천,,,,,,,
817,집들어가면 불 좀 키자자동차극장에서 봤는데 어두워서 화면 겁나 안보이네,,,,,,,
818,사운드도 무섭고... 걍 예고편 대충 보고 귀신나오는 평범한 공포영환줄 알앗는데 아녓음,,,,,,,
819,귀신영화가 아닌데 이렇게도 재밌을 수가 있구나.어렸을적 투명인간 봤을때도 이렇게 무서웠었는데다 커서도 이렇게 쫄깃하게 무서울? 수도 있구나그리고 집에서 신발 신고있는거 넘나 불편...,,,,,,,
820,첨부터끝까지..1초도눈을떼지않았음..,,,,,,,
821,영화관에 나혼자 있다 무섭다 진짜 무섭다 그런데 저 앞에 쪽쪽거리는 소리가 들린다 뭐지????,,,,,,,
822,오랜만에 쫄깃한 호러. 감독의 차기작이 기대됨.,,,,,,,
823,보는 사람마다 해석이 다르게 나온 영화,,,,,,,
824,진짜 말없는 공포가 제일무섭다는걸알았다걸크럿더터지는여주모습에놀라고 여주강철심장에놀란다 팝콘소리거슬릴줄알았는데팝콘소리가묻힘,,,,,,,
825,음향감독님 누구시죠ㅠㅠ 소리가 진짜 무서워요.오랜만에 진짜 무서운 영화였어요,,,,,,,
826,여주 첨에 못생겼는줄알았는데 볼수록 매력적이네,,,,,,,
827,지루하다가도 긴장되고 긴장되다가도 지루하고 흠.,,,,,,,
828,숨 막혀 죽는 줄요.여주가 미인이라는건 인정할수없다.,,,,,,,
829,,,,,,,,
830,,,,,,,,
831,,,,,,,,
832,난진짜재밌게봤음추천,,,,,,,
833,웬만해선 놀라지 않는데 많이 놀랐다. 무서운 장면은 하나도 없는대도.. 여주 진짜 짱임.,,,,,,,
834,보이지 않기 때문에 언제 어디서나 튀어올 수 있다는 사실 하나만으로도 공포를 불러 일으킨다. 모든 장면이 무서웠고,,,,,,,
835,중반까지 재미있었지만후반부엔 1시간30분을 2시간으로 억지로 만든 영화처럼 느껴졌습니다.,,,,,,,
836,매우매우 재밌었당 ,,,,,,,
837,간만에 재밌게 본 영화이자 스릴러 중엔 제일 재밌게 봄 스토리 탄탄하고 허무맹랑한 소리가 아니라서 재밌었음 인과관계 뚜렸하고 이해안되는 부분도 없었음 재밌는 영화를 보면 이 영화가 계속 끝나지 않았으면 좋겠다고 생각...,,,,,,,
838,시간 가는 줄 모르고 봤네요 재밌습니다 쫄깃쫄깃,,,,,,,
839,자유로 자동차 극장에서 봤는데상영전에 문구가 뜨더라밤씬이많아 안보이니 창문내려서 보란다진짜 안보여서 창문 내리니 똑같이 안보이더라진심 공포였다,,,,,,,
840,알바들이 많으니 삭제되겠지만 그냥올려봄..사운드 빵빵하게 보자고 골드까지 결제해서 다녀왔습니다하나도 안무섭고 스토리도 스릴러에서 갑자기 sf로;;같이간 여친도 뭐가 무서운지 모르겠다함 원래 잘놀라는데도..정말 아무생...,,,,,,,
841,너무무섭고 너무 몰입 너무 연기잘하고 강추..,,,,,,,
842,보통 공포영화는 초자연적인? 생명체가 우리눈에 보이기라도 해서 덜무섭지 이영화는 보이는게 거의 없으니깐 어디에서 치고 나올지 예상이 어려워서 더 무서운거 같음,,,,,,,
843,엔딩 크레딧이 올라갈 쯤 ㅁㅊ...과 대박 이라는 말과 절반 이상 남은 콜라와 팝콘이 곁에 있었다...,,,,,,,
844,예상을 빗나간 전개가 좋았슘,,,,,,,
845,우리집 원룸텔이면 걍 허공에 칼 한번 휘둘러서 죽였다,,,,,,,
846,리 워넬 감독은 시대의 흐름을 아니,,,,,,,
847,재밌는 영화가 코로나 때문에 흥행하지는 못할듯,,,,,,,
848,글쎄 생각보다 내내 답답하고 허술해서 김이 샜음 맨 처음이 젤 무서움.,,,,,,,
849,여주가 '여기 있었구나'하면서 찌르는 순간 쾌감 쩔!!! 여주님이 연기를 너무 잘하고 소리나 카메라 각도를 통해 긴장감 쩌는 연출 끝내줬습니다. 페인트 씬에서 간만에 영화관에서 악!! 소리 질러봤네요....,,,,,,,
850,이 영화는 서프라이즈~,,,,,,,
851,초중반에 스릴러적인 요소들이 잘 어울러져 좋았는데,,,,,,,
852,사운드랑 여배우 연기때문에 영화 보는도중 삼분의 이는 귀막고봤어여 ㅠㅠ수릴있어요,,,,,,,
853,재밌습니다 근데 혹시 열전도카메라가 개발되기 전인가요?,,,,,,,
854,극장에서 봐야 되는데.. 더 빛을 못 본 것이 아깝다 그냥 딱 공포,,,,,,,
855,방금 장안동롯데시네마에서 봤는데..초반에는 내용이 없고 시시해서  졸면서 보다가 중반에는 현대과학으로  알수없는 미스테리 심령영화인듯 하더니 중반 넘어가는까 sf로 바뀌는데  거의  과거 영화 투명인간내용하고 비슷해...,,,,,,,
856,촬영기법에 감탄하고 연기도 굉장했지만 중반부의 지루함과 개연성이 떨어져보이는 줄거리는 별로였어요. 초반이 제일 재밌었습니다.,,,,,,,
857,,,,,,,,
858,간만에 재밋게본영화입니다,,,,,,,
859,어떻게 들렸어? OO한 것처럼 들렸어. -> 이 대목이 모든 걸 말해준다. 미친 사람 만드는 게 너무도 쉽다는 것을...,,,,,,,
860,스토리가 한 장면 장면 대사의 한마디가 다 의미 있고 유명한 배우들은 아니지만 탄탄한 스토리로 재밌는 영화,,,,,,,
861,초중반 공포스릴러 -> 후반 복수 히어로 액션물애드리안 죽이는거 안나왔으면 답답해서 평점테러 했을듯. 더 고통스럽게 죽여야 하는데 아쉽..,,,,,,,
862,스트레스 받아 죽는줄;;;,,,,,,,
863,참신한 소재와 공포물이 결합되자 나쁘지 않는 영화가 나왔다.킬링타임용,,,,,,,
864,엘리자베스 모스 때문에 봤는데 제임스 너무 섹시해,,,,,,,
865,제임스 사랑해....,,,,,,,
866,스릴러물 모아놓고 순위 매겨도 10위권안에들 수작입니다. 볼룸하우스는 기본은 하는것 같아요.,,,,,,,
867,결말의 후루룩 진행만 없었다면 훌륭한 공포의 수작이 되었을 것...그러나 나름 간만의 쫄깃함은 느낄수 있다,,,,,,,
868,공포스럽지 않게 스릴감 넘치는 재미. 몰입감 좋아요. 그나마 마스크쓰고 사람과 말 안섞고 앞만보고 있으니 문화생활중 그나마 안전.,,,,,,,
869,긴 러닝타임에도 불구하고 놓치지 않는 긴장감과 가슴을 조리게 하는 연출력,,,,,,,
870,잘 만들었어요. 굿굿굿,,,,,,,
871,찐 무서움을 느꼈습니다...,,,,,,,
872,생각보단 괜찮음.. 결말은 근데 해석하기에 따라 다른듯해서 아리송함,,,,,,,
873,잘만든 공포스릴러 기대치를 넘는 완성도,,,,,,,
874,그냥 액션영화 본거 같음,,,,,,,
875,여주 연기가 다 한 영화..,,,,,,,
876,아름답지 않은데 아름답다고 얘기할때 제일 무서웠다,,,,,,,
877,기대치를 낮으면 볼만함,,,,,,,
878,,,,,,,,
879,기대안하고 봤는데 너무재밌고 긴장간 쵝오,,,,,,,
880,공감할수 있는 주제 주인공의 연기력 결말까지 올해의 스릴러영화라 할 수 있을 것 같다,,,,,,,
881,투명인간 이야기에.투명한 존재감.코로나 기침소리만 공포.,,,,,,,
882,생각보다 안무서워요|~,,,,,,,
883,공포보다는 스릴러 쪽에 가까워요 소재도 참신하고 여주가 연기를 너무 잘해서 몰입감 개쩜,,,,,,,
884,와우 긴장되고 재미있네요. 코로나사태에도 용기내어 마스크끼고 봤는데 관객들도 약간 있었고,,,,,,,
885,방금보고왔는데 코로나 아니였으면 더 대박났을텐딩 아쉬운...무튼 스토리,,,,,,,
886,간만에 제대로 만든 스릴러 영화 한편 봤어요 기발한 소재 생생한 연기에 관객들이 헷갈리지 않게 매 장면을 명확히 이해시켜주심,,,,,,,
887,저 원래 공포영화 절대 영화관에서 안보는데 이건 너무 재밌어요,,,,,,,
888,긴장감 장난 아닙니다 ㅋㅋ,,,,,,,
889,소름끼치는 내용에 결말까지 긴장감을 놓지 않는 영화,,,,,,,
890,와 진짜 인비저블맨 꼭보세요…!!!,,,,,,,
891,목숨걸고 볼만합니다..,,,,,,,
892,막 공포까진 아닌데 쫄깃해요,,,,,,,
893,인비져블 코로나가 더 무서움,,,,,,,
894,1위가 관객수 17만밖에 안되다니 ㅋㅋㅋㅋ근데 솔직히 나도 보면서 좀 쫄렸다.. 맨뒤에 앉아서 그나마 다행이었지.,,,,,,,
895,보고싶었던 영환데 마스크 무장하고 봤습니다!! 역시 장난 아니네요!!,,,,,,,
896,이건 꼭 영화관에서 봐야뎀!!,,,,,,,
897,근래 보기드문 공포영화의 수작...숨 멎는줄... 발상도 기발하고 반전에 반전까지...결말이 화끈해서 좋음.,,,,,,,
898,2시간이라는 긴 시간동안 오로지 연출과 연기로 승부본 영화. 지독하게 무섭거나 잔인한 장면은 없었지만 2시간 내내 숨죽이면서,,,,,,,
899,저 진짜 재밌게 봤어요!!! 영화관에 저까지 다섯명있었는데 네명이 중간자리에 앉고 저 혼자 맨뒤에 있어서 제 주변에는 아무도 없었거든요 근데 영화 시작하자마자 긴장감 있었고 무서웠어요 ㅠㅠㅋ 진짜 재밌어서 블루레이도...,,,,,,,
900,중간에 사운드 때문에 깜짝깜짝 놀랐는데 전반적으로 좋았음!!원래 공포영화 잘못보는데 어쨌든 인비저블맨이 귀신이 아닌 게 제일 만족이다귀신이었으면 잠못잘 뻔 했다..,,,,,,,
901,와우. 최근에  본 공포영화중 정말 추천할만함. 15세 관람가가 이정도면 18세였으면. 진짜 지릴듯. 중반까지 몰입도 최고. 카메라 워킹도 마치  누군가가가훔쳐보는 듯한 시점샷과  내가 마치 그공간에 있는듯한 느낌을...,,,,,,,
902,몰입도는 정말 최고고 혼자보면 진짜 개무서웠을뜻;;,,,,,,,
903,지린다는 말이 절로 나오는 영화 ㅋㅋ,,,,,,,
904,와 쩌네 진짜.ㅋㅋㅋ,,,,,,,
905,나름 재밋고 잘만든 것 같네요,,,,,,,
906,시간 엄청 빨리가네요..,,,,,,,
907,태규야 이거 별로 안무섭네,,,,,,,
908,몰입도 엄청나고 배우들 연기에 소름돋아요. 여자주인공이 진짜 대단해요,,,,,,,
909,후회하지 않을 영화~공포,,,,,,,
910,안보인다는 두려움,,,,,,,
911,진짜 반전 대박이네요 ㅋㅋㅋ,,,,,,,
912,영상미,,,,,,,
913,보는 내내 시선을 떼지 못하게하는 영화,,,,,,,
914,내가 본 공포영화중에 단연 으뜸임 이렇게 재미있는 공포영화는 또 처음이야 ㄹㅇ 진심 사이다 오지게 많이 나와서 기분좋아서 조금 웃었던 부분도있었고 어느정도의 무서운 분위기를 조장해서 공포영화다웠다 전혀 시시한 부분이...,,,,,,,
915,한줄요약 끝날때까지 끝난게아니다,,,,,,,
916,넘넘 재밋어여ㅠㅠ 저 또 보러갑니다 ㅋㅋ,,,,,,,
917,몇번이나 소름이 돋았는지 ㅡ ㅡ,,,,,,,
918,진짜 재밌어요.. 보는 내내 심장이 쫅ㅅ쫄깃,,,,,,,
919,77ㅏ조어요저아은됴으도너으조어요,,,,,,,
920,연출,,,,,,,
921,2020년 상반기 최고의 영화! 역시 믿고보는 블룸하우스,,,,,,,
922,The Invisible Man,,,,,,,
923,8점 정도로,,,,,,,
924,12시가 넘은 새벽 시간 아무도 없는 극장에 나 혼자 이 영화를 받다...,,,,,,,
925,개지려요 ㄹㅇ 꼭보셔야댐,,,,,,,
926,투명인간이 내 주변에 있다면?..,,,,,,,
927,,,,,,,,
928,아 존잼이다.. 감독 미친거 아니냐..,,,,,,,
929,극장에 혼자여서 제작사 나올때부터 무섭던데ㄷㄷ 놀래키는 빈도,,,,,,,
930,맨 처음 아무것도 모르니 대체 왜 저러는지 공포가 더 컸음. 나중에 지속적인 긴장감이 지속되지만 막판에는 좀 마무리가 약했음,,,,,,,
931,뻔할수도 있는 내용을 잘 풀어낸 공포영화이다 재밌게 봤다.,,,,,,,
932,이런 스토리라고는 상상도 못했다,,,,,,,
933,발상이 신선하게 느껴집니다,,,,,,,
934,천의 얼굴을 가진 여주.. 진짜 연기 장난 아님,,,,,,,
935,친구랑 영화관에 둘 만 있었다는 게 젤 무서웠음..,,,,,,,
936,내 예측을 다 빗나갓어.. 짱..,,,,,,,
937,투명인간의 새로운 해석!원작과는 다르다.,,,,,,,
938,영화관에서 소리지른거 처음이에여,,,,,,,
939,보이지 않는 공포를 극대화 시키는 연출과 연기로 더욱더 공포를 느끼게 하는 영화.,,,,,,,
940,,,,,,,,
941,"재미나네요. 보면서 30년 전 영화인데 줄리아 로버츠 주연의 ""적과의 동침""이 쫌 생각 났어요.. '하이텤' 적과의 동침이라고나 할까?ㅋㅋ 주인공의 미모는 인비저블맨이 좀 떨어져도 개인적...",,,,,,,
942,해외영화 나를 찾아줘 이후 명품스릴러 영화!! 흥미롭게 재밌게 봤습니다!!,,,,,,,
943,음향이 진짜 심장 뛰게 만들고 예측이 안 되는 전개때문에 러닝타임 동안 몰입하게 만드는 영화결말도 처음에는 뭐지...? 했다가 뒤늦게 깨달음오랜만에 재밌게 본 스릴러반전영화어제는 1917봤는데 둘다 최고,,,,,,,
944,조금무섭지만 재미있다,,,,,,,
945,ㅠㅠㅠ 너무 무섭댜나여,,,,,,,
946,재미있게 봤습니다~!,,,,,,,
947,식당에서 그럴줄 몰랐다ㄷㄷ,,,,,,,
948,잔인하거나 무섭지않으면서 스릴감이 엄청납니다. 첨부터 끝까지 몰입하게 만드네요. 반전에 또 반전이 있습니다. 주인공이 미쳤다거나 환영을 본다는 뻔한 반전스토리는 아닙니다,,,,,,,
949,완결성이 정말 좋네요 꼭 보십쇼!,,,,,,,
950,보이지 않는 공포의 무서움,,,,,,,
951,여배우 연기 대박임스토리 뛰어남,,,,,,,
952,긴장해서 보는내내 몸이 덜덜...내용도 좋고 오랜만에 진짜 시간가는줄도 모르고 본 영화ㅠㅠ,,,,,,,
953,블룸하우스 영화를 너무 많이봐서 이제 뻔한데라는 느낌이 들때쯤 영화가 시작됐다,,,,,,,
954,....기대를많이했으나 스토리는신선해요 배우들 연기도인정한대..그렇게안무서워요 초반엔 지루한감이있어요 평점높은사람들 알바같은대 개낚임,,,,,,,
955,보는내내 스릴감과 몰입감 장난 아님 이건 무조건 봐야 함,,,,,,,
956,귀신이 안 나오는데 이렇게 소름이 돋는 영화는 처음입니다..영화 내내 집줄 할 수 밖에 만드는 웅장한 사운드와 진짜 반전에 반전인 영화....시국이 시국인지라 극장 안에 열명 있었지만..극장에 나와서도 아직도 소름이...,,,,,,,
957,엘리자베스 모스 연기가 쌉 지림 촬영 기법이나 음악이나 나오는 배우나  업그레이드 감독이라고 워터마크 박아둔 수준,,,,,,,
958,나름 현실적인 설정으로 사람 하나 미치게 하는 게 흥미롭네요,,,,,,,
959,재치와 효율성만으로 충분히!,,,,,,,
960,자칫 유치해질 수 있는 소재를 가지고 최대한 잘 풀어낸 영화. 초반엔 당하다가 후반에 복수극으로 가는 플로우는 서양 공포영화의 전형적 패턴.,,,,,,,
