,content,,,,,,,,,,
2865,사운드특화관에서 영화보시는 거 추천드리며 사운드와 연출 연기 모두 좋습니다,,,,,,,,,,
2866,가족에 대해서 다시 한 번 생각하게 만드는 영화.. 진짜 재밌게 봤어요,,,,,,,,,,
2867,추석특선보고 왔다!!!!아오!!! 나만 빡친 게 아니넼ㅋ배우들이 안쓰러울 정도엿다 아오!!!,,,,,,,,,,
2868,이거 극장에서 돈주고봤음 어쩔뻔했냐....저 배우들 가지고..,,,,,,,,,,
2869,검은사제들 사바하가 얼마나 잘 만들었는가를 보여주는 영화,,,,,,,,,,
2870,그냥 딱 중간 그냥저냥 했어요,,,,,,,,,,
2871,이걸 본 내가 변신이지...,,,,,,,,,,
2872,너무재미없어요 ....한국영화는 대체 왜이럴까요.. 예고편에 속았습니다.,,,,,,,,,,
2873,별루....내용도좀이상하고..,,,,,,,,,,
2874,엄마역배우님 식사씬은압권이였음.뒤로갈수록시나리오마음에안듬.쫌더일찍개봉했으면좋았을것을.,,,,,,,,,,
2875,출연 인물든중...마지막에 필리핀에서 오자미자 교통사고 나는 신부님들 왜 나 욌는지 ...?스토리 전개 방법이 영~~~~,,,,,,,,,,
2876,용두사미,,,,,,,,,,
2877,낮에 가져달라 했둔 물건 굳이 밤에 혼자 지하실 들어가는 이유는 뭔데...,,,,,,,,,,
2878,이거 본지 이제 2주가 넘어가는데 아직도 샤워 할 때,,,,,,,,,,
2879,에휴...내용도없어 재미도없어 정신건강에 해롭네요...,,,,,,,,,,
2880,이게 영화냐? 말도 안되는 개연성 스토리 허무한 결말,,,,,,,,,,
2881,개연성 1도 없는 답답한 고구마의 연속. 인물들의 생동감도 연출도 부족하다. 곡성의 10분의 1이라도 닮았으면....,,,,,,,,,,
2882,쌉 가비지영화내용,,,,,,,,,,
2883,이것저것짬뽕 마지막 형제애보여주는데 어이없어서 실소를 멈출수없었음..시간이지나면 더좋은영화가나와야하는거아닌가 검은사제들이 진짜 수작임을알려주네ㅎㅎ 최근에본 애나벨집으로 급으로 쓰레기ㅎㅎ난 둘째를 하도 안찾아서 원래 ...,,,,,,,,,,
2884,진짜 ㅈ나 무서움 개무서움,,,,,,,,,,
2885,진짜 ㅅㅂ 너무하네 검은사제들 사바하보다 재밌다는 사람 반성하고 한국영화 알바 진짜 ㅈㄴ 심하다는걸 뼈저리게 느낌,,,,,,,,,,
2886,알바들...이거쓰다가 현타올듯..내 살다가 중간에 나온영화는 처음가장 아쉬운건 더 빨리 나오지 않았다는 점...,,,,,,,,,,
2887,중반이후로는 진짜 슈뤠기...,,,,,,,,,,
2888,유치해요 ㅠㅠ 깜짝깜짝 놀라는 장면은 많은데,,,,,,,,,,
2889,진짜 개오글으ㅏ 끝판왕 무서운 장면 분위기 한개도 없고 젤 역겨운 장면은 폭력이 너무 많음 그것도 무의미하게 진짜 내가 본 영화 중 일등이다 뒤에서.,,,,,,,,,,
2890,개노잼 개노잼 개노잼;;,,,,,,,,,,
2891,개연성 1도없고 연기는다들 잘했지만 이해안가는 부분도 많았고 결말이 뭐 이럼,,,,,,,,,,
2892,각본 쓰다가 중반부터 아 몰랑!!!!하고 쓴건가...?결말은 90년대 아이돌 뮤직비디오 인가...?....? 배우들 열연 어찌 책임지려고 이렇게 중반무터 마무리까지 책임감 없이 날려썼지....?;,,,,,,,,,,
2893,좋은 재료를 보고 기대했는데 형편없는 음식을 먹은 기분입니다! 초반에 긴장감은 수준급이라 6점 드립니다,,,,,,,,,,
2894,백윤식 발음도 너무 거슬리고 그냥 B급 영화 수준 이하. 잔인하거나 깜짝 놀라는거 좋아하는 사람들이나 한번쯤 볼법한 영화,,,,,,,,,,
2895,좀 무리한 전개인듯...,,,,,,,,,,
2896,긴장감 개쩔고 진짜로 개쩐다...,,,,,,,,,,
2897,변신이 아니고 OO인거같은 내용이었다,,,,,,,,,,
2898,배경과 소재는 괜찮았으나 공포감이나 작품성은 아쉬움..배우들 연기력에만 집중됨.-한국판 컨저링,,,,,,,,,,
2899,약간 검은사제들,,,,,,,,,,
2900,알바가  있는게 분명함 백윤식 몸값도 비쌀텐데 왜? 감독 둘째 싫어함?,,,,,,,,,,
2901,유치하다 차라리 사바하가 더 작품성있다내가 알바댓글보고 영화를 봤다는걸 깨달음,,,,,,,,,,
2902,곡성'과 '검은 사제들'을 짬뽕한 독창적이지 못 한 스토리.,,,,,,,,,,
2903,정말 지루하고 재미 없었음내용,,,,,,,,,,
2904,너무 많은 클리셰들과 지루한 설정. 긴장감을 조성하는 것들조차 흔한 수법이라 성동일 침대씬 말고는 공포스러운 면모는 찾아볼 수 없는 영화. 후반부 극에 달해서는 열심히 연기하는 배우들이 안쓰러워질 정도로 후진 대사와...,,,,,,,,,,
2905,예고편은 재밌습니다개연성 너무 없어 화까지 납니다배우분들 각자 연기는 잘하시는데 호흡 하나도 안맞고 유치한 스토리에 과한 연기가  이질감 느껴집니다 실망만 큽니다,,,,,,,,,,
2906,중간에 어머니가 으깨드신 계란말이도 이 영화 각본보다는 덜 으깨졌음,,,,,,,,,,
2907,우리나라 영화치고는 심장쫄깃 했어요ㅜㅜ!!! 다만 백윤식배우의 너무나 심한 콩글리쉬 및 퇴마장면에서의 그 어색한 대사가 조금 아쉽긴 했네요...ㅎㅎ 그래도 우리나라 영환데 이정도면 소름끼치지ㅡㅡ,,,,,,,,,,
2908,중간중간 아쉬운부분도 있었지만 보는 내내 긴장했음:)  지루할틈 없음,,,,,,,,,,
2909,전체적으로 긴장감 넘치고 배우분들 연기력이 좋아 집중이 잘되었습니다. 근데 뒤로 갈수록 개연성이 떨어지고 스토리가 부족한거같네요ㅠㅠ 그래도 나름 재밌게 봤습니다! 성동일님 침대씬 진짜 제일 소름돋았어요...,,,,,,,,,,
2910,마지막 결말이 아쉬운게 아니라 좀 끝으로 갈 수 록 하다 만 느낌..? 아쉽긴 한데....나름 괜찮..,,,,,,,,,,
2911,초반 30분은 아주 재밌었음 그뒤로는 좀 어이없는부분 많고 무섭다기보다는 깜짝놀라게하는 장면만 ㅈㄴ나와서 불편했음 급전개도 심하고 억지전개도 너무 답답 차라리 컨저링2를 다시보는게 100배 나을듯,,,,,,,,,,
2912,노잼이야노잼이야노잼이야노잼이라고,,,,,,,,,,
2913,후기 달면 고소할것 같아 못달겠네,,,,,,,,,,
2914,나만죽을순 없다 꼭봐라!,,,,,,,,,,
2915,기대안하고봐서그런지 난엄청재밋게봣는데평점들이왜케짬,,,,,,,,,,
2916,재밌었습니다!!! 추천,,,,,,,,,,
2917,영화소감~어이없음. 제작진이 바보아닌바에야 작품을 이리 만든 피치못할 사정이 있었을듯. 각독선생? 본인의 의도 아니죠?   만일 의도였다면  다시는 영화찍지마쇼..,,,,,,,,,,
2918,용두사미..ㅋㅋㅋㅋ,,,,,,,,,,
2919,이 영화를 극장에서 끝까지 봤습니다. 이제 재벌도 될 자신이 있습니다.,,,,,,,,,,
2920,백윤식영어발음때매 확 깬다,,,,,,,,,,
2921,음악 둘째 애기화장실  3가지아쉽,,,,,,,,,,
2922,나는 평가할 생각 없이 공포 스릴 영화보며 즐겼고 재미있게 봤음매 순간 트집잡는 사람들 평점보면얼마나 스트레스야 그만큼 자긴 완벽한 삶을 사는가?꼬집어내려면 누구든 얼마든지야.근데 나는 여자친구랑 보며 무섭고 재미있...,,,,,,,,,,
2923,솔직히 신선한내용에 연기력까지 볼만하다진짜 아이돌안나오고 신인배우들 나와서 좋았다 첫째둘째 넘이뻐,,,,,,,,,,
2924,둘째가 제일불쌍함. 추천할만한 영화,,,,,,,,,,
2925,충분히 무섭고 지루할 틈도 별로 없었고 배우들 연기도 좋았네요. 큰 기대없이 봤는데 재밌었어요.,,,,,,,,,,
2926,영화의 개연성이 떨어지나 오랜만에 서늘함을 느낌ㅋ,,,,,,,,,,
2927,재미없어요 초반엔 흥미진진하더니 후반부엔 컨저링,,,,,,,,,,
2928,개연성이 조금 떨어지는 부분이 있지만. 공포영화 잘보는 내가 넘 무서워서 제발 빨리 끝나라 하면서 봄. 심장이 쫄아붙음. 연기쩔고 진짜무서움.  보고나서도 오싹했음. 심야영화봤는데 극장화장실 못감.,,,,,,,,,,
2929,알바들 .. 대단하다. 솔직히6점대 영화,,,,,,,,,,
2930,절대 보지마세요 너무 무서워요..,,,,,,,,,,
2931,여러모로 무서웠어요ㄷㄷㄷ,,,,,,,,,,
2932,무서워요 잔인한거같기도하고 공포영화 좋아하시면 보는거 추천해요,,,,,,,,,,
2933,재밌어요 보는 내내 눈을 뗄 수가 없음,,,,,,,,,,
2934,보는동안  계속 무서웠음~소름  쫙~,,,,,,,,,,
2935,국내영화중 공포는최고,,,,,,,,,,
2936,각본이 좀 서투르긴했지만 (둘째나 태국사제들) 영화 보는내내 깜짝깜짝놀라느라 지루할틈이없었던 영화인듯합니다ㅎ  음향감독짱짱b,,,,,,,,,,
2937,악마가 세상에서 제일 싫어졌어요. 마음 다짐만 잘하면 빙의 안 될거라고 생각했는데....ㅜㅜ 신박한 내용입니다.,,,,,,,,,,
2938,악마 역할 맡으신 여자분  연기 너무 잘해서  찾아봤는데. 변신이 첫 작품인가요?  정말 연기 다들 ㅎㄷㄷ 합니다.,,,,,,,,,,
2939,더위가 가시는 무서움이었습니다,,,,,,,,,,
2940,무서운 영화 좋아하시는 분은 꼭 봐야할 영화 인 것 같아요,,,,,,,,,,
2941,결말이 좀 갑작스럽고 아쉽지만 그래도 진짜 몰입도 쩔고 보는나도 아무모못믿게느껴서 진짜 무서웠음 그리고 반전도 있고 연기 걍 쩔었음 내용도 난 좋았고 .. 유치하거나 의미없는부분 전혀없음 걍 영화 좋아하면 돈안아까운...,,,,,,,,,,
2942,오랜만에 무섭고 재미있는 영화를 봤네요 ㅋ 배우들의 연기력이 뛰어나서 좋았습니다,,,,,,,,,,
2943,아니 세상살면서 이렇게 무서운영화가 있다고???작품성도 긴장감도 미친영화,,,,,,,,,,
2944,넘 무서웠지만... 긴장감과 몰입감 때문에 눈을 뗄수가 없었습니다~~최고!!,,,,,,,,,,
2945,간만에 긴장감터지는 영화봤다.연기도 좋았구,,,,,,,,,,
2946,진짜 무서움 완전 무서움 근데 보길 잘한듯!! 안 본 사람들 한 번 보길,,,,,,,,,,
2947,와~~쓰릴넘치고 무서워 죽는줄알아네요~여름 공포영화로 축천드립니다. 꼭 보세요 강추합니다.,,,,,,,,,,
2948,나는 개인적으로 매우 재미가 없었다. 떡밥을 수도 없이 던지고 회수는 안한다. 매우 떨어지는 개연성 필요없는 차량폭파신 이유없는 장면,,,,,,,,,,
2949,최악  배우들이 아깝다.,,,,,,,,,,
2950,남친한테 이영화 꼭 보자고 졸랐는데 영화보고 진심 헤어질뻔함ㅎㅎㅎ남친이 이 영화를 끝으로 한국 오컬트 영화는 다신안본다고함ㅎㅎ,,,,,,,,,,
2951,이거 알바뛰냐 ㅋㅋ 평 왜 이리 좋아 보는 내내 재미없어서 뛰쳐나갈뻔했는데? 아니 이어지는 내용도 없고 재미도 없고 감동도 없고 도대체 뭔 생각으로 만든거임,,,,,,,,,,
2952,무서운거 좋아하면 꼭 보세요. 무서운거 잘 못보시면 고민해보세요. 막 무서운 영화.,,,,,,,,,,
2953,아빠 변신할때가 제일 소름끼침,,,,,,,,,,
2954,무서운거 잘 보는 나도 놀란 영화,,,,,,,,,,
2955,반응이 확 갈려서 고민하다 봤는데 기대이상이었습니다,,,,,,,,,,
2956,보지마세요너무무서워요흑흑..ㅠㅠ,,,,,,,,,,
2957,의..너무 잔히해 그래도 꿀잼이다,,,,,,,,,,
2958,이게 15세? 맘먹고 청불로 만들 수 도 있었을 것 같은 영화,,,,,,,,,,
2959,무서운 거 잘 못보는데 첫 장면부터 난 죽었다 생각함.. 처음부터 무섭고 난리,,,,,,,,,,
2960,막내 울 때 나도 울고 싶었음ㅋㅋ 왜그래요 엄마 ㅠㅠ,,,,,,,,,,
2961,반전 장면 레알 소름이였음,,,,,,,,,,
2962,침대씬,,,,,,,,,,
2963,왜 아무도 둘째딸을 찾지 않는가...ㅋㅋㅋ,,,,,,,,,,
2964,아 여운이라고 해야하나 이 찝찝하면서 후련한 기분...분명히 악마는 퇴마했는데...,,,,,,,,,,
2965,나오는 인물들이 이렇게 적은데 그게 전혀 느껴지지 않을 정도로 한 사람 한사람 역량이 크다,,,,,,,,,,
2966,지금 1위라서 보긴했지만 긴장감 ㄷㄷㄷ정말  잘 보고 왔어요,,,,,,,,,,
2967,개인적으로 컨저링 애나벨  그런거 보다 더 무서웠음,,,,,,,,,,
2968,오랫만에 잼나게밨어요 저는굿^^흥행하시길.!!!,,,,,,,,,,
2969,영화 사운드와 장면들이 모는내내 공포감조성에 굿이였음연기력도 좋아서 영화보는내내 생생했음후반부로 갈수록 조금 지루했지만 그래도 재밌게 봤음,,,,,,,,,,
2970,끝나고나서 되게 찝찝한 영화. 지금까지 본 한국 공포영화 중 몰입감이 최고고 짜임새도 좋은듯,,,,,,,,,,
2971,오랜만의 웰메이드 호러무비라 좋았음,,,,,,,,,,
2972,으아 너무 깜짝놀래서 짜증날정도였음 ㅋㅋ,,,,,,,,,,
2973,팝콘사갔는데 그대로남음...,,,,,,,,,,
2974,ㅋㅋㅋ 반전에 반전인영화 중간중간 깜짝놀랏음,,,,,,,,,,
2975,중반부까지 긴장감 있는 전개였다배우들의 연기는 최고임,,,,,,,,,,
2976,지금 사자보고 있는데 변신은 진짜 잘만든거구나하면서 보고 있음,,,,,,,,,,
2977,개봉 날 보지 못한 걸 후회하는 중 ㅜㅠㅜ 꼭 봐요,,,,,,,,,,
2978,사람들이 많이 보는 이유가 있음 무서움,,,,,,,,,,
2979,기대이상으로 긴장감있고 재미있었음. 그리고 배우들 연기도 좋고 빙의된 모습이 대박임.!!!,,,,,,,,,,
2980,나만 무서웠나 보는중에 진짜소름돋아서 난리쳤는데한번쯤 볼만해요..,,,,,,,,,,
2981,최근에 사자 보고온 사람으로써 사자보단 덜 유치함 초반 중반 몰입도가 극에 달해서 굉장히 긴장감 있고 무섭게 봤는데 후반부터 의문을 갖게 되는 장면들이 많았음 허무하게 끝나기도하고..관람객들 평점이 짠 이유가 후반부...,,,,,,,,,,
2982,공포,,,,,,,,,,
2983,와. 성동일 연기대박...,,,,,,,,,,
2984,공포라는 장르 만을 따지면 확실한데 더 재미있을 수 있는 스토리라 아쉽다,,,,,,,,,,
2985,하...진짜 너무 소름끼쳐서 말도 안나옴 무서워 죽는줄 에나벨이랑은 다른류로 무서운데 그냥 미치는줄 알았음 그리고 배우들 연기는 진짜 쩔긴쩔더라 사제 연기하신분도 그렇고 성동일님도 진짜ㄷㄷ,,,,,,,,,,
2986,ㄷㄷㄷ심리적공포를 노린영화,,,,,,,,,,
2987,재미는있음. 근데너무사이다가 없고 고구마만 많은 느낌..ㅠ 보면서답답해..,,,,,,,,,,
2988,긴장감최고..신선했어요 최고,,,,,,,,,,
2989,그간 볼수없었던 색다른 영화.. 잘봤습니다^^,,,,,,,,,,
2990,재밋넹 ㅎㅎ 역시믿고보는 성동일!,,,,,,,,,,
2991,배우들의  연기는  매우 만족   극의 마무리는  조금 황당,,,,,,,,,,
2992,팝콘 까지 떨면서 먹었다 재밌어요,,,,,,,,,,
2993,요즘 나오는 오컬트 무비 중에서 제일 좋았던거 같아여ㅋㅋ 스릴감 공포감 장난 아닙니다,,,,,,,,,,
2994,가족간의 부성애 모성애 형제애가 얼마나 다른 모습으로 비추어지는지를 보여지는 영화,,,,,,,,,,
2995,결말이 허무만들다 만것같다,,,,,,,,,,
2996,곡성과 검은사제들 사이 그 어딘가 ...,,,,,,,,,,
2997,박현지씨싸랑해용영화잘봤어용,,,,,,,,,,
2998,무서운데 슬픈 영화.. 다들 연기 너무 잘하시네요,,,,,,,,,,
2999,다들 연기 잘해서 좋았고,,,,,,,,,,
3000,길이 남을 호러명작이 만들어 졌다.추천합니다. 보통 공포물은 7점대이면 준수하다고생각하지만 8점대 이상은 명작입니다.,,,,,,,,,,
3001,요 몇년 동안 개봉한 공포영화 중에선 최고의 명작입니다.,,,,,,,,,,
3002,평점 테러하지마라 진짜. 최근나온 한국영화 중 가장 참신하고 몰입도 쩔었다..,,,,,,,,,,
3003,제목 그대로 진짜 변신같은 영화네요,,,,,,,,,,
3004,병....형신이야....?,,,,,,,,,,
3005,영화를 보기전 악마의 속삭임에 넘어가지 말기 바란다. 주변에서 보라고 하는 속삭임을 이겨낼 수 있는 용기와 믿음이 필요한 영화다.하지만,,,,,,,,,,
3006,처음엔 후덜덜하면서 보다가 중간부터 읭???ㅋㅋㅋㅋ아돈아깝고 시간아깝고....,,,,,,,,,,
3007,정말 후덜덜하다. 스릴넘치는 내용과 중간중간 숨못쉬게 하는 깜짝쇼,,,,,,,,,,
3008,휴...할말이 없네요 그냥,,,,,,,,,,
3009,내가 대체 뭘 본거지...,,,,,,,,,,
3010,한국 무서운영화치곤 잘만들었다,,,,,,,,,,
3011,모든 출연진에 연기력이 소름 돋았다,,,,,,,,,,
3012,오랜만에 공포영화...심장 쫄깃 쫄깃..,,,,,,,,,,
3013,진짜개꿀잼진짜추천..영화개똑똑귀신나오는것보다더한소름,,,,,,,,,,
3014,기대안하고봤는데 재미있게 잘봤어요,,,,,,,,,,
3015,재밌는데 고구마가 좀 심한 감이 있음 ;; 볼 만 한 영화같음. 단,,,,,,,,,,
3016,괜찮았어요. 긴장감 백퍼!! 보는내내 눈가리기 바쁨ㅜㅜ심장이 쫄깃쫄깃~ 백윤식은 머지?,,,,,,,,,,
3017,최근 5년간 본 호러중 최고인듯 . 은근 또보고싶은 연화 ㅋㅋ,,,,,,,,,,
3018,최고였어요. 장영남 팬될듯,,,,,,,,,,
3019,무서워요. 심장이 나대서 죽는줄. 너무 무서워서 나가고싶을 정도였어요. 성동일님 팬인데 영화 대박나길 바래요. 장영남님 너무 좋아요. 다들 연기 최고.,,,,,,,,,,
3020,이건 진짜봐안다~ 왜 그렇게 무섭다고 하는지ㄷㄷㄷ 첨에 아무런 정보도 없이 영화봤다가 지릴뻔~,,,,,,,,,,
3021,미리 축하합니다~ 영화 재밌어요^^ 잘될것 같아요~,,,,,,,,,,
3022,섬뜩한 장면이 많았습니다. 나름 재밌게 봤다는 ㅋㅋ,,,,,,,,,,
3023,한국영화 이제 볼만하네요 지금 심야로 보고 왔는데 꽤 재밌어요 근데 왜 둘째는 안찾 ㅠㅠㅠㅠ,,,,,,,,,,
3024,둘째딸은 왜 아무도 신경안써주냐ㅠㅠㅠ..,,,,,,,,,,
3025,지금 박스오피스 순위 높은 이유를 알겠다! 그만큼 공포영화로는 얼마나 무서운가를 보여준다,,,,,,,,,,
3026,심야보고 집 돌아왔는데 우리 엄니가 살벌한 표정으로 왜 이렇게 늦게 들어 오냐면서 그러시길래 바로 무릎꿇고 싹싹 빌었습니다... 그렇게 제 방으로 들어와서 팬티부터 갈아 입었어요..ㅠㅠ,,,,,,,,,,
3027,완전 S급 배우가 없는데도 연기력 좋고 무서운  것도 있어서 잘 본것 같아요~~~,,,,,,,,,,
3028,친구가 사자 별로라고 새서 넘겼ㄴ었는데 변신은 나름 평도 괜찮고  다들 연기도 잘하는!,,,,,,,,,,
3029,진짜 지리고 지렸다,,,,,,,,,,
3030,보러 들어갈때 팝콘 사가지 마세요 먹을시간 없어요,,,,,,,,,,
3031,내가 살면서 또 이런 영화를 볼 수 있을까? 정말 신선한 공포영화,,,,,,,,,,
3032,스릴있고 몬가 묘한 긴장감 장만 으닙니다ㅜㅜ,,,,,,,,,,
3033,제가 공포영화 매니아여서 그런지 올해 본 영화중 최고네여~^^ 심장도 쫄깃하고,,,,,,,,,,
3034,곡성보다 나았어요. 호불호가 갈리는데 전 최고였음,,,,,,,,,,
3035,재미는있는대 스토리가덜완성된느낌2프로부족하다느낌,,,,,,,,,,
3036,긴장하려다 어이없어서 웃고..마지막도 어이없어서 웃고...하하. .,,,,,,,,,,
3037,간만에 공포영화 중에서는 괜찮은 영화 가 나온듯하네요,,,,,,,,,,
3038,회사에서 티켓 줘서 공짜로 봐서 기대 안했는데 나름 괜찮았어요!,,,,,,,,,,
3039,간만에 재밌는 공포영화 봤어요!,,,,,,,,,,
3040,최악임 재미도 없고 감동도 없도 내용도 없움돈주고 기분나빠지고 싶으면 보세요,,,,,,,,,,
3041,낚이지 마라 어이가 없다 ㅉㅉ,,,,,,,,,,
3042,긴장감이 최고 연기도..,,,,,,,,,,
3043,구마라는 익숙한 재료로 만든 맛있는 요리같은 영화. 공포감 하나는 제대로 살려낸듯.,,,,,,,,,,
3044,분위기와 긴장감이 정말 압도적이다!! 셔터 만큼 재밌다.,,,,,,,,,,
3045,한국영화에서 보기힘든 설정 ~ 재밌었고  배우들 연기가 오싹하고 스릴넘치네요,,,,,,,,,,
3046,배우들의 연기,,,,,,,,,,
3047,그냥 말이 필요없을정도로 잼나게봤어요^^ 완존.,,,,,,,,,,
3048,한국공포 이정도면 많이발전한듯ㅋㅋ,,,,,,,,,,
3049,소름돋고 성동일배우연기는 굿이고초반에는 긴장감 몰입됬으나 그후로부턴 스토리가...ㅠㅠ결말도아쉽지만 재밌게본영화 보면서약간 장산범이란영화생각남,,,,,,,,,,
3050,꼭 보세요 여러분~ 미칩니다..,,,,,,,,,,
3051,초반부에 잘가다가 왜그랬어...왜 되지도 않는 억지를 부려서...,,,,,,,,,,
3052,딱 3점 .  아브리쿠 다이쿠소 보크리 아으시 . 이딴거 중얼거리면 있어보이냐. 검은사제들 발끝에 때만큼도 안됨 .,,,,,,,,,,
3053,피만 난무함...ㅠㅠ 먼가 변신이라는 설정만 믿고 넘 말도안되는 전개...근데 그설정이 있어서 말도안되는 전개가 가능한거라....예고편에 보던 그런 유니크함은 없엇음..할튼 별로,,,,,,,,,,
3054,정말 댓글알바들 장난아니네요 구립니다ㅜㅜ 속았어요,,,,,,,,,,
3055,내용이 어떻건 말건 걍 무서움.,,,,,,,,,,
3056,근래들어 본 영화중에 가장 재밌게 봤네요 주변에도 무조건 보라고 할 정도로 배우들 연기보는 재미가 있네요,,,,,,,,,,
3057,기대없이 봤는데 재밌고 몰입도 최고였음 연기 다잘하고,,,,,,,,,,
3058,간만에 나온 한국 최고의 영화중 하나... 치밀한 스토리와 배우의 이미지까지 역으로 이용한 천재성,,,,,,,,,,
3059,분노는.. 어쩌고 대사 너무 와닿았다. 두번째 보는데 영화의 느낌이 디테일이 완전히 다르다. 잘만든 영화.,,,,,,,,,,
3060,반전도 섞인점(관객을 속인점),,,,,,,,,,
3061,예고편만큼만 했으면 좋았을뻔했는데 연출이 아쉽네요. 컨저링+검은사제들 짜집기한느낌? 하지만 시도는 좋았으며 엑시트보다는 10배 낫습니다. 개인적인 생각으로 배성우가 연기하는게 힘들었을것 같습니다.,,,,,,,,,,
3062,결말이 좀.... 하지만 엄청 무서웠다 ㅠㅠㅠ,,,,,,,,,,
3063,진짜 공포영화 좋아하는데..울뻔했어요. 진짜 너무 무서워요 ㅠㅜ,,,,,,,,,,
3064,소재와 연기력은 매우 좋았다. 누구나 몰입감을 가지고 접근할 수 있게 해놧기에 다들 집중력 있게 볼 수 있는 마력이 있었다. 연출도 괜찮았다. 흡족 모든게 흡족하다. 마무리가 아쉽다. 스토리 연계가 아쉬운 부분이다 ...,,,,,,,,,,
3065,마지막에 반전진짜 소름이였어요..,,,,,,,,,,
3066,진짜 한국판 엑소시스트 80% 이상 성공적입니다. 재밌어요.,,,,,,,,,,
3067,영화보는 내내 아웃사이더였음두 눈을 감고 두 귀를 막고.자막보려고 눈뜨다가 악마랑 눈마주치고..음료사가서 그대로 남기고 옴영화끝났는데 온몸이 아픈건 왜지..완전추천,,,,,,,,,,
3068,초반부 재미는있었지만 서양 공포영화 설정을 따라한것과 후반부로갈수록 지루하고 뜬금없는 설정 마지막 억지감동 ....;; 초반부를 잘끌고갔으면 진짜 대박영화였는데 중후반부가 너무 아쉽습니다,,,,,,,,,,
3069,꼭보세요 너무 무서워요ㅠㅜ,,,,,,,,,,
3070,연기하고 연출이 좋드라 볼만함 ㅋ,,,,,,,,,,
3071,초중반까지는 진짜 무섭고,,,,,,,,,,
3072,초반의 몰입도와 스토리 전개가 후반으로 갈수록 힘을 잃어버림마지막엔 극장 여기저기에서 킥킥 거리는 비웃음도 들리고 어이없고 억지스러운 결말도깨비 오마쥬? 둘째는 아무도 신경 안씀??,,,,,,,,,,
3073,사자처럼 유치할 것이라는 기대와는 달리 정말 잘 만들었네.,,,,,,,,,,
3074,사운드가 진짜 너무 무서웠어요. 극장에서 봐서 그런가? 사운드 진짜 너무 좋았습니다.,,,,,,,,,,
3075,정말 배우들의 연기는 하나같이 최고였다. 게다가 재밌고 긴장감 넘치고,,,,,,,,,,
3076,솔직히 장르는 코믹이다ㅋㅋㅋㅋ,,,,,,,,,,
3077,딱 한장면 우리딸 아주 잘컸네젤무섭,,,,,,,,,,
3078,충분히 한국적이면서 악마를 잘 풀어낸거 같아요. 기대 이상으로 재미었어요,,,,,,,,,,
3079,진짜..콜라와 팝콘먹을시간도 없이 긴장감넘치고 손에땀을쥐는영화.. 오랜만에 진짜제대로된영화본듯..,,,,,,,,,,
3080,해외,,,,,,,,,,
3081,참 재밌습니다...꼭 보시길..나만 돈버릴수없으니까..,,,,,,,,,,
3082,정말 후덜덜하다. 스릴넘치는 내용과 중간중간 숨못쉬게 하는 깜짝쇼,,,,,,,,,,
3083,최근 한국 공포 영화 중 제일 괜찮았다,,,,,,,,,,
3084,왜 둘째딸 사라진지 한참됐는데 찾지도 않고 너무 마무리가 약한듯 ㅠㅠ 배우들 연기는 좋음,,,,,,,,,,
3085,심약자 어린이 절대 이 영화 보여주지마세요.초반긴장감 스토리 정말 무서운데 대장신부교통사고.배성우 허무하게 끝나는거 때문에별하나 빼구요.신부.조물주를 너무 약하게표현된거.이야기 만들려구 그런거라두 조물주와사단은 상대...,,,,,,,,,,
3086,여배우들 다 너무 멋져요. 하나같이 어쩜 연기를 잘해요. 굿~ 이에요,,,,,,,,,,
3087,무섭지만 재밌어요. 그리고 배성우 씨가 멋있게 나옵니다. 목소리 너무 좋네요.,,,,,,,,,,
3088,개ㅆㄹㄱ 왜봤지....두시간 낭비했네,,,,,,,,,,
3089,곡성이 얼마나 잘만든 영화인지 알수 있었다.,,,,,,,,,,
3090,볼만햇음 연기상타치!!!!,,,,,,,,,,
3091,소름끼치게 노잼 알바 믿지 마세요 (0점 주는 기능이 없어서 아쉬울정도),,,,,,,,,,
3092,검은사제 따라하지마세여,,,,,,,,,,
3093,-5점 주려다 없어서 최하점 드립니다.. 정말 스토리도 개연성도 없는.... 영화에요 돈주고 본게 아까워 환불요청이라도 하고싶네요 왜 평점이 높은지도 모르겠고 소리에 놀라고 잔상에 놀라는 영화를 보고싶다면 추천드려요...,,,,,,,,,,
3094,변신이 아니라 병1111신임,,,,,,,,,,
3095,영화 제대로 못본 초딩 알바들 개많누,,,,,,,,,,
3096,재미없습니다....,,,,,,,,,,
3097,감독 자격이 있는지 묻고 싶다. 대체 이런걸 어떻게 개봉할 생각을 했는지...수준 이하 영화,,,,,,,,,,
3098,중간에 보다가 나왔어요,,,,,,,,,,
3099,반개주기도아까움...쓰기싫다,,,,,,,,,,
3100,노잼 연기도 애매하고,,,,,,,,,,
3101,댓글 호평일색이라 보러갔다 제대로 낚임.장화홍련급의 영화라더만 도대체 어느대목에서 무서워해야하나요?영화홍보 언론플레이 무시무시하게 잘했다는건  인정합니다.아까운 내돈~~~,,,,,,,,,,
3102,곡성이랑 검은사제들 보고 현타오신분들 있으시죠? 네 절대 보지 마세요 ^^,,,,,,,,,,
3103,똥싸다 만 느낌다들 보지 마세요 ㅎㅎ 보면 안됌,,,,,,,,,,
