,content,,,,,,,,,,,,,,,,,
455,청소년 관람불가의 선을 넘어서는 영화,,,,,,,,,,,,,,,,,
456,몇 날 며칠  이 영화 때문에 기분이 좋지 않았습니다. 단순안좋은게 아니라 정말 엮겨웠습니다. 머릿속에서 지울라고 엄청 노력했어요. 정상적이지 않은것을 영상미를 넣어 아름답게 보이게해서 그것이 마치 작품성이 높은 영...,,,,,,,,,,,,,,,,,
457,신천지 내지는 한국 기독교를 보는 것 같았어요너무 잘 표현해서 10점 드립니다,,,,,,,,,,,,,,,,,
458,밑에 pega**** 너 병원 가봐야겠는데,,,,,,,,,,,,,,,,,
459,이런 영화는 정신건강에 해롭습니다 ㅋ,,,,,,,,,,,,,,,,,
460,영화 포스터를 보고 영화 초반 이상한 마을 분위기를  느꼈다면 인신공양에 대한 뻔한 영화라는걸 눈치챌수 있다. 과대평가된 영화,,,,,,,,,,,,,,,,,
461,호불호가 세게 갈릴듯한 영화다,,,,,,,,,,,,,,,,,
462,전도를 목적으로 다가왔던 사람들을 그저 같잖게 생각했었다.속으론 재밌어하며 상대했었고 소굴에 들어가서 구경해보고 싶어했었음.근데 이 영화를 보고나선 더 이상 그 사람들을 만날 수 없게 되었다. 안일한 생각을 했던거라...,,,,,,,,,,,,,,,,,
463,주인공 대니의 심리적 묘사가 뛰어난 것 같아요. 대니가 필요했던건 단지 자신의 불안에대한 크리스티안의 공감이 아니었을까 하는데,,,,,,,,,,,,,,,,,
464,영상 예쁜 거 말고 남는 게 뭐지...무섭지도 않고...참...남는 거 없다...차라리 캣츠 볼래...,,,,,,,,,,,,,,,,,
465,기괴하고 또 기괴함 흰옷에 화관이나 꽃으로 둘러쌓여있는게  아름다움이 아니라 어지럽고 토나올것 같은 느낌,,,,,,,,,,,,,,,,,
466,아름다운 색감에 평화롭지만원근감 있는 카메라 촬영기법때문인지연출력 때문인지 보는 내내 울렁거리고생지옥이 느껴짐;,,,,,,,,,,,,,,,,,
467,유전은 그래도 괜찮게 봣는데...근데 감독이 사이비에 빠진적있나요,,,,,,,,,,,,,,,,,
468,눈 버렸다.,,,,,,,,,,,,,,,,,
469,그곳에선 90년에 한번 이곳에선 규칙없이 랜덤으로 찾아오는 비극  스크린속 그 마을에서 오히려 편안함을 느꼈다면 난 싸이코인가.. 앞으로 90년은 얼마나 평온할지.. 보여지는 끔찍한일들은 그저 고된 액땜의식 같다,,,,,,,,,,,,,,,,,
470,마지막 미소는.. 여주의 심각한 우울감과 마음의 짐들 그리고 분노. 가족을 잃은 슬픔 등이 모두 해결되었다고 느껴서 웃은것일까?정말 무서웠다 이영화. 한 사람의 심각한 결핍감을 채워주어 싸이비종교에 자연스레 스며들게...,,,,,,,,,,,,,,,,,
471,기분 더러움 찜찜함 앞으로 스웨덴하면 이 영화가 안잊혀질듯 정신병 걸리면 이런 느낌일련지 설마설마했는데  절벽신에서 안봤어야했어...슈발,,,,,,,,,,,,,,,,,
472,강렬한체험. 다만울렁거림 ㅠ,,,,,,,,,,,,,,,,,
473,영화보는 내내 어지럽다,,,,,,,,,,,,,,,,,
474,영화 끝까지 슬래셔무비로 전환되지는 않을까 기대했다,,,,,,,,,,,,,,,,,
475,은유없음은유는저번에개봉한서스페리아같은 영화에서보여준게 은유지  이건 종교나집단이가진 전체주의나 그런걸로오도해석할수있겠지만 영화요약 길게해도 OO세줄이면 끝나는 영화 그렇다고 무섭지도 않고 등장인물들로 흥미를 만드는것...,,,,,,,,,,,,,,,,,
476,호불호 심함. 관람 후 기분이 이상함. 일상이 일상 같지 않아 ㅡ ㅡ;; 이게 반전인가 봄.,,,,,,,,,,,,,,,,,
477,신념이란 얼마나 어리석고 또 아름다운가. 단순한 삶은 아름답다. 복세편살,,,,,,,,,,,,,,,,,
478,나혼자 당할수 없다..,,,,,,,,,,,,,,,,,
479,기괴하다고 무서운게 아니라는걸 깨닫게 해준 영화,,,,,,,,,,,,,,,,,
480,이영화가 해피엔딩일까 새드엔딩일까?개인적으론 해피엔딩이라 생각한다.,,,,,,,,,,,,,,,,,
481,한편의 다큐멘터리를 보는 기분.. 아리애스터 감독의 연출이 돋보였음,,,,,,,,,,,,,,,,,
482,ㅅㅂ 개 ㅈ같은 영화임 절대로 보지마셈,,,,,,,,,,,,,,,,,
483,이런거지같은영화좀쳐만들지마라,,,,,,,,,,,,,,,,,
484,감독이 이정도면 100% 정신병 있을듯하다 이상한 종교도 믿을듯하고 정상 머리에서는 이런 시나리오가 나올수 없다. 유전까지는 괜찮았는데 이 영화를 보고 확신했다. 이제 이 감독영화는 더 이상 안볼거라고 보는게 너무 ...,,,,,,,,,,,,,,,,,
485,마을사람들이 함께 공감하며 살아가는 모습이 아름다웠습니다 가족을 찾은 여주의 마지막 미소가 카타르시스를 느끼게 합니다,,,,,,,,,,,,,,,,,
486,이상한영화 미친여자들이 꽥꽥 소리 지를때 짜증남,,,,,,,,,,,,,,,,,
487,유저 미드소마 둘 다 내겐 매력있는 작품다음 작품이 기다려진다 감독이 천재인지 또라인지는 다음작품에서확연해질듯,,,,,,,,,,,,,,,,,
488,단언코 이영화는 아주 재미있는영화입니다. 엽기+독특한걸 좋아하시는분들 백프로만족보장 믿으소마!!!!후반으로 갈수록 점점 더재밋음,,,,,,,,,,,,,,,,,
489,보면 멘탈 나감 고어한 장면 이렇게 고기 다지듯이 표현한 영화는 처음 봄 게다가 결말도 찝찝해서 아직도 뮈치겟슴,,,,,,,,,,,,,,,,,
490,와 대단하다 유전과 같은 동질감을 느끼길 바라고 보다가 느끼는 이질감을 버리고 보면 더 많은 것이 보이는 영화 유전을 뛰어넘는 수작,,,,,,,,,,,,,,,,,
491,스노우 필터로 촬영한 세르비안 필름,,,,,,,,,,,,,,,,,
492,영화관에서 보면 화나는 영화,,,,,,,,,,,,,,,,,
493,뽕맞고 찍었나? ㅋㅋㅋ 두시간 넘게 고문한 감독이 공포스럽다.솔직히 몇 번 웃은건 인정. 여주는 심리학과라는데 왜 그렇게 바보같음? 배우들이 고생한 듯.그래도 재미도 없는 영화를 두시간 안졸고 보게 만든 감독의 연출...,,,,,,,,,,,,,,,,,
494,느리고 이해안가고 엽기적이다,,,,,,,,,,,,,,,,,
495,이건 돈도 시간도 아까운 돌아이 집단의 사이코 놀음 절대 보지마라 제발 !,,,,,,,,,,,,,,,,,
496,컨저링이나 인시디어스같은 공포물 좋아하면 비추천. 보면서 OOO무서워ㄷㄷㄷ이런게 아니라 OO뭐지....하는 불쾌감이 옥죄어오는 영화. 전작인 유전보단 못한데 개인적으로는 재밌게봤음,,,,,,,,,,,,,,,,,
497,누가좀 정보좀 제대로주지.완전쓰레기영화 감독이 아마 싸이코일게 틀림없는것같음.이런걸 왜수입해 .누가 내눈 보상할거야.영화보고 이렇게 열받기는처음 입니다.,,,,,,,,,,,,,,,,,
498,이 영화는 무엇인가?..,,,,,,,,,,,,,,,,,
499,보고나니 찜찜하다.  감독이  전하는 메세지를 이해하기 어려움,,,,,,,,,,,,,,,,,
500,유전보다 먹기 좋은 떡 같으나맛있지는 않았습니다,,,,,,,,,,,,,,,,,
501,본인은 잘만든 영화라고 혼자 자위할것 같음. 현실은 공감능력 떨어지는 변태가 찍은 것 같다. 기분만 더럽다. 아름답고 감동주는 영화들 볼 시간도 없는데 왜 본건가 싶다.,,,,,,,,,,,,,,,,,
502,잔인하거나,,,,,,,,,,,,,,,,,
503,저는 개인적으로 공황장애와 우울증을 앓고있는사람이고,,,,,,,,,,,,,,,,,
504,영화도 어이없지만,,,,,,,,,,,,,,,,,
505,최고다 할말이 없다 꼭 보시라,,,,,,,,,,,,,,,,,
506,가만..이런류 영화 좋아하는 나는 너무 재미있게 봤는데 사람들 평이 대부분 안좋아서. 그렇구나 했지만 생각해보면 엄청난 성공인 영화인듯? 이런영화 의도는 불쾌감 기분나쁨 그런류의 공포영화이니 사람들의 반응은 이 영화...,,,,,,,,,,,,,,,,,
507,빡세고 재밌다 플로렌스 퓨 다음영화 보고 싶다,,,,,,,,,,,,,,,,,
508,몽환적인 영화. 밝고 찬란한 공포,,,,,,,,,,,,,,,,,
509,대낮의 공포 신선함. 난 유전 보다 좋았다!,,,,,,,,,,,,,,,,,
510,X같이 잘만든 영화. 감독이 지대로 나사풀었다. 내가 다 약빨은거 같네 윀,,,,,,,,,,,,,,,,,
511,아 OO 이런 개 쓰레기 같은 영화가 다 있어...두시간동안의 기억을 지우고 싶다,,,,,,,,,,,,,,,,,
512,아리 애스터 다음 작품은… 유전vs미드소마 해서,,,,,,,,,,,,,,,,,
513,가서 볼때는 정말 별로였는데.. 곱씹어보면 배경연출은 이뻤던거 같기도 하고..,,,,,,,,,,,,,,,,,
514,수작이다  이정도의 연출이라니,,,,,,,,,,,,,,,,,
515,와 개오지네요 보면서 느낀건 첫째 돈이 아깝다는거고두번째는 내가 왜 이걸보고있지라는겁니다.ㅋㅋㅋ,,,,,,,,,,,,,,,,,
516,이거보고 잊혀지지가않네요 정신병걸릴거같음,,,,,,,,,,,,,,,,,
517,북유럽 풍의 지루한 싸이코 영화,,,,,,,,,,,,,,,,,
518,유전을 재밋게 봐서 기대하고 봤는데 다 떠나서 재미가 없음,,,,,,,,,,,,,,,,,
519,유전은 재밌게 봤지만 이건 솔직히 다른 고어 영화에 비해 별로 잔인하지도 않고 무엇을 전하고 싶었던건지도 모르겠고 누가 본다고 하면 말릴것 같음,,,,,,,,,,,,,,,,,
520,한낮의 공포를 잘 표현.. 이런 영화 우리나라에도 만들엇으면,,,,,,,,,,,,,,,,,
521,우에엑~~~~ 속안좋아요,,,,,,,,,,,,,,,,,
522,후...진짜 후후..,,,,,,,,,,,,,,,,,
523,보지마세요,,,,,,,,,,,,,,,,,
524,평론가들 꼴값용 영화,,,,,,,,,,,,,,,,,
525,호불호 엄청갈릴듯. 컨저링,,,,,,,,,,,,,,,,,
526,정말 정말 이런 영화를 오ㅐㅠ 보지마세요ㅠㅠㅠ 너무 잔인하고 인생에 하나도 도움도 안되고 짜증나고 불쾌하고 정말 재미없는 영화입니다 제 인생에 최악의 영화에요... 다른 사람의 눈을 위해서 쓰는 댓글입니다....,,,,,,,,,,,,,,,,,
527,감독이 자신의 기이함을 보여주기위한 연출일뿐인 영화 끝까지 집중하게 만드는 쓰레기작품 기대한후 실망할것 고어물을 좋아한다면 이토준지작품이나 볼것 의미없는 공감능력이 끝,,,,,,,,,,,,,,,,,
528,최악~돈 아깝다.  영화가  뭘 하는건지~~헐,,,,,,,,,,,,,,,,,
529,ㅈ노잼 쓸데없이잔인함,,,,,,,,,,,,,,,,,
530,와...진짜 재미도 없고...하...괜히 봄,,,,,,,,,,,,,,,,,
531,나 진짜 기괴하고 고어틱한거 잘 보는데 이건 진짜 아... 역겹다 잔인해서그런게 아니라 걍 역겨워,,,,,,,,,,,,,,,,,
532,공포라고 해서 갔는데..인생 최악의 영화. 역겨움.,,,,,,,,,,,,,,,,,
533,이런 영화를 놓치지 않고 극장에서 만난게 행운이라 생각함..!  호러 오컬트 매니아로서 신선하게 느껴졌고,,,,,,,,,,,,,,,,,
534,힐링과 고어가 공존하는 아름다운  영화,,,,,,,,,,,,,,,,,
535,아직 한국인은 이정도의 수작을 받아들일 능력이 안됌... 외국에선 호평...나도 좋앗음...추천,,,,,,,,,,,,,,,,,
536,별로 충격적이거나 신선하거나 그런거 없음 그냥 첨부터 끝까지 지루함,,,,,,,,,,,,,,,,,
537,10점이 왜이렇게 많을까? 별을 안주면 평점을 못남겨서 어거지로 별 반개 드립니다. 인생 최악의 영화,,,,,,,,,,,,,,,,,
538,진지하게 감독 명치 한대 씨게 때리고 싶다,,,,,,,,,,,,,,,,,
539,제발 플리즈 걍 보지마세요,,,,,,,,,,,,,,,,,
540,이게뭐지...싶은 영화중간에 이상한 장면들이 나오고..,,,,,,,,,,,,,,,,,
541,감독이 쳐자다 일어나서 풀발기해서 쓰고 사정한 각본,,,,,,,,,,,,,,,,,
542,장난함? 공포는 무슨 그냥 기분만 나쁜 영화였다.뭘 말하고자 했는지,,,,,,,,,,,,,,,,,
543,감독이 정신병자임이 틀림없음,,,,,,,,,,,,,,,,,
544,진짜 재미없어요ㅠㅠ 보지마세요지루하고 시간낭비이고 유전기대하지마시고감독이 유전만들고 삘타서 그냥 자기 맘대로 뿌직뿌직함 기괴하지도 않고 무섭지도 않고 재밌지도 않음 아니 뭔가 밝은 분위기인데 보고있는것은 기괴하다 이...,,,,,,,,,,,,,,,,,
545,진짜 장난 똥싸냐고 감독에게 묻고 싶다,,,,,,,,,,,,,,,,,
546,재미 개없네 미친 1점도 아까운 영화,,,,,,,,,,,,,,,,,
547,보지마세요 진심입니다.돈내고 영화관가서 후회한적 처음입니다 정신건강에 매우 안좋아요,,,,,,,,,,,,,,,,,
548,현실에서 헤매이지 마라,,,,,,,,,,,,,,,,,
549,나 솔직히 고어물 좋아해서 보는데 이건 진짜 아니다.시간만 기네ㅣ,,,,,,,,,,,,,,,,,
550,쌉쓰레기 영화... 보면서 돈아까웠던 적은 처음이었음,,,,,,,,,,,,,,,,,
551,유전이 백배 낫네요;;; 노잼,,,,,,,,,,,,,,,,,
552,진짜 보느라 힘들었어요. 정말 호불호 갈리는데 저는 극불호네요. 중간에 나갈까 3번 정도 생각했네요. 너무 길게 느껴졌어요. 음악이 굉장히 무서웠어요.,,,,,,,,,,,,,,,,,
553,온갖 있어보이는 것들로 포장한 중2병 걸린 오타쿠가 쓴 각본. 포장 조차도 어딘가 어색하고,,,,,,,,,,,,,,,,,
554,개인적으로 굉장히 극불호 입니다. 보는 내내 머리가 아플정도로 역겨운 느낌이 들었습니다. 종교 관련 얘기라고 하여 봤는데 사바하,,,,,,,,,,,,,,,,,
555,한때 오컬트랑 컬트류 영화를 좋아했고 의미 찾는거를 즐겨했는데 최근에 어스,,,,,,,,,,,,,,,,,
556,재밌게 잘 보구 왔습니다~,,,,,,,,,,,,,,,,,
557,서스페리아를 보고 나온 직후와 매우 흡사한 느낌. 영화 내용을 이해를 못하니 영화가 어려운지 그 자체도 잘 모르겠음. 기억나는 거라곤 후! 하! 와 아아~ 아아~ 뿐.,,,,,,,,,,,,,,,,,
558,한국은 해피엔딩아니면 무조건 평점 똥임ㅋㅋㅋㅋ 워낙 사고가 틀에 박혀 있어서 이런영화 절대 못만들지,,,,,,,,,,,,,,,,,
559,묘하게  괜찮음...개인적으론 추천함,,,,,,,,,,,,,,,,,
560,불편해서 별로인게 아님. 불편한 예술영화 곧잘 보는데  이건 걍 스토리가 없음.  몰입도 안되는데 가짜티나는 잔인한 장면들 짜집기해 놓은 영화.  무서운거 못보는데 무섭지도 않고 중간에 웃음터짐,,,,,,,,,,,,,,,,,
561,이 X발 호불호? X까 이거 좋아하면 그 ㅅㄲ가 사이코인거임. 절대 보지마셈. 호러랑 고어 좋아하는 나도 이 영화는 역겹다,,,,,,,,,,,,,,,,,
562,구라하나안치고개ㅈ같은영화,,,,,,,,,,,,,,,,,
563,고어물도 아니고 머리에 진한 충격을 남기는 영화도 아니고.. 의문만 남긴채 끝난 영화,,,,,,,,,,,,,,,,,
564,1점도 아까워요 어떤영화도 왠만하면 재밌게보는데 돈아까운 영화 처음이었음 영화포스터처럼 걍 울다가 끝남 기괴하고 기분나쁨 절대 보지마세요 ㅡㅡ,,,,,,,,,,,,,,,,,
565,살다살다 같이 간 친구한테 보러 가자고 해서 미안하다고 한 영화는 처음이다. 유전 감독이라고 해서 기대하고 갔는데 개뿔도 없는 영화였음. 전반적인 내용이 스웨덴 친구의 고향이 사이비 광신도들이라는 것밖에 없어.,,,,,,,,,,,,,,,,,
566,공포영화 좋아하고 유전도 재밌게봤는데 기대가 컸는지 늘어지고 지루하고 신선하지도않았다 (예측불가능한 이야기는 아님) 호불호 심하게 갈릴영화 전혀 무섭지않고 잔상이 남지도않았지만 마지막 여주인공 표정에서 그감정이 이해...,,,,,,,,,,,,,,,,,
567,구원의 의미가 담겨있는거 같네요 보는 사람마다의 해석은 틀리겠지만 저는 그렇게 느껴졌고 영상미나 촬영기법이 정말 대단하네요 호불호가 갈릴만한 영화이지만 예술적으로 면으로 봤을때 정말 좋았습니다,,,,,,,,,,,,,,,,,
568,초반에는 오~ 역시 유전감독인가? 이랬다가 중반부터는 웃음참기 챌린지를 하다가 마지막엔 헛웃음과 함께 극장에서 나오게 됩니다:),,,,,,,,,,,,,,,,,
569,새로운 느낌의 공포영화네요.유전보다 더 함축적이며 아이러니한 공포,,,,,,,,,,,,,,,,,
570,보고 집에와서 자려는데 장면들이 계속생각나서 잠을 잘못잤다.. 올해 중에 제일 기억에 남을만한영화인거같다!,,,,,,,,,,,,,,,,,
571,잔잔한 감동 힐링영화입니다,,,,,,,,,,,,,,,,,
572,뭔내용인지도 모르겠고 하나도 안무섭고 의미없고 이게 왜 공포장르에 들어간건지 모르겠음. 그리고 영화 중간에 왠 할머니가 들어와서소리지르면서자기가방잃어버렷다고난동부리면서시야가리는데직원들이아무런제지도안함이수아트나인직원들...,,,,,,,,,,,,,,,,,
573,관계와 소통이 중요해도 생명보다 우선할 수  없다.,,,,,,,,,,,,,,,,,
574,나에겐 더럽고 불쾌했다. 누군가 나타나서 전부 몰살 시켰으면 했다. 감독부터..이런걸 자주보는 사람이 있다면...어찌될까...,,,,,,,,,,,,,,,,,
575,이거만든색기나와',,,,,,,,,,,,,,,,,
576,보고나니 기분이 엿같음,,,,,,,,,,,,,,,,,
577,가스라이팅 존나 잘하는 약쟁이 사이비들,,,,,,,,,,,,,,,,,
578,영화 시작하고 공간과 주위 인물들이 공감도 소통이 안되고 답답한 느낌을 줬다면 마지막으로 갈수록 뻥 뚫리는 느낌을 잘 준 것 같아요. (장소도 그렇고 내용이) 음 개인적으로 별로 무섭진 않았고 좀 징그러웠습니다. 호...,,,,,,,,,,,,,,,,,
579,다 보고 나서 바로 화장실 가서 토했습니다보는 내내 표정관리도 안되고 제 인생에서 본 영화 중에 제일 기분 나쁜 영화네요...공포영화 좋아하는 사람으로서 좋은 경험이었습니다!,,,,,,,,,,,,,,,,,
580,색감은 좋음. 이케아같아 고어물 까지는 아니고 걍 미친영화임,,,,,,,,,,,,,,,,,
581,내용이 정신이 나갔는데 영상미와 연출이 오지게 완벽함. 명작과 망작의 영원히 밝혀질수 없는 미스테리의 세계임.,,,,,,,,,,,,,,,,,
582,토할거같음... 어지러움,,,,,,,,,,,,,,,,,
583,다 보면 굉장히 불쾌함 그걸 노린 거면 성공한 영화 맞는 것 같음,,,,,,,,,,,,,,,,,
584,사이비종교인들의 엽기적인 행각. 그리고,,,,,,,,,,,,,,,,,
585,진짜 살다살다 이렇게 재미없는 영화 첨임,,,,,,,,,,,,,,,,,
586,진심 최악의 영화정상적인 생각을 가지신 분들이라면 절대 보지마세요정신적으로 이상한 사람이 만든 영화입니다,,,,,,,,,,,,,,,,,
587,낮은 점수를 주기느힘든데,,,,,,,,,,,,,,,,,
588,악마,,,,,,,,,,,,,,,,,
589,미친 도라이들이 체육대회 하는 영화,,,,,,,,,,,,,,,,,
590,의식적 세계관에서 접근해야함.작품성은 대중성을 고려해 평가함..ㅡㅡ,,,,,,,,,,,,,,,,,
591,이건 뭔가요 정신이 피폐해지네요. ㅇ해하고 싶지도 않네요,,,,,,,,,,,,,,,,,
592,사이비같아서 너무 기분나빠요..영상은 예뻐요주변에서 본다하면 보지 말라고 하고싶음,,,,,,,,,,,,,,,,,
593,감독을 쳐죽이고 싶다 어우,,,,,,,,,,,,,,,,,
594,제발 보지 마세요. 안본눈 안본뇌 삽니다,,,,,,,,,,,,,,,,,
595,감독 미쳤냐? 이 말밖에 생각 안나,,,,,,,,,,,,,,,,,
596,뭐야 이거 이상한 영화야 -_-;;  처음에는 외지에서 온 학생들이 약에 취해서 환각을 보면서 사건이 벌어지나 싶었는데 그것도 아니었음. 그냥 이상했음. 그냥 미친거임. 내용도 길어서 점점 지루해지는 와중에 계속 미...,,,,,,,,,,,,,,,,,
597,지루한 미술작품 그자체.언제 재밌어지나 계속 기다리다가 영화가 끝났다.요상한 북유럽풍 기괴미가 끝이다. 반전도 스토리도 감동도 없다 오직 기괴미만.,,,,,,,,,,,,,,,,,
598,이상하다고 평가할 수도 있고,,,,,,,,,,,,,,,,,
599,하도 사람들이 난리라서 봤는데 개노잼에 잔인하기만 하고 러닝타임은 또 어찌나 긴지 ...,,,,,,,,,,,,,,,,,
600,구역질나고 토나옵니다,,,,,,,,,,,,,,,,,
601,도라이 영화 자x 보x 유x 다나옴,,,,,,,,,,,,,,,,,
602,잔잔하게 역겹고 노잼임,,,,,,,,,,,,,,,,,
603,뭔가 철학적으로 보여주려고 했으나 어설픔,,,,,,,,,,,,,,,,,
604,최악!최악!최악!최악!최악!최악!,,,,,,,,,,,,,,,,,
605,기분나빠요 안보는게 나을거같아요,,,,,,,,,,,,,,,,,
606,막판에 울때 같이 공감하는 나한테 놀란 영화,,,,,,,,,,,,,,,,,
607,사람을 둑아고 피가 나와서 징그러운 고어가 아니라 감정적 고어처럼 느껴졌음..보는 내내 찝찝하고 짜증나고 불쾌하고 관계장면은 보고나서 정말 울렁거리고 토할거같아서 3일을 불쾌하게 지냄,,,,,,,,,,,,,,,,,
608,사람이 미쳐도 영화를 만들수가 있구나. . 작가와 감독 배우 다 미쳤고 애들볼까봐 두렵다. 꽃다발만 예쁘게 만들면 예술영화되는줄아나. . .,,,,,,,,,,,,,,,,,
609,이게 뭐야. 이도 저도 아닌 병맛임.,,,,,,,,,,,,,,,,,
610,정신이 이상해짐...,,,,,,,,,,,,,,,,,
611,이거보고 트라우마생겼어요 정신병걸릴거같은영화고 보다가 공황장애온거처럼 답답하고 숨막히고..무서운장면은없는데 특유의 불쾌함? 이 처음부터 끝까지있어서 진짜힘들었어요 평점안보고 영화해석하고싶어서봤는데 끝으로갈수록 더 최...,,,,,,,,,,,,,,,,,
612,너무역겨워요....,,,,,,,,,,,,,,,,,
613,절대 보지마 기분 더러워짐,,,,,,,,,,,,,,,,,
614,매우 OO하고 자빠졌네,,,,,,,,,,,,,,,,,
615,이 영화 보고 자기 취향이라고 하는 사람들의 뇌구조가 궁금하다.,,,,,,,,,,,,,,,,,
616,너무 지루해요너무너무,,,,,,,,,,,,,,,,,
617,영상미는 아름답지만내용 자체가 허점이 많고 불안한 느낌실제 스웨덴에 있는 축제라던데 이정도면 실제 축제도 가기 싫어진다..,,,,,,,,,,,,,,,,,
618,넷플릭스는 진짜 밑도 끝도 없는 영화들이 자주 올라오는듯..,,,,,,,,,,,,,,,,,
619,단 1%도 남김 없이 떨쳐버리고 싶은 불쾌함,,,,,,,,,,,,,,,,,
620,정신병자들 소굴,,,,,,,,,,,,,,,,,
621,제 인생 최악의 영화였습니다. 걍 기분 나쁘고 더러워요 보다가 정신 이상해질 것 같아서 말았습니다. 이런게 의미가 있고 감동이 있나요 그냥 악마가 만든 영화 같은데 이런 걸 의도했다면 성공한 거죠 세상 참 더럽고 더...,,,,,,,,,,,,,,,,,
622,감독의 허세와 중2.,,,,,,,,,,,,,,,,,
623,할머님들 전라노출공헌도에 박수를,,,,,,,,,,,,,,,,,
624,감독판으로 봐서 약3시간동안 봤는데 도대체가 무슨내용인지를 모르겠음.딱 하나,,,,,,,,,,,,,,,,,
625,?; 영상미는 좋은데 이걸 무슨 기준으로 봐야하는지 모르겠음 고어함? 공포성? 그냥 다른 문화에서 오는 이질감과 공포? 사이비가 전달하는 불쾌함? 이걸 느끼게 하는게 목표였다면 정말 잘 찍은 영화 근데 일반 사람들에...,,,,,,,,,,,,,,,,,
626,이걸 왜 봤을까...내인생 통털어 최악중의 최악. 최악중 1등. 꼭 보실거면 감독판보셈. 원작은 감독판 그냥 중간 중간 잘라논거. 그래서 더 이해가 안갔음.,,,,,,,,,,,,,,,,,
627,살로 소돔의 120일 같은 류랄까 감독은 천재거나 사이코. 문득 소름 돋는건 이런 미친각본을 받아들이고 연기한 영화속 수많은 연기자들. 진심 공포스럽다,,,,,,,,,,,,,,,,,
628,가야 한다는 걸 본능적으로 알면서 가지 않으면(못하면) 이렇게 휘말리게 된다. 이상한 것은 이상한 것이다. 자기의 감정조차 믿지 못하고 계속해서 의심하고 의심하는 사람들이 있다. 툭하면 인터넷에 올라오는 <제가...,,,,,,,,,,,,,,,,,
629,정신병자가 만든거 같은 영화임,,,,,,,,,,,,,,,,,
630,제일 소름돋는 부분은 영화가 끝날때가 축제 4일차....,,,,,,,,,,,,,,,,,
631,걍 개똥철학 보여 주려는 영화 역시나 유전 때나 그렇고ㅋㅋ 여기서 뭐 은유,,,,,,,,,,,,,,,,,
632,ocn에서 예고편으로 신선한. 공포영화라고 평점지수 높다고. 선전하던데 보기는하고 이걸 일반사람들 보라고 하나싶다  엽기를 넘어선 충격!  멘탈. 탈곡기 수준이다!호기심에도 보지마!  그냥 보지마라면 보지마  이거 ...,,,,,,,,,,,,,,,,,
633,영상하고 사운드 외엔 큰 감흥을 못느꼈어요.그리고 남자 나오는 부분은 시종일관 웃김.저같은감상 가지신분없나요.,,,,,,,,,,,,,,,,,
634,보지마라. 실검에떠서 봤다. 그냥 사이코다. 고어물이면 상관이없는데 약간의 고어에 난해한 스토리다. 약간 정신병걸릴만한 스토리 ㅇㅇ. 이거만든감독새끼 m이OO si발새ki임 ㅇㅇ,,,,,,,,,,,,,,,,,
635,집단 사이비종교의 밝고 쾌활한 지옥터레기나왔을때 역겨움,,,,,,,,,,,,,,,,,
636,보지 않길 바랍니다이런 영화는 왜 만드는건지어쩔수없이 별하나 체크내생애최악인 영화,,,,,,,,,,,,,,,,,
637,ㅋㅋㅋ 진짜로 별 고점 평은 나만 억울할수없다인게 분명했다 ㅋㅋㅋ 리얼 쓰레기인데 뭐 내용있어 쓰레기도 아니고 걍 없을 무 쓰레기 ㅋㅋ 공포영화 아님 ㅋㅋ 공포라서 보려는 분 개비추 ㅋㅋ 이런거 개봉하고 수입하는 사...,,,,,,,,,,,,,,,,,
638,기분 더러워지는 영화.연기는 다들 잘하시네요.,,,,,,,,,,,,,,,,,
639,한마디로 정신병자 수준의 영화네요.뭐를 말하고 싶었는지 전혀 궁금하지 않아요.그냥 정신병자 감독이 정신병자 영화 만든것 같아요.오씨엔은 왜 이딴걸 틀어줘서 호기심에 본 나를 괴롭게 만드는가..,,,,,,,,,,,,,,,,,
640,있어보이려고 부단한 노력을했지만  디테일하게 스크린에 집중해보면 연기들이 수준이하라는걸 알 수  있음. 그럴듯해보이기만하려했지만 결국졸작 이것은 내용을 떠나서 전체적인면이 수준이하임,,,,,,,,,,,,,,,,,
641,영상미라도 기대해보았으나 그냥 쓰레기영화사이비종교의 정신세계를 보여주는데 뭔소린지 도통...영화를 대체 왜 만들었을까..,,,,,,,,,,,,,,,,,
642,Si bal gae got know,,,,,,,,,,,,,,,,,
643,절벽씬 보고 끌뻔했는데 뒷내용 궁금해서 계속 봤지만 별건 없었다,,,,,,,,,,,,,,,,,
644,공포지수는 유전이 훨씬 높았지만 나름 아름답고 기분나쁜 신선한 감흥을 선사.,,,,,,,,,,,,,,,,,
645,개토악질 나옴,,,,,,,,,,,,,,,,,
646,밝은 배경의 하얀 공포 속 기괴하고 난해한 종교의식,,,,,,,,,,,,,,,,,
647,고어영화였다니 ;; 고어영화라는 장르면에서 10점줄게요;;,,,,,,,,,,,,,,,,,
648,고어스럽구,,,,,,,,,,,,,,,,,
649,감독 연출이 창의적인 영화. 특유의 불쾌한 느낌은 있지만 개인적으로 이런 느낌을 좋아합니다. 이 불쾌한 독특함을 흥미롭게 긴 러닝타임 내내 끌고가는것이 힘들다고 생각하는데 그걸 해내더라구요，이런 분위기 좋아하시면 추...,,,,,,,,,,,,,,,,,
650,진짜 정신병걸릴거같고 토할거같음 근데 이영화는 그런맛에 보는거같음,,,,,,,,,,,,,,,,,
