,content,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
1092,1999년을 강타한 비주얼 혁명.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,1999년도 영화관에서 봤었고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,볼 때 마다 새로운 인사이트를 준다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,이 영화를 안 보는건 말이안됨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,99년 만들어진 작품이라고 생각하면 뛰어난 sf 하지만 20년 이상 흐른 지금에서 보면 이해 안가는 부분이 많다... 그래도 왜 대작인지는 이해가 되는 작품임,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,인류가 만날 수 있는 미래 중 한 갈래를 최고 수준으로 그려버린 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,대박대박대밧대밧대박,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,1999년 인류가 시물레이션 우주론 을 받아들이기엔 너무 일렀다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,세련되고 철학적인 이시대 최고의 영화범작을 뛰어 넘는 걸작이라고 생각합니다안보신분들은 1편부터 정주행 해보세요액션씬 스토리 철학적인 요소 등 볼거리 해석거리들이 넘쳐납니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,시간이 흐르고 본 뒤에도 완벽한 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,지금의 현실 같아 코로나 이후로 영화속에 사는 느낌,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,와 그땐 몰랐는데 지금 보니 이때 트리니티 미모 정말 미쳤네 왜이리 이쁘지 ㅠㅠ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,This,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,세기말에 시작된 SF 영화의 위대한 혁명,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,대학 졸업후 대학원 갔는데 초등 1학년 문제풀이를 하는 기분이랄까.. 시대가 너무 변했다 당시는 충격이었을지언정 현 시대에서 보기엔 너무 아날로그 ..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,명작이다. 최고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,운명은 스스로 돕는 자를 돕는다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,역시 명작은 명작. 대표 비지엠 나올때 전율이 흐름.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,고등학교때 봐서 이해를 못했는데 20년지나서보니깐 기독교 불교 장자사상 메타버스 무의식의 세계를 아우르는 내용과 세련된 액션연출 ..시대를 앞서가는 명작이었음...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,1999년 고1때 토요일 오전 수업 마치고 집에혼자 집에 있기 따분해서 비디오가게 들렀다가 신작에 여러개가 뒤집어 져있었고 딱하나 남은 비디오 아무생각 없이 대여 하고 집에와서 봤는데 눈을 땔수가 없게 몰입이 되서 ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,리저렉션에 실망해서 여기까지 왔다...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,좋았어요~ 추천합니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,2021년에도 도무지 늙지 않는 1999년,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,이게 찐이지 4편은 나오지 말았어야해,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,위대한 공상과학 세계관의 탄생,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,최고의 SF중 하나,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,이런 영화가 한달에 한편씩만 개봉되어도 삶의 질이 훨 나아질텐데,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,숟가락은 없다. 어쩌면 매트릭스의 세계에 살고있을지 모를 우리들을 깨울 이 대사의 의미는 인간에게는 더없이 큰 의미,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,그때나 지금이나 별이 다섯개!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,21세기의 오프닝을 장식한 최고의 명작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,가상 현실 매트릭스를 빠져 나오면서 AI에게 가장 위험한 인물이 된 모피어스는 낮에는 평범한 회사원으로 밤에는 해커로 활동하는 청년 네오를 그로 지목한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,이 영화는 이해  못해도 액션 영상미 연출 ost 만으로도 10점 줘도 되는 가치있는 sf영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,세월이 흘러도 여전한 걸작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,20세기 말의 고전.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,오랜만에 다시봐도 명작은 명작이었다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,리저렉션 개봉 기념으로 복습겸 다시 봤는데도 99년에 제작한 영화라고 믿기지 않는 충격적인 대작!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,어느 모로 보아도 훌륭하다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,정말 극장에서 오랜만에 보니 좋네요 인생영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,시간이 흐르고 보니... 내 인생의 가요는 서태지 전후로 나뉘고...영화는 매트릭스 전후로 나뉜다.지금봐도.. 나물랄데 없다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,1984와 동물농장. 시대를 관통하는 철학이 날카롭다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,20여년전의 영화라니,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,언제봐도 명작이다!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,5년 주기로 계속 재개봉 했으면 좋겠습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,다시봐도 정말 명작이네요 :) 극장에서 볼 수 있어서 좋았습니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,역시 최고다 설정도 천재같고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,구관이 명관이다 재개봉에 감사하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,재미와 메시지 두 마리 토끼를 모두 잡은 뛰어난 사이버펑크 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,다시봐도 진짜 세련되고 감각적이고 흥미진진하다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,매우 훌륭한 것입니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,20세기말 밀레니엄,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,시대를 뛰어넘는 명작! 다시봐도 놀랍다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,극장에서 보고 밤잠을 설쳤습니다... 몇 년 아니,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,여러번 봤는데 오랜만에 다시보니 약간 촌스럽고 감동이 덜한 느낌은 들지만 정점을 찍은 영화인 건 여전하다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,이게 정녕 99년에 나온 영화란 말인가...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,다시봐도 놀라운 영화 인 것 같다. 1편이 제일 재미있는듯,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,20년이 지나도 그 클래스는 변함이 없는 것 같습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,이 희대의 명작을 지금이라도 영화관에서 볼 수 있어서 감사하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,20년도 더 지난 영화라는게 안믿어지는 영화... 괜히 전설이 아님. there is no spoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,전설의 영화 말이 필요 없습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,"SF 장르의 ""신세계 질서""를 구축한 걸작.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,이게 22년전 영화란 말인가.. 몇 번을 봐도 소름,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,4편보기전에다시봄 좋아요,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,이걸 왜 이제야 봤을까..놀라움의 연속. 다만 처음 접하면 세계관이 좀 복잡하게 느껴질 수 있을 듯,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,SF 영화의 전설을 다시금 극장에서!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,역시 명작은 언제봐도 명작!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,20년이 더 지났지만 재미있네요,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,다시봐도좋네요 이 시대에 이렇게 완성도높은영화를만들었다니,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,진짜 끝내주는 명작. 개봉한지 22년이 지나도 잼있다!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,이 영화 양자역학의 불확정석 원리에 나오는 공식이 내포하는 심오한 의미에 SF상상력을 더해 만든 미친영화랍니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,클라스는 영원하다. 앞으로도 영원히 회자될 sf영화. 재개봉 기념으로 영화를 보며 너무 재밌고 즐거웠지만 한가지 소름 돋았던점은 2021년 12월 현시점에서 봤을때 영화속 세계관이 점차 현실화 되어가고있고 윤곽이 그...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,단 한순간도 '그'를 의심하지 말 것,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,훌륭한 시리즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,터미네이터와 매트릭스는 전설이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,세월이 흘러도 명작은 명작이네요. CG나 그래픽도 좋지만 스토리도 좋아서 재밌게 잘 봤습니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,매트릭스4 개봉전 복습용으로 다시 봤지만 역시나 최고의 20세기영화다.. 캐리앤모스누님 사랑해욜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,보면볼수록 더 재밌는거 같아요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,다시봐도 완벽한 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,4편 개봉 기념 재개봉해주셔서 다시 봤습니다.대중예술로서 후대의 영화에 큰 영향을 준 작품입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,한 시대의 문을 열었던 기념비적인 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,말이 필요없는 마스터피스. 2021년에도 촌스럽지 않다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,4편개봉을 위한 복습 과정으로 극장에서 볼수있다는거에 감사할뿐 ㅠ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,전설의 레전드 다시 돌아와서 너무 기뻐요,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,1999년영화를 2021년에 처음 봤는데도 놀랍습니다. 매트릭스가 워낙 유명해서 중요장면이나 패러디를 알고 있는데도 불구하고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,20년이 지났지만다시보아도 명작이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,영화에 대해 잘 모르는 사람이 단순 재미도만으로 주는 평점입니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,지금봐도 너무 재미있고 명작이네요. 재개봉 덕에 영화관에서 볼 수 있어서 좋았습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,명작증강 현실,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,1999년도에 이런 영화가 나온게 놀랍고 놀랍다 물론 쉬운 영화는 아니지만 배경 지식을 알고보면 전설적인 영화 액션,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,구웃.. 아닞 ㅗ좋다는데 뭘 또 10자 이상 쓰래,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,세계관을 흔들영화..근데 이게 과학적으로 사실일수도있다고하던데..애니매트릭스 필수시청,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,99년도 영화라니 .. 허....,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,훗날 워쇼스키 자매가 공로상을 받을 경우 이유는 이것.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,몇OO이 지났어도 이만한 영화가없다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,감히 평가를 할 수가 없는 영화22년전 영화라고는 상상도 할 수 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,정말 최고!!! 주기적으로 한번씩 보는 영화!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,영화 자체가 하나의 몽 중 몽 중 몽.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,개꿀잼인데 마지막 발암... 2초 늦게나왔으면 다OOO ㄹㅇ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,역시 언제봐도 재밌네요!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,상상조차 하지마라! 당신의 눈은 현실세계가 아닌 오직 디지털프로그램에 갇혀살고있다! 20세기 마지막 디지털아날로그 하이테그 sf액션의 진화 매트릭스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,명작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,뭔 말이 필요하나? 그냥 나도 한번,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,미쳤다... 걍9.41이라는 평점이 오히려 이상할정도다10은 되야지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,처음엔 지루할 수 있는데 그건 시대상 감안해야할 부분. 뒤로 갈수록 미쳐간다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,매우 재미있음.그리고 배우들 연기 신급,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,지금은 ai개념이 익숙하고 인셉션같은 영화도 있었으니 그렇게 어렵진 않은데 처음엔 되게 센세이션하면서 어려웠을듯.. 영웅물 클리셰나 키스 후 부활 빼곤 좋았다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,우리 모두는 무엇을 위하여 사는가. 우리 모두 이미 프로그램에 사로잡혀있지 않을까. 우린 아마도 프로그램을 발전시키는 종일수도 있겠다. 많은 생각을 하게 만든 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,정말 처음 봤을때 충격이었음... 워쇼스키 형제 아니 자매가 이런 엄청난 sf영화를 만들다니..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,천재적이다. 액션과 감독의 상상력에 감탄했다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,매트릭스는 봐도봐도 또봐도 엄청 재밌음,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,우리가 살고있는 세상은 현실이 아니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,....-....-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,그냥 최고의 영화. 시뮬레이션 우주부터 인문학,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,여러번 보아도 재밌는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,완벽에 가장 가까운 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,네오가 처음 모피어스를 이기지 못한 이유는 쿵푸를 썼기때문이라는걸 ufc가 활성한 지금 알게됬다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,이런류의 영화에 익숙하지 않아서 내용을 재대로 이해할 수 없었다.가상세계와 전혀 다른 현실의 충격적인 영상들은 확실히 기억에 남는다.영화를 본후,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,얕음과 깊음. 두 가지를 모두 잡은 영화는 흔치 않다. 그런 영화 중에서도 수작에 손 꼽을 수 있다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,2017년에도 봐도 수작. 데카르트의 통속의 뇌,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,빨간알약을 쉽게 받아들이게 만드는 캠페인,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,최근 시뮬레이션 우주론이 대두되면서 다시 생각나는 영화. 과연 우리가 사는 이 세계가 현실인가? 가상현실인가?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,SF장르의 터닝포인트,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,정말 재미있게 봤던 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,워쇼스키 영화 중 최고.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,비보이계의 피직스같은 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,SF중에서도 최고 몇 중 하나가 될 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,매트릭스 시리즈 중에 단연최고지~~~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,처음 이영화를 봤을때,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,모든게 완벽하다 이런 영화가 또 나올수 있을까,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,99년 개봉했을 때 극장에서 다섯 번 정도는 본 것 같다 .그땐 새벽에 여러 영화를 상영하는 극장이 많아서  어쩔 수 없이 본 것도 있지만 볼 때마다 재미 있었음! ^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,보아라 세상이 달라보일것이다 느껴라 개안된 눈을 가질것이다 생각하라 달라진 너를 보게 될것이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,보면 볼수록 재미와 이해가 가는 최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,형제가 만든 이 영화는 이제 자매가 만든 영화가 되었다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,처음 중학생때 볼때는 스토리 따라가기에 급급했다. 15년 지나서 보니 각종 대사들이 너무나 철학적인것에 감탄했다. what is real 부터 시작해서 인간들에 대한 요원의 생각...그냥 이영화는 완벽할 정도로 잘 ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,재개봉해서 다시 보았다. 눈만 즐거운 영화긴 아닌 뇌도 즐거운 철학액션sf영화다. 대사 하나하나 천천히 음미하면 그 향기가 진하게 느껴진다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,충격을 준 엄청난 영화! 나이가 들어서 영화를 다시 보니 엄청나다는 것을 더욱 느낀다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,근래 들어 영화관에서 본 영화 중 가장 집중도있었음,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,내 인생은 갈렸다...매트릭스를 보기 전과 본 이후로...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,SF 영화의 한 페이지를 장식한 걸작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,저너로이드라덕노더가,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,누가 감히 매트릭스를 평가하려 드는가~!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,20세기말 최고의 영화! 99년 5월 토요일밤  친구와 택시타고 영화관 가서 보자마자 10분만에 잤다 눈뜨니까 영화 끝났네! 뭔내용인지도 모르고. 훗날 tv 케이블에서 수십번은 봤다. 영화보다 잔 가장 아쉬운 영화^...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,This movie is best of my life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,반전 최고의 SF 중 하나,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,다시봐도 재밌다 99년 개봉영화 ㄷㄷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,워쇼스키 남매가 이때로 돌아왔으면 좋겠다 아무리봐도 이건 절대 단순 운빨로 만들어질 수 있는 영화가 아니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,재심봐도  개묭작이네 꿋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,형제일때 피크를 찍고 남매일때 점점 내려오더니  자매에서 땅을 치는구나 여자로 행복하세요 감독님들,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,보고나서 여운이 깊게 남는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,시뮬라시옹 이론을 좀 더 깊게 전개했으면 어땠을까 싶다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,다들 터미네이터랑 매트릭스랑 비교하곤 하는데 터미네이터는 1984년,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,최고의 SF영화 매트릭스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,최고 정말 말이 필요없는영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,이제 알파고의 개발을 시작으로 머지않아 진짜 이런날이 올지도 모른다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,다시봐도 살아있네 살아있어,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,인간의 머리에서 어떻게 이런 상상을 했는지....,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,어릴적 sf액션영화를 좋아하게 해준 계기,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,액션이든 뭐든.. 영화게에 한획을 그은영화라고생각합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,말이 필요없는 영화. 생각의 틀을 깨준다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,내가 살고 있는 지금도 가상속 현실 일지도..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,나는 이 영화를 믿는다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,철학의 혁명. 영화 그이상의 관념,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,그저 놀랍다는 말 밖에..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,우리 행복이 호성이 현승이,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,그냥 쩐다.. 최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,진짜 역사상 가장 진보된 영화!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,최고의 영화입니다 ^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,진짜 좋아하는배우의 영화 대박!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,"퍼팩트~~~~""~÷^&%",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,영화도 댓글도 무슨 뜻인지 모른다면,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,세기의 명작. 사고와발상의 전환을 다룬 혁명적 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,얼레...내가 이거 평점 안남겼었나...? 내 인생 수백편의 영화중에 현재까지 10점만점을 찍은 단3편중에 하나...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,깨달음의  과정을  화려한 액션과 비쥬얼로 승화 시킨영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,3부작까지 다 보고 나서....세상에 어떻게 사람이 이렇게 완벽히 영화를 만들수 있을까!  놀라운 상상력과 완벽한 시나리오,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,명작 시리즈 그 안에서도 명작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,Keanu Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,이 이상의영화는 없다....,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,10점 줄수밖에 ㅔ없는 명작이네요!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,허니잼개꿀잼 뭐하나빠지는거 없음 나중에 또볼꺼임 존나개꿀잼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,10 10 10 10  10 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,내가본 영화중 최상위권 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,인생최고의영화 아직까지는,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,단연 최고라고 할수있지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,인간으로 태어나길 정말 다행이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,90년대 영화라 믿기질 않을 정도로 모든면에서 세련된 영화~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,내가 이영화를 본후 영화를 보기 시작했지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,신선한 멘붕과 스릴이 좋았음,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,향후 영화의 역사를 바꿔놓은 센세이셔널했던 걸작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,이걸바로 명작이라 하는거다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,"지금 봐도 어색하지 않은 멋진 액션과 훌륭한 스토리인데 16년전 당시에 영화를 처음 접했을때 어땠을까? 당시에 이 영화 홍보문구가 ""영상혁명""이었는데 친구랑 극장서 영화를 보고 난뒤 ""이건 정말...",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,키아누리브스의 액션이 재밌고 대단하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,십점말곤 뭐라 말 할수가 없징,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,계속 봐도 질리지 않는 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,영화에 압도 당했다...!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,내 인생 최고의 영화. 앞으로도 평생 최고의 영화가 아닐까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,워쇼스키 남매가 이 영화에서 아직까지 빠져나오지 못하는 것도 이해가 간다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,인류가 영원히 기억할 대작 중 대작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,종합 평점은 10점 드립니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,줄거리에 스포일러가 있는데..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,스토리 탄탄한  SF 서사시,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,긴장되고 재미는 있으나 아직까지 내용이 잘 이해되지 않는다. ㅜㅜ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,이제봐서 그런지 좀 옛날느낌이긴한데 그것빼곤 다 좋았음,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,내평생 최고의 sf영화입니다이명작을 비디오로 처음 봤다는것은 참 아쉬움이 많이 남네요,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,이 영화는 가상의 세계를 그린게 아니라. 인간 사회가 이루고 있는 틀이 거짓에서 시작되었다는걸 암시하는걸 온갖 SF 로 치장한것이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,인간의 두뇌 속의 기억을 조작하여 인간을 지배하려는 컴퓨터와 이에 대항하는 인간들 간의 대결을 그린 명작 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,정석의 스토리 그리고 정석의 캐릭터. 뭔가 유치해보일 수 도 있지만 완벽하고 탄탄한 줄거리나는거는 변치 않는다. 그리고 그 속에 개성있는 대사들,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,이쯤되면 싸이코라고 해도 인정해야할 방대함. 이런 감독이 삶을 살면서 꽤 많았던게 더 신기함.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
