,content,,,,,,,,,,,,,,,,
3396,쪼으는 맛은좋고 벌레는 지긋지긋하고,,,,,,,,,,,,,,,,
3397,테란은 저그가 잡고 저그는 프로가 키우고 프로는 데이빗이 잡고 데이빗 아몬설.,,,,,,,,,,,,,,,,
3398,에일리언 식당 시작합니다,,,,,,,,,,,,,,,,
3399,79년도 [에이리언]과 12년도 [프로메테우스]의 OST가 주는 향수에 푹 빠져버린.,,,,,,,,,,,,,,,,
3400,아 존잼. 그리고 그 새끼 쎄하다 싶었음,,,,,,,,,,,,,,,,
3401,역시 1편이 짱이다...이제 에일리언은 좀 한계가 있는듯. 그래도 나름 볼만했다.,,,,,,,,,,,,,,,,
3402,재미있게 잘봤습니다에어리언시리즈는 항상 재미있네요,,,,,,,,,,,,,,,,
3403,월터 눈돌아갈때 제일 무섭,,,,,,,,,,,,,,,,
3404,재미있네요 몰입했어요,,,,,,,,,,,,,,,,
3405,프로메테우스랑 전개가 너무 비슷함신선하지도 않고 비슷한 메세지를 보내는 느낌연출이나 그래픽은 좋았는데 난 프로메테우스가 더 좋았음 이영화에서 제일 좋았던건 패스밴더의 진짜 2명같은 1인 2역 연기,,,,,,,,,,,,,,,,
3406,나오는애들 다 너무 비쥬얼도좋고 영화도재밋당 ㅠㅠㅠ,,,,,,,,,,,,,,,,
3407,ㅇㅇㅇㅇ재미마마미미밈,,,,,,,,,,,,,,,,
3408,기대가 큰 만큼 실망도 컸던..주인공은 멋있었으나..,,,,,,,,,,,,,,,,
3409,걸작이다~~~대단하다~~~,,,,,,,,,,,,,,,,
3410,전작이 워낙 훌룡해서 기대가 너무커서 불안햇는데역시 꿀잼,,,,,,,,,,,,,,,,
3411,그냥 그래 그냥 그저 그래,,,,,,,,,,,,,,,,
3412,시고니위버: 아놔 이 OO..ㄹ 로봇새끼..,,,,,,,,,,,,,,,,
3413,후속 빨리 보고싶네요 기대대는 작품,,,,,,,,,,,,,,,,
3414,철학은 재미의 요소일뿐이지만 오락물만으로도 가치있는,,,,,,,,,,,,,,,,
3415,너무너무너무재미잇읍니다,,,,,,,,,,,,,,,,
3416,충분히 무섭고 충분이 스릴넘치며 충분히 재미있다!!,,,,,,,,,,,,,,,,
3417,더 이상 무섭지도,,,,,,,,,,,,,,,,
3418,확장판이 기대되네요.,,,,,,,,,,,,,,,,
3419,스토리쓰기 힘들지??  더 연구해라,,,,,,,,,,,,,,,,
3420,무섭기보단 징그러움.,,,,,,,,,,,,,,,,
3421,반전결말은 충분히 예상가능,,,,,,,,,,,,,,,,
3422,기대많이하고 봣는데 그냥 그닥이엇음 ㄷ,,,,,,,,,,,,,,,,
3423,38년만에 밝혀지는 에일리언의 기원,,,,,,,,,,,,,,,,
3424,프로메테우스 생각하고 기대했는데 비슷한 전개가 아쉬웠다,,,,,,,,,,,,,,,,
3425,너무 징그럽고 잔인합니다~  주변 남자분들은 너무나 재밌다고 하더군요~  개인의 취향차이겠지만 전 다음 시리즈는 보고싶지않네요,,,,,,,,,,,,,,,,
3426,흥미롭고 짜릿했지만 신비로움은 전작만 못하다,,,,,,,,,,,,,,,,
3427,스콧감독 특유의 빠른전개를 볼수 있으나  전작인 프로메테우스의 기대치는 부족하고 감상후 뭔가 아쉬움이 남음,,,,,,,,,,,,,,,,
3428,보기 전 기대점수 100점 본 후 60점 의리로 볼 영화 시리즈 추가요,,,,,,,,,,,,,,,,
3429,특별하게 전편들과 다른부분은 발견할 수 없었습니다.,,,,,,,,,,,,,,,,
3430,멍청한 인물,,,,,,,,,,,,,,,,
3431,재밌음 그러나 마지막 통수는 상상도 못했다,,,,,,,,,,,,,,,,
3432,머 이런영화는 머저리들이 많아야 이야기가 풀린다지만머머저리들만 모아서 저런 임무 맡긴듯,,,,,,,,,,,,,,,,
3433,에이리언 최신작이 아닌것 같음,,,,,,,,,,,,,,,,
3434,예전 에어리언내용과전혀다르고..B급영화. 눈귀 가리고 봤지만 그래도 잔인함.동성애,,,,,,,,,,,,,,,,
3435,AI가 무서운건 둘째치고 에이리언이 이렇게 까지 셋었나?,,,,,,,,,,,,,,,,
3436,기대보다 재밌었어요 마지막 반전도 놀람,,,,,,,,,,,,,,,,
3437,에일리언 완전 귀요미♥♥♥♥,,,,,,,,,,,,,,,,
3438,에일리언 완전 귀요미♥♥♥♥,,,,,,,,,,,,,,,,
3439,흠..걍 매번 아무 조심성 없이 행성 들어가서 감염되서 다 터지는 전개는 똑같네..,,,,,,,,,,,,,,,,
3440,역시 에어리언!!! 여주인공은 좀 약한걸,,,,,,,,,,,,,,,,
3441,ㅈ도없는 데이빗의 입맞춤. 아빠가 되고싶었니,,,,,,,,,,,,,,,,
3442,정말 높게 줘서 7 점이다. 기대가 큰것도 있었지만 억지로 설정을 이끌어가는것이 제일 마음에 안들었다. 그냥 스토리를 짜내는 느낌이라고 하는것이 맞는듯하다. 역시 에이리언은 좀비처럼 개때로 나와야  제맛인듯하다.,,,,,,,,,,,,,,,,
3443,굳이 안봐도 될 답지를 본것 같은 느낌이랄까.. 전편의 여운이나 생각에 잠겼던 것들이 허무하게 사라진것 같다.,,,,,,,,,,,,,,,,
3444,이정도수준의 영화를 보게해준다는데  뭔 개소리여들.니가 만든다고 생각혀봐 ...  입만 살아가지고들.. ㅉ,,,,,,,,,,,,,,,,
3445,솔직히 이 영화 결말은 너무나 뻔했다. 데이빗이 누워서 칼 쥘때부터 아 영화 어떻게 끝날지가 눈에 보이네 했는데 진짜 하나도 안틀리고 예상대로... 설마 이걸 가지고 반전이라 말하진 않겠지...영화 속 나름의 전문가...,,,,,,,,,,,,,,,,
3446,촬영 기법은 좋아졌는데  전편 어디서에 본듯한 장면들 연속 이제는 식상 하네요,,,,,,,,,,,,,,,,
3447,다음편도 기대하겠습니다,,,,,,,,,,,,,,,,
3448,이영화의 종지부를 찍을 3탄이 기대된다.,,,,,,,,,,,,,,,,
3449,엄청난 실망입니다. 사이코페스로 변질된 인공지능 데이빗,,,,,,,,,,,,,,,,
3450,뭔가 중간에 비어 있는 느낌... 평점이 생각보다 높네. 특히 기자나 평론가들도 7점대를 준거 보니 내가 영화 보는 눈이 낮은 모양이군.,,,,,,,,,,,,,,,,
3451,무서워서 동료를 의무실에 가둬놓더니...갑자기 총들고 다시 들어가는건 무슨 경우인가?...그리곤 밖으로 나가서 쏘면 될것을 우주선을 부셔버리다니...거장 감독님 이제 그만 찍으셔야 할듯...,,,,,,,,,,,,,,,,
3452,착각의 늪에 빠진 스콧.. 에어리언 4편까지 볼거 다봤고 약발 다한 에어리언을.. 프로메테우스로 심폐소생해돴드만 다시 멍청한 에이리언 시리즈로 만들어 놨네 프로메테우스의 기원에 대한 떡밥회수도 에어리언에 대한 새로움...,,,,,,,,,,,,,,,,
3453,정말 해도 해도 너무하다. 어떻게 이렇게까지 못만들 수가 있을까,,,,,,,,,,,,,,,,
3454,프로메테우스  감독이 연출한게 맞나 싶을정도로 개망작 샤워씬은 아무리생각해도 왜 연출했는지 이해할수가 없음,,,,,,,,,,,,,,,,
3455,에이리언시리즈는 2에서 끝났다.,,,,,,,,,,,,,,,,
3456,이것은 신과 인간의 대한 이야기.,,,,,,,,,,,,,,,,
3457,인조인간이 인간과 구분하기도 어려운 고도의 매래에 왠 LCD 모니터? ㅋㅋ,,,,,,,,,,,,,,,,
3458,꿀잼 프로메테우스도 보고 보시면 더 재밌음 ㅋ,,,,,,,,,,,,,,,,
3459,우리나라는 여전히 조폭믈 마약물 검찰 경찰 아직도 같잖을걸 못 벗어났는데 헐리웃은 인간의 근원론을 찾아 이런 심오하면서 쩌는 영화를 만듬.. 반성 많이 해야 함.,,,,,,,,,,,,,,,,
3460,정말더럽고찝찝한영화인데 후속작이기대된다. 데이빗 나쁜새기...,,,,,,,,,,,,,,,,
3461,역시 리들리 스콧,,,,,,,,,,,,,,,,
3462,프로메테우스에서의 떡밥 수습하느라 바빴던 영화. 철학적인 시나리오로 큰 토대 하나 만들고,,,,,,,,,,,,,,,,
3463,말이 필요없음....,,,,,,,,,,,,,,,,
3464,제대로된 sf 제대로된 영화,,,,,,,,,,,,,,,,
3465,마지막 먹잇감인 사람들 보여주는거 끔찍하다..,,,,,,,,,,,,,,,,
3466,15세면 한창 야동보고 잔인한거 볼 중2병 나이인데 뭔 등급가지고 난리치나 그냥 영화자체가 멋진 공상과학영화인데,,,,,,,,,,,,,,,,
3467,에이리언 전작중 가장 못만든영화. 프로메테우스에서의 내용을 감당하기힘들자 그냥 다죽여버림. 예고편의 위압감을 영화가 따라가지못함.,,,,,,,,,,,,,,,,
3468,역시 재밋습니다 강추 꼭보세요,,,,,,,,,,,,,,,,
3469,에이리언의 시리즈를 처음 접했는데 정말 외계생명체가 존재할 수 있을거라는 상상을 하게해준다 다른 시리즈도 만나보고싶다,,,,,,,,,,,,,,,,
3470,올해  최고의 명작이다..리들리 스콧 거장 of 거장 감독님은 여윽시 기대를 저버리지 않으셨음,,,,,,,,,,,,,,,,
3471,영화 엑스트라들은 왜들그리 판단력이 극혐일까..,,,,,,,,,,,,,,,,
3472,거짓말 안치고 지루하고 재미없었다는애들.. 관객인지 의심되네..   아님 돈없어서 토렌트 기다리는애들인가..,,,,,,,,,,,,,,,,
3473,최종작을 위한 중계작이자,,,,,,,,,,,,,,,,
3474,역시나가 역시나야.. ai 극혐,,,,,,,,,,,,,,,,
3475,개인적으론 그렇게 무섭지 않았더란 ㅎ 괴수영화를 다시 A급으로 올려주신 리들리 감독님께 감사드립니다,,,,,,,,,,,,,,,,
3476,영화 시간 반이 지나도록 계속 한 샹각은 이거였다.'그래서 에이리언 안제 나와?',,,,,,,,,,,,,,,,
3477,하아 월터 .. 간지났는데,,,,,,,,,,,,,,,,
3478,지루했음. 프로메테우스 보다 훨씬 재미없었음.,,,,,,,,,,,,,,,,
3479,설정의 어색함을 매면 나름 볼만한 작품. 적어도 프로메테우스 보다는  떡밥회수가 좋음. 엔지니어가 인간을 왜 만들었는지는 여전히 오리무중이지만.,,,,,,,,,,,,,,,,
3480,패스밴더의 그 무표정과 미소. 후덜덜.,,,,,,,,,,,,,,,,
3481,존나 심오하다 내 뇌에 혼란오네 데이빗인가 윌터인가,,,,,,,,,,,,,,,,
3482,인조인간 데이빗을 화나게 하지마 등에 칼 꼽힌다. 외계인과 말을 해보겠다고 공부해서 찾아간 데이빗의 머리를 뽑았던 엔지니어,,,,,,,,,,,,,,,,
3483,지루함...생각보다별루엿음,,,,,,,,,,,,,,,,
3484,영화는 재밌었다 근데 영화볼때 목동cgv  여자랑 온 남자새끼 왜 뒤에서 다들리게 존나 아는척 하면서 스포하냐 영화 상영중에 하... 답없는 놈,,,,,,,,,,,,,,,,
3485,중학생때 보았던 에일리언1 그때 부터 좋아 했던 감독에 영화,,,,,,,,,,,,,,,,
3486,프로메테우스보다 재밌었다,,,,,,,,,,,,,,,,
3487,데이빗을 보면 베르세르크의 그리피스가 떠오른다.. 진짜 이렇게 증오심을 불러일으키는 악역들이 또 있을까??,,,,,,,,,,,,,,,,
3488,볼만햇음.매우잔인함,,,,,,,,,,,,,,,,
3489,후속작이 기대되는작품이용,,,,,,,,,,,,,,,,
3490,에일리언 팬이라면 꼭 봐야함,,,,,,,,,,,,,,,,
3491,예측가능한 뻔한 결말이기는 했지만 많은생각을 하게 만드는 영화였다. 영화가 영화로 끝나는 것이 아니라  현실에 빗대어 생각해보게 되는 점에서 매우 좋았다.,,,,,,,,,,,,,,,,
3492,두근두근하면서 봤습니다. 재밌어요~,,,,,,,,,,,,,,,,
3493,흰색 에어리언은 이쁘다.,,,,,,,,,,,,,,,,
3494,전작을 안봤지만 그럭저럭 볼만했음,,,,,,,,,,,,,,,,
3495,재밌게 잘봤습니다. 결제가매우 빠르고 쉬웠어요,,,,,,,,,,,,,,,,
3496,프로메테우스 후속작으로 해당 영화를 재미있게봐서 기대하고 관람. 개인적인 기대에 부흥하는 스토리 진행 및 연출. 큰 기대를 안한다면 즐겁게 볼 수 있는 영화인듯.,,,,,,,,,,,,,,,,
3497,최고였어요 긴장감 에이리언,,,,,,,,,,,,,,,,
3498,재밌습니다요 피조물이 피조물을...,,,,,,,,,,,,,,,,
3499,에어리언의 탄생의 기원을 알수가있어좋네요,,,,,,,,,,,,,,,,
3500,마이클 패스밴더 넘넘 매력있엉^^,,,,,,,,,,,,,,,,
3501,크 지립니다 반전도있고 재밌어용 시리즈안봐도 재미잇게 볼수잇습니다 꼭봐야해윸ㅋㅋㅋ,,,,,,,,,,,,,,,,
3502,그 좋은 프로메테우스의 시나리오를 가지고 에일리언으로 내용을 풀어나간게 너무 아쉽다... 그보다 더 실망스러운건 에일리언 내용도 지루했음,,,,,,,,,,,,,,,,
3503,에이리언이 어떻게 생겨나게 되었는지를 ㅋㅋㅋ개연성도 없고 ㅋㅋㅋ그냥 망작,,,,,,,,,,,,,,,,
3504,재밌습니다. 꿀잼이에요,,,,,,,,,,,,,,,,
3505,개봉첫날 봤는데 너무 기대를 해서 그런지 별로였네요. 이거보고 에일리언1,,,,,,,,,,,,,,,,
3506,프로메테우스 후속으로 좋았는데 감독나이가 많아 걱정. 흥행하면 6편으로 나눠진다는데..더 빠른전개에 좀 더 이야기를 더풀었으면 어땠을까.하여간 스콧할배가 건강하게 잘 버텨주면 좋겠다.,,,,,,,,,,,,,,,,
3507,시리즈를 본 사람에겐 볼만한 수준,,,,,,,,,,,,,,,,
3508,재밌다~  다음편이 기대된다,,,,,,,,,,,,,,,,
3509,생각보다는 실망이었다.,,,,,,,,,,,,,,,,
3510,보다 그냥 집갔다 재미없어서,,,,,,,,,,,,,,,,
3511,패스밴더 진짜 연기 신이네,,,,,,,,,,,,,,,,
3512,충분히 흥미있는 내용이고 몰입감도 훌륭했다고 생각합니다. 다만 프로메테우스 때 지적받았던 영화적 허구를  조금만이라도 개선했으면 더 좋았으리라 생각됩니다. 후속작이 기대되네요.,,,,,,,,,,,,,,,,
3513,세번째 작품을 위한 길이다 .. 궁금한게 너무 많다 ... 너무 너무,,,,,,,,,,,,,,,,
3514,우주 탐험대가 너무 허술하고 허접함,,,,,,,,,,,,,,,,
3515,도대체 뭐가 뭔지. . .,,,,,,,,,,,,,,,,
3516,뭐지?  하구  뒷통수 맞은 영화! 재밌어요   리틀리 스콧감독님  잘오셨습니다!,,,,,,,,,,,,,,,,
3517,예전 에일리언이 더 그립네요~,,,,,,,,,,,,,,,,
3518,솔직히 반전이 너무 예상가능했지만 이 반전이 없으면 에일리언 1이 존재 할 수 없으니 어쩔 수 없는 듯 프로메테우스를 재밌게 봐서 이것도 재밌게 봤음~ 나중에 나올 프로메테우스 커버넌트 사이작도 기대,,,,,,,,,,,,,,,,
3519,3편을 기대하게한다반전이 잇는데 다 보인다 이점이 아쉽다3편 마지막에 리플리가 나올까?,,,,,,,,,,,,,,,,
3520,영상미는 역시 뛰언난데 내용은 좀 이해가 안가더라,,,,,,,,,,,,,,,,
3521,1.프로메테우스 3.에일리언 커버넌트 2아직미개봉. 이런 132번 순서로 개봉함. 커버넌트는 사실 프로메테우스보다는 흥미가 떨어지는데. 리들리스콧감독다운 깊이도 전작에비해 부족하고,,,,,,,,,,,,,,,,
3522,15세는 확실히 아닌거 같아요 진짜 이건 너무 하다 싶을정도는 아닌데 15세 이상은..ㅜㅜ,,,,,,,,,,,,,,,,
3523,볼만해. 돈 아깝다는 생각은 확실이 안들어.,,,,,,,,,,,,,,,,
3524,아무 기대안하고 봤는데 생각보다 괜찮았음,,,,,,,,,,,,,,,,
3525,"이 영화가 주는 교훈.""남자는 자고로 여자말을 잘들어야 함""엘리자베스 쇼 박사는 선장이 페이스허거에 당할때 쯤 월터가 들어간 어떤 방에서 나옵니다.. 고어틱....",,,,,,,,,,,,,,,,
3526,메니아를 위한 영화,,,,,,,,,,,,,,,,
3527,프로메테우스 먼저 보고 봤는데 소름.. 그나저나 잔인해서 15세라는 것에 깜짝 놀랐어여,,,,,,,,,,,,,,,,
3528,전작 프로메테우스보다 오히려 별로였다..연출은 역시 리들리스콧이었으나 스토리는 그에 못미침..,,,,,,,,,,,,,,,,
3529,생각할수록 엔지니어가 너무 쉽게 당한듯,,,,,,,,,,,,,,,,
3530,이 영화를 보면서 팝콘먹으면 제대로 남어가냐?,,,,,,,,,,,,,,,,
3531,그럭저럭 볼만함 너무 큰기대는 금물,,,,,,,,,,,,,,,,
3532,박평식이는 영화는 보고 평점 먹이는거니? 진짜 공기가 아깝다,,,,,,,,,,,,,,,,
3533,너무너무 재미있어요!,,,,,,,,,,,,,,,,
3534,인공지능이 아주 난리네요ㅋㅋㅋ,,,,,,,,,,,,,,,,
3535,아직까지 프롤로그 일뿐 자세히 보면 여러가지 의미를 담고 있다.좁은시야로 보는 평론가들이나 인조인간 몬스터에 운운하는 관람자들 뻔함,,,,,,,,,,,,,,,,
3536,아...이느낌이...멘탈이 깨진거구나..그렇구나..어렸을때부터 봐왔던 에일리언시리즈..에일리언의 탄생이 궁금했는데 이런 스토리로...,,,,,,,,,,,,,,,,
3537,프로메테우스보단 재미없네....그냥 그렇던데,,,,,,,,,,,,,,,,
3538,이정도의 영화면 감사히 좀 봅시다.,,,,,,,,,,,,,,,,
3539,영화보는데 토나올뻔.. 일단 그걸떠나서 내용이 너무 빈약해요.. 내용 중간을 실수로 편집자가 잘라먹었나 싶을 정도로요;,,,,,,,,,,,,,,,,
3540,기승전 데이빗 ㄷㄷ..,,,,,,,,,,,,,,,,
3541,진짜 잘만든 영화.. 9점 이상은 되야 되는거 아니냐,,,,,,,,,,,,,,,,
3542,마이클 패스벤더의 연기력과 리들리 스콧의 세련되고 철학적인 연출력까지 인상깊게 잘보고왔습니다,,,,,,,,,,,,,,,,
3543,에이리언 팬이라면 꼭 봐야 할 영화,,,,,,,,,,,,,,,,
3544,아주 재미있게 보았습니다..스콧옹이 꼭 장수하셔서 에일리언 시리즈 나머지 두편도 완성도 있게 만들어 주시길 바랍니다.. 스콧 님 재미있는 영화 만들어 주셔서 감사합니다.,,,,,,,,,,,,,,,,
3545,패스벤더의 분위기와 연기는 말할것도 없고 스콧의 세계관과 철학이 돋보였다,,,,,,,,,,,,,,,,
3546,어웨이크닝 까지 봐야 알 듯함,,,,,,,,,,,,,,,,
3547,요근래 가장 소름돋는 역대급 SF영화. 초반부 약간 지루한데,,,,,,,,,,,,,,,,
3548,에이리언 장인! 리들리 스콧의 귀환!,,,,,,,,,,,,,,,,
3549,최고의 프리퀄ㅋㅋ 역시 믿고 보는 리들리 스콧!!,,,,,,,,,,,,,,,,
3550,에이리언이 A.I의 창조물이 되는군,,,,,,,,,,,,,,,,
3551,정말 잘만든 영화.. 리들리스콧 감독님은 만수무강하시길..ㅎㅎ,,,,,,,,,,,,,,,,
3552,나쁘지않았음...하지만 네오인석과 제노모프와 대결구도,,,,,,,,,,,,,,,,
3553,데이빗의 땡히드라 러쉬,,,,,,,,,,,,,,,,
3554,잼잇게볼려고 기대햇는데 기대이하 별 두개,,,,,,,,,,,,,,,,
3555,창조주의 창조주를 전멸시킨 진정한 괴물,,,,,,,,,,,,,,,,
3556,아 재밌었어 재밌었어  ㅎㅎ,,,,,,,,,,,,,,,,
3557,오랜만에 돌아온 에이리언 시리즈인데,,,,,,,,,,,,,,,,
3558,영화를 보는것보다 ,,,,,,,,,,,,,,,,
3559,프로메테우스보다 훨씬 재미짐.,,,,,,,,,,,,,,,,
3560,오래간만에 재미있게 본 sf영화,,,,,,,,,,,,,,,,
3561,볼만함 기대는 허지머셈,,,,,,,,,,,,,,,,
3562,빅추천합니다.아쉬운 점은 인간을 왜 만들었는지도 중요하지만 엔지니어가 무슨 종족인지도 궁금한데... 엔지니어는 죽는 것만 나와서 아쉬움,,,,,,,,,,,,,,,,
3563,너무 재미있었습니다 그리고 다기 보고 실은영화중 한대 입이다 정말로요 하하,,,,,,,,,,,,,,,,
3564,에이리언+블래이드러너의 품격!,,,,,,,,,,,,,,,,
3565,스콧옹이 그 빤한 결말을 반전이라고 집어 넣진 않았을거다. 어쨌든 1편부터 등장한 알의 기원을 찾은게 어딘가!,,,,,,,,,,,,,,,,
3566,여전히 난해하고 불친절한 요소들이 있지만 적어도 전작처럼 감상을 방해하진 않는다. 반전에 반전,,,,,,,,,,,,,,,,
3567,영화가 전달하고자 하는 것이 무엇인지는 알겠다. 하지만 생물학자를 데리고서도 미지의 행성에 어떤 미생물이 있을지도 모르면서 사람들을 그대로 노출시키는게 어이없더라 정말...,,,,,,,,,,,,,,,,
3568,프로메테우스를 보고나서 관람해야 이해하기 쉬울듯하네요 내용은 전편들과 크게 다르진 않고 기대만큼 재밌진 않네요,,,,,,,,,,,,,,,,
3569,시리즈를 이어주는 설득력,,,,,,,,,,,,,,,,
3570,서로 다른 가치관을 따르는 두 A.I. 를 인상적으로 연기한 마이클 패스벤더. 황홀한 클래식과 함께 절묘하게 겹쳐지는 절망.,,,,,,,,,,,,,,,,
3571,여자친구랑재밌게봣네요 ㅎㅎㅎ덕분에...하하,,,,,,,,,,,,,,,,
3572,아 완전 기대했는데 너무 예상가능하고 지루했다,,,,,,,,,,,,,,,,
3573,반전에 반전을 거듭하여 원 줄거리로 돌아오는 짜릿함,,,,,,,,,,,,,,,,
3574,데이빗....미쳐버렸구나 아주..,,,,,,,,,,,,,,,,
3575,에일리언 팬이고 거기에 관심이 많은사람이라면 에일리언의 탄생과정의 궁금증을 풀어주는 아주 재밋는내용.하지만 별 관심없는사람은 안보는걸 추천함.전 아주 관심이 많아서 재밋게봄,,,,,,,,,,,,,,,,
3576,bgm이 극의 긴장감을 더욱 높였고 프로메테우스와 내용이 연결되어 프로메테우스 이후의 내용을 조금이나마 알 수 있었습니다.,,,,,,,,,,,,,,,,
3577,에이리언 광팬인지라..너무 기대를 했었나 프로메테우스가 좀더 낫던거 같고..아쉬운건 엔지니어에대해서 좀 더 보여줬으면 좋았을 텐데...이건 테란의 기계와 저그를 더 보여준 것같아서 2프로 아쉽네,,,,,,,,,,,,,,,,
3578,에어리언 영화인데 뭔가 허전함.,,,,,,,,,,,,,,,,
3579,떡밥 회수는 잘 했으지언정 더 이상은 후속편이 기다려지지 않을듯,,,,,,,,,,,,,,,,
3580,와 어떻게 마이클 패스벤더 연기 중 역대급이다,,,,,,,,,,,,,,,,
3581,하 이영화보고  마이클패스벤더 입덕함..*-_-*,,,,,,,,,,,,,,,,
3582,영화보고 오는 차안에서 창문을 못열었어요...에이리언이 나타날까봐 엘리베이터 문 열릴때도 긴장돼고..간만에 심장쫄깃~,,,,,,,,,,,,,,,,
3583,프로메테우스가 공포와 신비감을 간직한 걸출한 SF물이었다면,,,,,,,,,,,,,,,,
3584,진짜 완전 이해되면 소름 ㅡㅡ내 그놈 사고칠줄,,,,,,,,,,,,,,,,
3585,엄청재밌지않고 별로실망ㅜㅜ,,,,,,,,,,,,,,,,
3586,프로메테우스1의 스토리를 이어나가면서 악역의 공포스러운 분위기와 반전을 신선하게 연출하였습니다. 그러나 잔인함이나 여배우노출등 15세에서 보기힘든 장면들이 좀있네요... 미국에서조차도 청불인걸로 알고있는데 여기서 오...,,,,,,,,,,,,,,,,
3587,돈주고 볼만한 가치가 있는 영화,,,,,,,,,,,,,,,,
3588,진심재미없음 그리고왜15세인지..,,,,,,,,,,,,,,,,
3589,너무 높음 평점. 그냥 영화상의 설정일 뿐 철학적으로 별로 와 닿지 않는 잔인한 장면의 영화.,,,,,,,,,,,,,,,,
3590,제임스프랭코 조연 해놨다가 특별출연으로 돌리는거 보소. 그리고 캐릭터들 개성이 하나도 없고 1979년도 1편 보다 덜 긴장되고 덜 무서움. 아무것도없는영화.,,,,,,,,,,,,,,,,
3591,영화 볼 돈 내고 잘 자고 왔다. 초반에 지루하고 진부한 스토리 진행에 잠들었는데 끝나기 20분 전에 깼다. 후반 20분은 그냥 액션씬+CG+소리만 큰 효과음 떡칠동아리에서 다같이 보러가는거라 어쩔수 없이 봤는데 돈...,,,,,,,,,,,,,,,,
3592,스릴있고 넘 재밌었음ㅋㅋ 벌써부터 다음 편이 기대됨,,,,,,,,,,,,,,,,
3593,기본적인 스토리 라인도 엉성하고 너무 쉬웠고..여주인공이 울상에 은근 우아할려고 해서 몰입이 더 안됬음..그건 꽤 큰 에러..프로메테우스의 빨아들이는 스토리는 힘들더라도 어느정도의 참신합과 개연성은 리들리 스콧이기에...,,,,,,,,,,,,,,,,
3594,에이리언1보다 고급스러워 졌는데...압도되는 분위기는 없어졌다...그렇다고 프로메테우스의 신비감 쩌는 컨셉도아니다...,,,,,,,,,,,,,,,,
3595,반신반의 하면서 밨는데 진짜 최고네요 마지막 월터가 아니라 데이비드에 소름,,,,,,,,,,,,,,,,
3596,후속작을 염두한 무난한전개,,,,,,,,,,,,,,,,
3597,very good : metaphor,,,,,,,,,,,,,,,,
3598,오랫만에 보는 완성도  높은 SF 영화. 기대와 평판을 저버리지 않는 감독의 작품. 높은 몰입도에 더해지는 탄탄한 구성. 거기다 더해지는 80년대의 향수어린 영화. Goood!!!,,,,,,,,,,,,,,,,
3599,굉장하다 음향이며 에일리언 연출이 소름끼친다 그정도로다,,,,,,,,,,,,,,,,
3600,에일리언 1편을 다시 보는 게 낫다. 80년 뒤의 일인데 드론도 탐사AI도 없고 아직도 소총쓰고 탐사임무인데 보호마스크도 안쓰고 폭풍 멎고 가면 되는 거 폭풍속으로...예측가능한 시나리오에 진부한 연출 낡은 주제 삼...,,,,,,,,,,,,,,,,
3601,에일리언팬이라면 무조건 별10개다,,,,,,,,,,,,,,,,
3602,세계관 빠이빠이빠이빠이,,,,,,,,,,,,,,,,
3603,생각보다 재미 없었어여,,,,,,,,,,,,,,,,
3604,에이리언 탄생의 비밀을 알게 되서 좋았어요!,,,,,,,,,,,,,,,,
3605,뻔한 스토리외 전개 그리고 허무함...,,,,,,,,,,,,,,,,
3606,전편 보다 활씬 쎄고 재밌어요~ㅋ,,,,,,,,,,,,,,,,
3607,제목을 데이빗8:커버넌트로 바꿔야한다. 에일리언을 압도하는 존재감,,,,,,,,,,,,,,,,
3608,내용도 알차고 재미있다. 프로메테우스 무척 재밌게 봤었는데 기억이 안나는건 ..프로메테우스가 더 재밌었다..예전 에일리언보다 스케일이 커졌다는 느낌...,,,,,,,,,,,,,,,,
3609,시리즈 전체를 통하는 교과서 같은 구성,,,,,,,,,,,,,,,,
3610,데이빗은 미끼를 던져분 것이고,,,,,,,,,,,,,,,,
3611,전편보다는....역시 시리즈..,,,,,,,,,,,,,,,,
3612,압도적인 공포감! 가슴이 저릿하다.,,,,,,,,,,,,,,,,
3613,에이리언 역시 대작입니다 근데 솔직히 전 프로메테우스가 더 재미가 있었네요,,,,,,,,,,,,,,,,
3614,40세 나도 눈 가리고 봄..1편의 충격이 다시 재현됨..15세이상이라니...15세 보면 정말 쉬싼다..,,,,,,,,,,,,,,,,
3615,에이리언에 1도 관심없던 여고생인데 이 영화를 보고나니 이미 나온것들과 앞으로 나올것들을 모두 챙겨보게 하네요. 하지만 15세 관람가치고 잔인했고 갑툭튀 좀 어떻게 해주세요.. 보다가 발작일으켰잖아요....,,,,,,,,,,,,,,,,
3616,징그럽다는데 전혀 징그럽지 않다. 그저 익히 알고있는 에어리언의 모습 그대로를 보여줬을뿐. 특유의 차분하면서도 찝찝한 sf스릴러는 여전했다. 리들리스콧 다웠다.,,,,,,,,,,,,,,,,
3617,새로바뀐 여전사도 매력적이고 무엇보다 마이클 패스벤더의 연기가 한몫 했다..,,,,,,,,,,,,,,,,
3618,안보면 진짜 후회...,,,,,,,,,,,,,,,,
3619,볼거리는 있었지만 에이리언이라는 장르의 한계인거 같네요.. 그저 그랬어요,,,,,,,,,,,,,,,,
3620,기존의 에이리언 시리즈를 절대 능가할 수 없다고 생각했는데 내 생각을 능가해버렸다.  리들리 스콧 짱.,,,,,,,,,,,,,,,,
