,content,,,,,,,,,,,,,,,
1149,마지막 급 전개와 개연성이 아쉬웠지만 충분히 긴장되고 몰입감 있는 영화....   낫 배드,,,,,,,,,,,,,,,
1150,옛날의본  영화지만 충분히 볼만한 sf  영화 흥미로운 프로메테우스와 에이리언의관계,,,,,,,,,,,,,,,
1151,에일리언 시리즈를 징그러워서 안 봉 사람 입장에서는 매우 재밌었음. 킬링타임으로도 좋고 스릴도 있음. 로봇ㅅㄲ 발암 덩어리라 죽여버리고 싶음. 회장이 살아있는건 반전이긴 함. 주인공 부부도 발암이고 캐릭터들도 발암임...,,,,,,,,,,,,,,,
1152,,,,,,,,,,,,,,,,
1153,고딩때 티비에 방영하길래 재밌게 봤었는데넷플에 있길래 오랜만에 봄.2012년에 나온 영화라곤 믿기지 않을만큼지금봐도 영화가 촌스럽지 않음.,,,,,,,,,,,,,,,
1154,재밌었습니다. 긴장감 있게 봤어요.,,,,,,,,,,,,,,,
1155,시간때우기용으로 괜찮은듯,,,,,,,,,,,,,,,
1156,너무 낮은평점이다 좋은영화인데,,,,,,,,,,,,,,,
1157,,,,,,,,,,,,,,,,
1158,에일리언이 어떻게 탄생하게 되었나를 알려주는 영화였네 초반 다소 지루했음 걍 볼만함,,,,,,,,,,,,,,,
1159,구웃127391046ㅎ둣,,,,,,,,,,,,,,,
1160,에일리언 프리퀄로 영상과 몰입감이 좋다,,,,,,,,,,,,,,,
1161,,,,,,,,,,,,,,,,
1162,관심없던 외계 세계에 대해 진심으로 생각해보는 시간이 됐음. 생각의 변화에 영향을 끼치는 것만큼 훌륭한 영화는 없음.,,,,,,,,,,,,,,,
1163,두말할 필요없은 클래식,,,,,,,,,,,,,,,
1164,초반에는 고고학적 냄새를 풍기지만 결국 에일리언으로 안구오염.. 예상 못한 SF공포영화였다. 끔찍한 장면이 많으니 맘 단단히 먹고보길.. PS. 리들리스콧감독의 SF영화는 고급지고 디테일에 강함,,,,,,,,,,,,,,,
1165,굉장히 흥미로웠던 영화.,,,,,,,,,,,,,,,
1166,,,,,,,,,,,,,,,,
1167,기념비적인 작품이고 에일리언 시리즈랑 리들리 스콧 감독님 엄청 좋아합니다. 하지만 3점을 뺀 이유는 보는 내내 분노가 치밀어 올랐기 때문이죠. 자기 분야에 대한 지식(심지어 그 대.단.한. 지식이란 것도 사실은 완전...,,,,,,,,,,,,,,,
1168,에일리언 세계관 파악하고 다시보면 평점 이렇게 안준다.. 암튼 역시 리들리스콧...,,,,,,,,,,,,,,,
1169,인간이기에 던질 수 있는 인류의 기원에 관한 질문,,,,,,,,,,,,,,,
1170,,,,,,,,,,,,,,,,
1171,,,,,,,,,,,,,,,,
1172,인간에게 과학이라는 무기가 주어질 때,,,,,,,,,,,,,,,
1173,,,,,,,,,,,,,,,,
1174,웅장하고 심오하면서 흉측하고 스릴있다,,,,,,,,,,,,,,,
1175,머야 이영화 역대급이네 평점이 왜이러냐 진짜 재미네 최고다,,,,,,,,,,,,,,,
1176,이래서 인공지능로봇을 만들면 안된다.무서운세상,,,,,,,,,,,,,,,
1177,,,,,,,,,,,,,,,,
1178,에일리언 시리즈의 새로운 서막,,,,,,,,,,,,,,,
1179,충분희 볼만한 영화임.,,,,,,,,,,,,,,,
1180,,,,,,,,,,,,,,,,
1181,비위가 좋아야 외계인도 볼 수 있음,,,,,,,,,,,,,,,
1182,ㅋㅋ 재미있게 만들었는데??ㅋㅋ,,,,,,,,,,,,,,,
1183,이런 영화 많이 만들어주세요 제발,,,,,,,,,,,,,,,
1184,정말 잘만든영화입니다,,,,,,,,,,,,,,,
1185,나름 재밌고 흥미로웠음,,,,,,,,,,,,,,,
1186,흥미진진하고 재미있는데,,,,,,,,,,,,,,,
1187,굿굿이라고 말할수밖에밖에,,,,,,,,,,,,,,,
1188,명작.. 보고 또 봐도.. 보면 볼수록..,,,,,,,,,,,,,,,
1189,몇번보게 만든 유일한 영화..,,,,,,,,,,,,,,,
1190,심오와 난해 속에서도 이상만을 추구하는 창조주들,,,,,,,,,,,,,,,
1191,더이상 언급할 필요가 없을 명작. 어떤 평론가의 말 처럼 SF클래식이 될  영화에 100%공감.   게다가 SF영화중에 흥미롭기론  압도적 1위 아닐까?,,,,,,,,,,,,,,,
1192,신선하고 무서운 영화.,,,,,,,,,,,,,,,
1193,몇번봐도 꿀잼임...ㅋㅎ,,,,,,,,,,,,,,,
1194,경이롭고 즐거운 2시간이었다,,,,,,,,,,,,,,,
1195,클래식의 향기를 품은 고딕 SF.,,,,,,,,,,,,,,,
1196,본능에 충실한 SF영화.,,,,,,,,,,,,,,,
1197,탐구심을 빙자한 인간의 욕심은 끝이 없고.,,,,,,,,,,,,,,,
1198,볼만한 영화 입니다..,,,,,,,,,,,,,,,
1199,평정 낮아서 10점 박습니다,,,,,,,,,,,,,,,
1200,이렇게 징그러운 영화를 보며 인생과 인간에 대한 철학적 의문을 갖게되며 현타가 옴ㅋ 재밌다,,,,,,,,,,,,,,,
1201,개운하지 않지만 디테일하다.,,,,,,,,,,,,,,,
1202,2편보다 훨씬 훌룡하다,,,,,,,,,,,,,,,
1203,정말 재밌게만든 최고의 영화,,,,,,,,,,,,,,,
1204,집중도가 높은 영화후속작이 궁금한 영화,,,,,,,,,,,,,,,
1205,새로운 끝과 시작은 이 영화로 부터 시작됬지.,,,,,,,,,,,,,,,
1206,그냥 스스로 죽음을 향해 달려드는게 이입이 안된다,,,,,,,,,,,,,,,
1207,안보면 후회한다 sf끝판왕,,,,,,,,,,,,,,,
1208,잘만든 영화.. 커버넌트보고나니 이게 얼마나 잘만든지 알겠더군요,,,,,,,,,,,,,,,
1209,평점이너무낮아 10점,,,,,,,,,,,,,,,
1210,생각보다 평점이 낮아서....,,,,,,,,,,,,,,,
1211,홍보문구가 왜 이렇게 쓰레기지?,,,,,,,,,,,,,,,
1212,아 진짜 짱재밌고,,,,,,,,,,,,,,,
1213,평점넘 낮네.. 보면서 계속 감탄함,,,,,,,,,,,,,,,
1214,이 영화가 나름 완성도가 있기에 더더욱 커버넌트의 작품성이 낮아진게 아쉬울뿐,,,,,,,,,,,,,,,
1215,커버넌트 보고 뒤늦게 본영화. 에일리언의 긴장감이 바로 이런건가 마지막까지 숨가쁘게 달리는 전개. 재미있습니다,,,,,,,,,,,,,,,
1216,참신함 에일리언 시리즈 보고 보면 소름,,,,,,,,,,,,,,,
1217,인간의 기원에 대한 질문과 동기에서 시작해 건진 결과물은 결국 비주얼,,,,,,,,,,,,,,,
1218,마지막 에일리언탄생 ㄷㄷ,,,,,,,,,,,,,,,
1219,2편보고 봤는데 재밌네요 보통 에일리언 엉화랑 차원이 다름. 정석이면서 심화 느낌이랄까.. 내용도 꽤나 심오해서 좋아여,,,,,,,,,,,,,,,
1220,긴장감있고 에이리언: 커버넌트편이 궁금해 또 봤다는,,,,,,,,,,,,,,,
1221,기억에 계속떠도는 영화...에이리언의 창세기,,,,,,,,,,,,,,,
1222,데이빗 소름 리들리스콧감독 감사해요,,,,,,,,,,,,,,,
1223,내인생의 오락영화~~??,,,,,,,,,,,,,,,
1224,정말 잘 만들었는데 딱히 할 말이 떠오르지 않는다...,,,,,,,,,,,,,,,
1225,커버넌트 보고 나니까 다시 보고싶어지는 영화.,,,,,,,,,,,,,,,
1226,처음으로 시리즈 봤는데 존잼,,,,,,,,,,,,,,,
1227,이영화가 왜7점대이지?  9,,,,,,,,,,,,,,,
1228,이런 엄청난 내용을 79년도 에이리언 만들때 부터 생각한건 아니겠지,,,,,,,,,,,,,,,
1229,그냥 오락영화가 아님 많은 생각을 하게 만듬,,,,,,,,,,,,,,,
1230,심각한 개연성 문제에도 불구하고 연출력은 대단했다. 고대문명 속에 남긴좌표가 병기고라는 게 이 영화의 최대 미스테이크,,,,,,,,,,,,,,,
1231,커버넌트보고 보게됨  세계관 정말  대단하네...강추~~~,,,,,,,,,,,,,,,
1232,좀 더 현학적이 된 에일리언,,,,,,,,,,,,,,,
1233,무기 가져가면 놓고가라고 하지좀 말아라,,,,,,,,,,,,,,,
1234,에일리언을 시작했으니 끝을 그려주길,,,,,,,,,,,,,,,
1235,베스트 볼수록 완벽한 영화 ! 최고 !!,,,,,,,,,,,,,,,
1236,평점왜이래 더높을만하다,,,,,,,,,,,,,,,
1237,안보려다가 봤는데,,,,,,,,,,,,,,,
1238,퍼즐의 한조각이면서 퍼즐 그자체 나에겐 재밌었던영화,,,,,,,,,,,,,,,
1239,기대하지 않았지만 볼만한 영화다,,,,,,,,,,,,,,,
1240,이게 왜 7점대냐고 진짜 이해가 안돼  내 인생영화,,,,,,,,,,,,,,,
1241,엔지니어 궁금하고 궁금하다,,,,,,,,,,,,,,,
1242,인류의 기원도 결국 죽음앞에는  인간과 똑같았다. 다만 그들이 무엇때문에 인류를 창조하고 멸망까지 하려하는지 의문이 든다.  어쩌면 인간의 끝없는 탐욕이 그들의 분노를 불러일으킨지 모르겠다. 에어리언의 시조같은 영화...,,,,,,,,,,,,,,,
1243,에일리언의 완벽한 프리퀄스타트,,,,,,,,,,,,,,,
1244,인물 사이의 심리적 묘사도 좋았고,,,,,,,,,,,,,,,
1245,sf는 역시 리들리스콧,,,,,,,,,,,,,,,
1246,몰입도 상당하다....믿고 보는 리들리 스콧,,,,,,,,,,,,,,,
1247,닥십점이지  7.8점준인간들머냐?,,,,,,,,,,,,,,,
1248,한국에서 이런 영화는 50년 뒤에 나올까 말까??? 이런 걸작이 징그러워서 점수가 낮은걸까?? 한국에선 너무 화려한 액션만 조아하는 듯,,,,,,,,,,,,,,,
1249,이게왜 7점대냐짐심이해안간다;;;;,,,,,,,,,,,,,,,
1250,평점 7점때라서 기대안하고 봤는데 개꿀잼 ~,,,,,,,,,,,,,,,
1251,에일리언 시리즈를 보지 않고 보았다. 흥미롭웠지만 과거 전작들을 찾아보고 싶은 감정이 들게 만들지는 않았다. 하지만 철학적인 메세지를 전달하는 나름의 수작인 듯 하다.,,,,,,,,,,,,,,,
1252,삭제씬만 포함됐어도 10점이었다,,,,,,,,,,,,,,,
1253,굿!!!다음이 기대됩니다.,,,,,,,,,,,,,,,
1254,리들리 스콧이 79년부터 준비해오던 에일리언  시리즈의 서막!,,,,,,,,,,,,,,,
1255,인간 본질을 찾아 떠나는 에이리언 프리퀄,,,,,,,,,,,,,,,
1256,인간을 왜 만들었을까? 질문을 던지고 침묵. 어찌 명작이 아니라 할 수 있나. 이 질문에 답하는 과정이 묘미. 영화적 긴장감과 몰입감도 최고,,,,,,,,,,,,,,,
1257,지루할틈없이 재미있게 보았다.,,,,,,,,,,,,,,,
1258,우와 짱이다...계속 생각남,,,,,,,,,,,,,,,
1259,완성이 되지 않은 시리즈를 쉽게 판단하는 건 오판이 될 수 있다고 말해주는..,,,,,,,,,,,,,,,
1260,진짜 간만에 재미있는 SF를봤네,,,,,,,,,,,,,,,
1261,커버넌트 볼려는데 기억하나도 안나서 다시봄 엘리자베스 오나미 쇼  ㅋㅋㅋ  잘봤습니다~,,,,,,,,,,,,,,,
1262,에이리언 보려고 귀찮게 챙겨보긴했는디.. 영화보면서 자꾸 흥미 유발 쩔었음 ㅋㅋ,,,,,,,,,,,,,,,
1263,스페이스 자키를 본것만으로도 대만족!!,,,,,,,,,,,,,,,
1264,그냥 이영화만 봤다면 낮은 평점 줄수도 있음지만,,,,,,,,,,,,,,,
1265,잼써여 ㅋㄷㅎㅎ!!!,,,,,,,,,,,,,,,
1266,충분히 다음 작품을 기대하게 만들었고 여주에게서 시고니위버가 보였다 에일리언 시리즈를 다 본 사람이라면 흥미있게 봤을것이다,,,,,,,,,,,,,,,
1267,드디어마블MCU 몬스터버스 프메-커버넌트에이리언 정주행완료ㅋ DC는이번원더우먼보고정주행할지고민해보고 유니버셜몬스터유니버스는 이번 미이라를시작으로 고,,,,,,,,,,,,,,,
1268,꿀잼!히호히하호후혀효,,,,,,,,,,,,,,,
1269,호기심은 좋은건데..영화가 호기심을 말살한다. 호기심을 가진자는 일찍 죽어버리게 만들어,,,,,,,,,,,,,,,
1270,흠 에일리언의 탄생 배경 영화였군 마지막에서야 알았다,,,,,,,,,,,,,,,
1271,지루하지 않고 한장면 한장면이 집중하게 만드네요 추천합니다,,,,,,,,,,,,,,,
1272,최고다!에이리언  보기전 꼭보세요!,,,,,,,,,,,,,,,
1273,평론가들은 이 영화에서 뭘 바라는거지?? ㅋ 난 굉장히 재밌게 봤는데... 에일리언중에서도 손에 꼽는다~!!!,,,,,,,,,,,,,,,
1274,인트로인트로인트로인트로,,,,,,,,,,,,,,,
1275,꿀잼 또 꿀잼이야~~~~,,,,,,,,,,,,,,,
1276,꿀잼인데..평점 조정,,,,,,,,,,,,,,,
1277,프로메테우스보다 공포감이 올라감. 옆에 누가 몇번 놀라고 나니 아 ㅅㅂ 이랬음 ㅋ,,,,,,,,,,,,,,,
1278,역시 리들리 스콧!!!,,,,,,,,,,,,,,,
1279,신념이 다른 인물들이 하나를 위해 뭉쳤을 때 어떻게 분열되는가,,,,,,,,,,,,,,,
1280,첫씬에서 남자 왜 술먹고 죽은지 모르겠다는 분들은 자세히 보시면 로봇이 깡통에서 꺼낸 검정색 물질을 손가락에 묻혀서 술에 담갔다가 뺍니다.,,,,,,,,,,,,,,,
1281,T-렉스나,,,,,,,,,,,,,,,
1282,제목도 그렇고 왠 머머리가 포스터를 장식하고 있어서 에일리연 프리퀄일줄은 꿈에도 몰랐음,,,,,,,,,,,,,,,
1283,첫 씬에서 왜 마시고 죽은지 아직도 모르겠어요,,,,,,,,,,,,,,,
1284,후속작 기대되네요. 마지막 장면과 엔딩송이 인상깊었어요.,,,,,,,,,,,,,,,
1285,최근 10년 동안 나온 영화들 중에 단연 최고봉! 클래식이라 할만하다.,,,,,,,,,,,,,,,
1286,중후반까지는 전혀 우리가 알던 에일리언이 아니라서 그냥 에일리언이 아닌 다은 외계괴물 영화인줄 알았는데  후반에 눈병 변이체(?)를 덮치던 거대한 혐오스런 괴물의 정체를 봤을때 크기가 엄청나게 커졌지만 페이스 허거라...,,,,,,,,,,,,,,,
1287,상상력이 엄청나다 정말 대단한 영화ㄷㄷ,,,,,,,,,,,,,,,
1288,개인적으로 에이리언 때문에 보았으나 인류 기원에 대한 심오한 주제와 더불어 웅장함을 느꼈다.,,,,,,,,,,,,,,,
1289,ㅈㄴ 재밋는대  평점이 왜이래,,,,,,,,,,,,,,,
1290,실망할까봐조마조마했었던..그러나충분히만족함.,,,,,,,,,,,,,,,
1291,에일리언인줄도 모르고... 코즈믹 호러틱한 배경에 혹해서봤다.,,,,,,,,,,,,,,,
1292,최고의 영화! 최고의 감독!,,,,,,,,,,,,,,,
1293,와 신세계 영화!흠잡을데가 없네!,,,,,,,,,,,,,,,
1294,아무리봐도 이영화는 7점대 평점이 아닌거 같다. 8점 이상은 가야할 영화다.,,,,,,,,,,,,,,,
1295,진짜 명작인거같은데 평점이 너무 낮네요,,,,,,,,,,,,,,,
1296,간혹 등장하는 웰메이드 SF 호러,,,,,,,,,,,,,,,
1297,수작이네요.추천합니다,,,,,,,,,,,,,,,
1298,2편 담달개봉!!얼마나 기다렸는지ㆍ,,,,,,,,,,,,,,,
1299,생각좀 하고 평점 적자.,,,,,,,,,,,,,,,
1300,그래서 인간을 만든 이유가 뭐냐고;; 핵심이야기를 안풀고 다음편에 떡밥으로 남기네..,,,,,,,,,,,,,,,
1301,에일리언 시리즈 때문에 봤음,,,,,,,,,,,,,,,
1302,도대체 평점 기준이 뭐임? 갠적으로 9점은 해야한다고 생각하지만 좀 높이기위해 일부러 10점줌,,,,,,,,,,,,,,,
1303,프로메테우스 내용 이해못하는 사람도 있겠지만,,,,,,,,,,,,,,,
1304,이렇게 좋은 영화를 7점대에 두다니... 대단하다 당장 보자,,,,,,,,,,,,,,,
1305,샤를리즈테론... 모래폭풍 영화와 친하구먼,,,,,,,,,,,,,,,
1306,에이리언 영화의 전설.. 리들리 스콧! 우주선 묘사가 정말 대단하다.,,,,,,,,,,,,,,,
1307,잼있음 비주얼 스토리 전부 명품임.,,,,,,,,,,,,,,,
1308,5월이 기대된다ㅎㅎㅎ,,,,,,,,,,,,,,,
1309,보고 보고 또 봐도 언제나 새롭고 경이롭다. 더 이상 무슨 말이 필요할까.,,,,,,,,,,,,,,,
1310,에일리언,,,,,,,,,,,,,,,
1311,2편 빨리 개봉해주세요 현기증나네 어벤져스 이런거 필요없어 난 프로메테우스2편에 목말라있다,,,,,,,,,,,,,,,
1312,이 영화는 재평가 받아야 한다 개인적으로 최고다 후속편이 기다려진다,,,,,,,,,,,,,,,
1313,이 재밌는게 왜 8점이 안되냐,,,,,,,,,,,,,,,
1314,내인생 최고의 영화 에일리언 마지막 등장 장면 압도적 심장이 터질것 같았다,,,,,,,,,,,,,,,
1315,최고다일단봐라킬링타임으로도짱이고...내가머라는거지ㅋㅋㅋ진짜재밌습니다집에서한잔하면서봣는졸잼ㅜ,,,,,,,,,,,,,,,
1316,결론을 안냈다고 1점 주는 인간들은 뭐냐,,,,,,,,,,,,,,,
1317,에어리언의 명성을 이어가는데 전혀 부족함이 없었다.,,,,,,,,,,,,,,,
1318,다시 봤는데 정말 새롭다. 경이롭다!!---202년 9월 11일7번째 본듯한데 볼때마다 새로운 것을 생각하게 된다.,,,,,,,,,,,,,,,
1319,처음부터 끝까지 숨도 안쉬고 봤다.... 평점이 왜이리 낮은거지?,,,,,,,,,,,,,,,
1320,이 명작이 7점대라고? 엄청 재미있게 보았고 보면 볼수록 안보이던  메세지들이 보인다...에일리언 커버넌트도 엄청 기대된다.,,,,,,,,,,,,,,,
1321,이게 왜 평점이 7점대?,,,,,,,,,,,,,,,
1322,소장하고싶은 영화. 볼때마다 새로운 느낌이다.,,,,,,,,,,,,,,,
1323,정말 재밌게 봤는데 평점이 의외로 낮네요.. 후속편이 기대됩니다,,,,,,,,,,,,,,,
1324,아주 그냥 잘 만들었네 ㅋㅋ,,,,,,,,,,,,,,,
1325,난 웬만해서는 본 영화 또 잘 안보는데 이건 벌써 3번이나 봤음!!,,,,,,,,,,,,,,,
1326,호기심이 낳은 불행이 차례대로 펼쳐진다. 나름 그럴듯하게 에일리언의 탄생을 완성시켰다.,,,,,,,,,,,,,,,
1327,잼있어서 두번 봄요 굿!,,,,,,,,,,,,,,,
1328,4번봤다 이런게 명작이다.,,,,,,,,,,,,,,,
1329,몇번을 봐도 몰입도가 뛰어남.. 다음편이 기대됨 ㅜ,,,,,,,,,,,,,,,
1330,아 생각보다 디테일이 명성에 비해 허술하네... 그래도 재미로 7점준다,,,,,,,,,,,,,,,
1331,볼만합니다. 2가 기대되는군요.,,,,,,,,,,,,,,,
1332,엄청난 몰입도와 비주얼,,,,,,,,,,,,,,,
1333,개독들이 평점테러 했네요 또,,,,,,,,,,,,,,,
1334,미지 우주에 대한 상상은 언제나 옳다. 인간진화론을 벗어난 인간은 어떻게 탄생하였나? 에 대한 새로운 의문점을 다른 시각으로 볼 수 있는 영화.,,,,,,,,,,,,,,,
1335,다시보니  전보다 더 재밌네..연출이 아쉬운 부분이 있지만  여전사가 섹시하다.,,,,,,,,,,,,,,,
1336,끝까지 다보면 여운이 깊게 남는 영화,,,,,,,,,,,,,,,
1337,시작 부터 봤을 떄 짜증나는 ㅂ.ㅅ 같은 과학자와 로봇드...ㅋㅋㅋ 고문관들 천지.. 예전의 에일리언의 전 얘기인데,,,,,,,,,,,,,,,
1338,뭐 재미없진 않지만 뭔가 중간중간 나사빠진 느낌... 약간 억지로 끼워 맞출려는 느낌도 있고. 그래도 기본 소재자체가 좋아서 일단 중간이상은 감 ㅎㅎㅎ,,,,,,,,,,,,,,,
1339,에일리언 감독이 만들었구나...볼만 함,,,,,,,,,,,,,,,
1340,이해가 안 가는 부분도 있지만 엄청 잘 만든 영화다. 우주 탐사 영화 인줄 알고 봤다가 좀 이상하게 돌아가길래 뭐지 싶었는데 마지막에 깜짝 놀랐네...,,,,,,,,,,,,,,,
1341,오씨엔에서 해주는것 합해서 열번도 넘게 봄 터버넌트 기대~~,,,,,,,,,,,,,,,
1342,창조주 색히들 발암이네.,,,,,,,,,,,,,,,
1343,명작 이라고 생각합니다만,,,,,,,,,,,,,,,
1344,재미만 좋구만. 오락영화로 이 정도면 수작이다.,,,,,,,,,,,,,,,
1345,개인적으로 외계인영화라 기대안하고 봤었는데 좋았었습니다.,,,,,,,,,,,,,,,
1346,이가 평점이 왤케 안 좋죠?? 8.5는 될거 같은데 여튼 역시 재밌습니다 벌써 몇번째 보는건지 모르겠음 ㅎㅎ,,,,,,,,,,,,,,,
1347,떡밥영화의 최고봉이다.,,,,,,,,,,,,,,,
1348,에일리언 커번넌트가 더욱 기대되게 만듭니다.,,,,,,,,,,,,,,,
1349,평점이 왜이러지 넘 재미있게본 영화,,,,,,,,,,,,,,,
1350,평점이 이상해... 뭔가 잘못된게 틀림없엉,,,,,,,,,,,,,,,
1351,이 영화는 꼭봐야함 꼭꼭,,,,,,,,,,,,,,,
1352,김치녀에게 강추하고 싶다. 엔지니어 완전 백인이고 몸 개좋음.,,,,,,,,,,,,,,,
1353,디테일이 엄청남 ㅠㅠ 컨셉영상들 보면 소름돋음....지문같은것도 하나하나 설정...,,,,,,,,,,,,,,,
1354,개명작 10101010,,,,,,,,,,,,,,,
1355,등골 서늘한 SF 스릴러. 저는 진짜 집중해서 눈도 못감고 본것 같습니다,,,,,,,,,,,,,,,
1356,리뷰를 보고 왜 리들리 스콧이 신비주의를 좋아하는지 알겠다. 해석이 다 제각각이야ㅋㅋㅋㅋ 그냥 외계인이 뱀새끼들로 인간 멸종 시도했는데 기계가 그걸로 뱀인간 혼종을 만들었고 그 혼종이 외계인 숙주로 새로운 외계인을 ...,,,,,,,,,,,,,,,
1357,1편에 나온 흥미있는 요소들을 속편에서 어떻게 풀어낼지 기대되네요.,,,,,,,,,,,,,,,
1358,여러모로 아쉬운 영화다 차라리 오락성을 낮추고 인류의 기원에 대해 진지하게 접근했다면 끝나고 여운이 길게 남았을텐데.. 외계인이 인류창조를 했다면 최초의 생명의 씨앗을 설계한것인가? 아니면 외계인이 인간의 진화에 관...,,,,,,,,,,,,,,,
1359,리들리 형님 오래오래 사셔야 합니다!!! ㅠㅠ,,,,,,,,,,,,,,,
1360,와~ 최근에 봤는데도 명작,,,,,,,,,,,,,,,
1361,79년작 에이리언의 훌륭한 프리퀄이자 깔끔한 리부트.,,,,,,,,,,,,,,,
1362,밑밥이 아주...뭔가 더 있을 것 같은 밑밥을 뿌려놓은 영화.특히 마지막 장면의 인간형 에일리언 안에 에일리언은 2편을 엄두한것이 아닌지.. 기대해본다. 심오하면서도 인간 사이에서도 아군과 적을 찾기 애매했던 영화....,,,,,,,,,,,,,,,
1363,가만. 그럼 샤를리즈테론은 2에서 못나오는건가,,,,,,,,,,,,,,,
1364,이렇게 좋은 영화를 이제 보다니~~과연 감독 거장이고 네이버 평점 믿을게 못된다.,,,,,,,,,,,,,,,
1365,뱃속에서 에일리언 꺼낼때 충격적이였음 ㄷㄷ,,,,,,,,,,,,,,,
1366,여자 주연 왜케 바보같이 연기하고 하는 행동연기들도 다 어설프고 답답하게 연기하는지 모르겠네 차라리 샤를리즈 테론이 주연 맡는게 나았을 듯,,,,,,,,,,,,,,,
1367,믿음이 열어주는 길을 따르는자가 / 힘 즉 CEO'를 중심으로 모인 인원이 다시 괴생물체(이지만 먹은대로 존재하고 행함으로 강력한 인간존재의) 도플갱어 를 중심으로 모임으로써 거기 그별이 구성되고,,,,,,,,,,,,,,,
1368,나는 재밌게 보았다 다음 편이 기대가 되는 영화,,,,,,,,,,,,,,,
1369,좋지아니한가.ㅇㅇㅇ,,,,,,,,,,,,,,,
1370,ㅔㅈ대라ㅡㄷ제ㅏㅡ페ㅐㅇ냐ㅗ펮드레,,,,,,,,,,,,,,,
1371,매우  흥미로운 내용으로 좋습니다.,,,,,,,,,,,,,,,
1372,흥미롭다.뚜어난 영상미와 탄탄한 스토리 후편이 기대된다.,,,,,,,,,,,,,,,
1373,에일리언과 리들리스콧..무슨말이 더  필요할까..,,,,,,,,,,,,,,,
1374,기대감 없이 봐서 그런가 재미있습니다.마지막까지 긴장감도 유지되고 몰입감도 괜찮고...설마 끝인가 싶을정로 어정쩡하게 끝났는데; 씨리즈물이라 생각하고 특히 엔딩은 에일리언 비긴즈인가 싶네요.근데 여주는 신봉선 같기도...,,,,,,,,,,,,,,,
1375,이건 뭐랄까.. 속편이 기대되는 영화,,,,,,,,,,,,,,,
1376,2편이 기대되는 영화.. 우연히 보게되었는데 너무 재미있었음.,,,,,,,,,,,,,,,
1377,클래식 반열에 오를 영화.,,,,,,,,,,,,,,,
1378,빠져드는내용 여운도 오래간다,,,,,,,,,,,,,,,
1379,뱀같은괴물  귀두같지않나요ㅋㅋㅋㅋ  괴물이 좀마니 나왔으면 좋았을텐데~^^ 암튼 잼게보았어용~ 교훈은   잘키운자식하나  목숨도구해준다!!반포지효,,,,,,,,,,,,,,,
1380,★★★★명작★★★★,,,,,,,,,,,,,,,
1381,이게 왜 7점대??? 이해안가네,,,,,,,,,,,,,,,
1382,영화적 재미는 글쎄 보통이지만~~~속편이 너무나도 기다려지는 마성과도 같은 영화~~~,,,,,,,,,,,,,,,
1383,알아낸 것이 아무것도 없다. 그래서 후속작이 더 기대되는 영화.,,,,,,,,,,,,,,,
1384,평점 너무 낮다  개명작인데,,,,,,,,,,,,,,,
1385,영화 볼줄모르네 최소한 8점대 영화다,,,,,,,,,,,,,,,
1386,다시 보면 볼수록  에일리언 시리즈를  좋아하는 사람들에게 많은 복선과 의미를 던져준다. 처음 접하는 사람이 보기에는 와 닿지 않는 설정들이 있을 수 있지만... 그걸 감안하고라도 전하고자 하는 메세지만 보더라도 다...,,,,,,,,,,,,,,,
1387,아직 2편이 안나오다니...2017년에 나온다니 기다려 보자.기대 없이 봣지만 너무 재밌게 본 영화.,,,,,,,,,,,,,,,
1388,완벽해. 너무 재밌더라 내가 이 영화 왜 그동안 안봤지 싶음,,,,,,,,,,,,,,,
1389,SF영화 매니아라면 꼭 봐둬야할 영화,,,,,,,,,,,,,,,
1390,이제서야 이 영화를 봤다니!,,,,,,,,,,,,,,,
1391,2시간동안 흥미진진했다.,,,,,,,,,,,,,,,
1392,10점 줍니다. 2편이 나오길 손꼽아 기다리고 있어요,,,,,,,,,,,,,,,
1393,에일리언 내용도 모르고 으 징그러 저게뭐야 스토리도 이상하고 라며 평점 깎는 놈들땜에 평점 7점대네,,,,,,,,,,,,,,,
1394,인류기원시작이 엔지니어들이라는 생각을 어케했을까? 상상력이 정말 다시봐도 대단한 작품임!! 천재감독!!,,,,,,,,,,,,,,,
1395,에일리언 매니아로써 나와준 것만으로도 감사해요. 솔직히 말해서 리들리 스콧이 만들지 않은 에일리언은 내용이 점점 산으로 가는 느낌이었어.,,,,,,,,,,,,,,,
1396,평이 안 좋아서 기대를 안 했는데... 많은 생각을 하게 한 영화였고 재밌었다.,,,,,,,,,,,,,,,
1397,프리퀄 영화중 몇안되는 웰메이드 무비. 후속편이 빨리 나오길..,,,,,,,,,,,,,,,
1398,8점이상은 받아야 합당하다...,,,,,,,,,,,,,,,
1399,정성스럽게 만들었지만 너무 뻔한 진행이다. 에일리언 시리즈의 프리퀄로는 충분한 영화이다. 에일리언을 다신 본다면 1편과 정확히 맞아 떨어짐을 알 수 있다. 에일리언 4부작의 위대함을 느끼게 해주며 광고해 주는 영화....,,,,,,,,,,,,,,,
1400,?를 연발하게 되는 영화이지만,,,,,,,,,,,,,,,
1401,ocn에서 틀어주길래봤는데 굿 작가의 상상력이 대단하고 마지막 반전도 소름돋았다.,,,,,,,,,,,,,,,
