,content,,,,,,,,,,,
1525,우리는 늘 보이지 않는 것을 갈망하고,,,,,,,,,,,
1526,너무 지루함 보는 내낸 힘들었음낼 출근하는 데 잠이나잘 걸,,,,,,,,,,,
1527,감정이입최고 한번 더 본다,,,,,,,,,,,
1528,독백이 많고 너무 지루해요,,,,,,,,,,,
1529,올해 본 영화 중에 최고의 영화였던 것 같다..브래드피트 필모그래피 중 가장 멋진 인생 연기를 펼친 영화라고 가히 말할 수 있을 것 같다.현재 상영중인 한국 영화나 조폭영화에 만원 내느니 차라리 이런 할리우드 영화에...,,,,,,,,,,,
1530,평점은 조작 되었다역사상 가장 위대한 역대급 지루하고 답답한 쓰레기  다큐를 나는 보고야 말았다평점에 속있다역대급 쓰레기,,,,,,,,,,,
1531,.평일 점심에 10명 정도 있던데 보다가 2명 나가고 너무조용해서 상영관 밖에 소리도 들리더라.나는 숙면했다.초반 레드불(대기권에서 점프) 가 전부다. 영화 장면장면 우주표현하는게 진짜같긴한데 TV에서 재방한다고해도...,,,,,,,,,,,
1532,ㅅㅍ 같이간 사람한테 미안해 죽는줄,,,,,,,,,,,
1533,뜬금없는개연성 많고 영상미도 그닥.. 굳이 우주에서 인간의심리를 표현해야하나?,,,,,,,,,,,
1534,이따위 영화를 보면서 연기력이소름끼친다느니 느껴지는게 있다 느니 하는 인간들은 알바 아니면 소위 말해 깨어있는 척 하기 좋아하는 골 빈 놈 들일 것이다. 브레드 피트를 가지고 우주라는 배경을 삼아 지루하고 전달력 없...,,,,,,,,,,,
1535,핵노잼 개지루함 영화결론없음..원숭이 더 안나오나??,,,,,,,,,,,
1536,sf는 맞는데 스릴?을 어디서 찾아볼수있는건지 너무 지루한전개 배우가 아까운영화 댓글알바가 여기도 많네요^-^ 잘자다왔습니다,,,,,,,,,,,
1537,이런 영화가 평점이 높고 이런 영화들만 만들어 지는 현실이 슬프다,,,,,,,,,,,
1538,더럽게 잼없다. 한국영화다 쓰레기지만 외국영화라고 다 재밌는거 아니다. 이런 OO영화에 작품성 운운하는 놈들은 진심 장애인들이지.,,,,,,,,,,,
1539,인터스텔라를 뛰어넘을순 없었다,,,,,,,,,,,
1540,빵형 연기,,,,,,,,,,,
1541,이거 재미없다고 지루하다는 사람들 특징 : 다혈질에 참을성 없고ㅋ 남 얘기 잘 안 듣고 지 얘기만하는 인간들임 ㅋㅋ 인성 구린색이들은 이거 보지말고 가서 타짜나 쳐 봐라 ^^,,,,,,,,,,,
1542,진짜 지금까지 본 영화 앞으로 볼 영화 다 합쳐도 최고의 노잼임,,,,,,,,,,,
1543,진짜 이 영화 재미없음 처음부터 끝까지 반전도 없고 나오는 사람마다 속았다고 함.. 하..내돈..,,,,,,,,,,,
1544,문짝하나들고  해왕성 고리뚫던데   무중력에서  우주선열결고리없이도  맨몸으로   해왕성 겉에  돌아가는고리에 딸려가지않나요???  그냥뚫어버리네요  저처럼 우주미스테리장르 좋아하는분들 비추입니다 말도안되고  신비감...,,,,,,,,,,,
1545,삶의 가치?ㅋㅋ 여운 교훈은 무슨 애초에 개연성도 없으면서 잔잔하고 재미없는 영화 진짜 있어보이려고 평점 높게주는거임 인터스텔라는 재미 감동 교훈 다 갖췄는데 이건 어느하나도 인터스텔라에 반도 못미침 진심 암전보다 ...,,,,,,,,,,,
1546,토성링(수많은 암석등으로 형성된...)의 결코 짧지않은 거리를..철판하나 앞세우고 추진동력등도 없이 총알처럼 헤처나가는 것이 가능한지..무한한 우주와 단순한 인간성의 질문과 그 해답...일급배우들의 3류연출...굳이...,,,,,,,,,,,
1547,이런 개새들 이런걸10점...에이씨앙,,,,,,,,,,,
1548,평점 거품이네 속지마셈,,,,,,,,,,,
1549,관람평중에 이건 극장에서 봐야 한다고 했다. 텅빈 극장과 큰 스크린은 날 더 외롭게 하는 것 같았다.(다들 영화를 보고 나오는데 아무말을 안하더군) 첫 SF라는 말에 기대하고 봤는데 브래드피트의 첫SF 폭망인듯. 이...,,,,,,,,,,,
1550,커뮤니티 사이트에서는 수면제 영화라는 후기밖에 없던데,,,,,,,,,,,
1551,이거 재밌다는 사람들 솔직히 노잼인데 있어보이려고 감동받은척 오지는 영화. 우주영화인데 과학따위는 개무시. 이러려면 왜 굳이 그 비싼 돈을 써가며 우주여야됐을까. 그냥 잔잔하게 일상물로했으면 오히려 수작이 나왔을거다...,,,,,,,,,,,
1552,호불호 갈릴거같은데 불호가97%될듯 ㅋ 심각하게 지루함.,,,,,,,,,,,
1553,지루하다 못해 졸면서 봄.감동도 없고 재미도 없고 영화보고 크게 실망한거 처음,,,,,,,,,,,
1554,진짜 뭘전달하려는 영화인지결말 개 어 이 없 네 ㅋ,,,,,,,,,,,
1555,결국은 아버지를 위해서가 아니라 나를 위해서였던 것 아닐까요? 살아서 다행입니다..,,,,,,,,,,,
1556,혼자이고 싶었지만 혼자이기 싫다.,,,,,,,,,,,
1557,굉장히 지루하고 따분하다. 인터스텔라 나 그래비티와는 비교도 못할 망작이라 생각한다. 반전도 없이 그저 긴 우주여행의 지루함을 그대로 담은 듯. 평점이 왜 이리 좋은지 이해가 안된다. 외계 생명 탐사를 떠난 로이의 ...,,,,,,,,,,,
1558,sf스릴러인 척 홍보했지만 사실은 우주배경의 예술영화. 즉,,,,,,,,,,,
1559,연출,,,,,,,,,,,
1560,극장용인듯 스케일 영상미 말고 스토리는 별로,,,,,,,,,,,
1561,공상과학,,,,,,,,,,,
1562,너무 지루함.. 극의 서사와 분위기가 굉장히 잔잔함 우주 배경 특유의 무성느낌.,,,,,,,,,,,
1563,연기5점/영상미3점/스토리1점/고증-50점/우주에대한경이로움0점 볼게 연기밖에 없다..,,,,,,,,,,,
1564,일단 영화 예고편에 속았음. 무슨 달에서 폭발이 일어나길래 달에서 전쟁나는 우주 액션 영화인 줄 알았는데 완전 관계 없는 영화였음. 일단 예고편으로 나를 속였으니 최대 3점. 중반부까지는 나름 긴장감 있었는데 후반부...,,,,,,,,,,,
1565,불면증 치료제 완저 눈감김,,,,,,,,,,,
1566,제임스 그레이 감독이 우주 SF영화를 만들면 이런 분위기가 되는구나! 실제로 7주 +79일이 넘는 긴 우주 여행을 하고 돌아온 느낌이다. 편안한 지구의 녹색빛! 내주변의 소소한 것들에 대한 사랑과 책임을 깨우쳐주는 ...,,,,,,,,,,,
1567,재밌게 봤는데 평점이 났네..,,,,,,,,,,,
1568,좀 더 극적인거를 생각했지만,,,,,,,,,,,
1569,없는걸 찾지말고 있는걸 소중이 여기자. 소중한사람들과의 시간을 쌓기에도 인생은 너무나도 짧다. 올해본 영화중에 최고다.,,,,,,,,,,,
1570,이 넓은 우주에 아무것도 없는게 아니라 아무것도 없는것처럼 느껴질만큼 넓은것임을.. 그리고 그 가운데 우리가 있다,,,,,,,,,,,
1571,미래에 닥칠 일을 피하려 노력하지말고 그냥 현재만 보고 잘 살아라는 따끔한 메시지,,,,,,,,,,,
1572,꽤나 괜찮은 영화라는 평에 둘러본 우주. 광할한 우주가 그렇게나 답답하게 느껴졌던 시간 속,,,,,,,,,,,
1573,우주로 실존주의 철학을 풀어낸것같았다. 마지막 감상 없이 현실을 직시하는걸로 끝났으면 더 좋았을것같다는 아쉬움이 남는다.,,,,,,,,,,,
1574,기생충이 이걸 어떻게 이긴지 모르겠다 진짜로 단언컨대 사대주의가 아니고 애드 아스트라 > 1917 > 기생충,,,,,,,,,,,
1575,기존 우주영화라기 보다는 한 사람의 인생,,,,,,,,,,,
1576,절에 갔다 온 거 같은,,,,,,,,,,,
1577,결말의 메시지를 위해 사용한 주제가 엄청난 스케일의 우주라니. 노력과 상상력에 박수를. 근데 욕심이 과했다고 본다. 좀 덜어냈다면 좋았을듯,,,,,,,,,,,
1578,인간의 내면이라는 주제를 우주라는 광활한 소재에 담아낸 영화. 연기도 훌륭하고 주제 전달력도 있지만 표면적인 스토리의 개연성은 납득하기 어렵다.,,,,,,,,,,,
1579,상당히 철학적이면도 영적인 영화다.창조의 이유를 깨달았다고 해도 과언이 아니다.,,,,,,,,,,,
1580,왜 사는지? 어떻게 살아야하는지 그 해답에 가까운 이야기입니다.,,,,,,,,,,,
1581,희망이 있다. 전화하기,,,,,,,,,,,
1582,우주는 배경일 뿐인 영화. 나는 매튜 매커너히가 우주 관련 영화로는 최고라고 생각한다. 애드 아스트라 보면서 뭔가가 있길바라며 끝까지 봤지만 결국 별얘기 아니었다. 브래드피트는 우주가 아닌 인간에 관심이 많은 듯하다...,,,,,,,,,,,
1583,각본가가 그래비티에 깊은 감동을 받은 나머지 티나게 베껴버림. 그래비티는 고급스러운 은유로 영화를 구성했다면 이건 국도 밥도 아니야.... 마지막 주인공이 삶의 의욕을 되찾으며 끝나는 것 까지 너무 똑같아서 각본가가...,,,,,,,,,,,
1584,우주는 광대하고 분명 우리가 아닌 다른 생명체가 존재 할 것이다. 하지만 굳이 우리가 그들을 찾아야 할까? 그들은 신이 아닌 말그대로 우리와 같은 우주에 사는 생명체일뿐이다. 우리에겐 그들이 외계인이고 그들에게는 우...,,,,,,,,,,,
1585,연차가 있어야 재밌게 볼 영화,,,,,,,,,,,
1586,결국 삶에서 소중한건 멀리 있는 게 아닌 지금 이순간 내 주변의 것들이라는 걸 깨우쳐주는 아름다운 영화,,,,,,,,,,,
1587,,,,,,,,,,,,
1588,기대없이 봤는데 수작이었네요~ 삶에 대해 생각하게 만드는.. 브래드피트 내면연기도 넘 인상적이었어요~!,,,,,,,,,,,
1589,내면 깊은 곳에 자리잡은 상처.버림 받았다는 트라우마와존재 자체를 거절 당했다는 아픔을 타인과의 유대 없이철저히 홀로임을 자처함으로써 애써 외면한 한 남자.그것을 극복할 수 있는 방법은 결국 함께 하며,,,,,,,,,,,
1590,인간의 내면은 우주보다 깊다,,,,,,,,,,,
1591,2019년 최고 영화다,,,,,,,,,,,
1592,지옥의 묵시록이 생각나는 영화...,,,,,,,,,,,
1593,작품성은 훌륭할지 모르나 흥행성에서는 많이 떨어진다,,,,,,,,,,,
1594,한국영화는 재미없다 그저 킬링타임 그 이상도 이하도 아니다.,,,,,,,,,,,
1595,좋은대사가 많음 영화 자체는 별로다.,,,,,,,,,,,
1596,그래비티+인터스텔라=애드아스트라는 개오바고그래비티랑 인터스텔라 두 영화랑 완전 다른 장르그냥 퍼스트맨이나 마션정도되는 영화임ㅋ재미는 떨어지는 편이고 의미를 찾기엔 2시간 동안 지루한편재미없는건 아니지만 평점들 남긴것...,,,,,,,,,,,
1597,전 좀 따분했어요 ㅠ...미루다가 겨우봤네...완주가 어려웠음.따분 따분,,,,,,,,,,,
1598,우주 소재 영화 좋아하면 무조건 보세요.,,,,,,,,,,,
1599,인생의 해답을 찾기위해 정말 멀리도 간다..,,,,,,,,,,,
1600,이건 영화관에서 봐야되는 영화다.집에서 보면 스킵하게됨..꾸역꾸역보게 됐네 오랜만에.. 보다가 잠들고영화에서 어떠한 이유를 찾아 볼수 없다. 메시지는 조금 알것 같다. 현실을..,,,,,,,,,,,
1601,힘을 뺀 브래드피트의 연기는 처음 보는듯..  미쳤다 미쳐쓰~,,,,,,,,,,,
1602,다 좋은데 조금 지루하다..  하고싶은 메시지는 잘 전달 됐지만 개인적으로 좀 지루했다..,,,,,,,,,,,
1603,지금의 가까운 모든 것들을 사랑하자. 인류가 당도해야 할 종착역은 저 먼 우주에 있는 것이 아니라,,,,,,,,,,,
1604,우주 영화는 기본은 먹고 시작하지만 이건 결말이 너무 OO이라~혜왕성을 택시타고 갔다오듯 가네~올때도 대충오고 ~하지만 우주여행 재밌게 봤습니다,,,,,,,,,,,
1605,빵길이형이 다했네,,,,,,,,,,,
1606,Final언카운터(mono****)// 인터스텔라의 2/1이면 너무 욕심인데..? 2/1이면 두 배잖여;; 인스보다 한....70%? 플마 5%정도?,,,,,,,,,,,
1607,이 영화에서 우주는 그냥 도구일뿐...인간의 중요한 가치는 멀지 않은 곳에 있다. 단지 모르고 있을뿐.재밌게 봤습니다.,,,,,,,,,,,
1608,뭔가 에스에프적인 요소라던가 액션 등 흥미위주를 생각하고 보면 개지루하고 재미없는 영화. 드라마적인 요소를 본다면 나름 괜찮은 영화. 그러나 내 취향은 아니라 지겨워 죽는줄..,,,,,,,,,,,
1609,이미 한국에도 있었다. 남극일기! (제임스 그레이 감독의 전작 '잃어버린 도시 Z'의 연장선),,,,,,,,,,,
1610,아.... 너무 좋아....,,,,,,,,,,,
1611,,,,,,,,,,,,
1612,해적 - 달로 간 사나이들,,,,,,,,,,,
1613,아오.. 지루해 서론 조올라게 기네 ; 레알 분노의질주 함더 보는게 더 재밋을듯 ,,,,,,,,,,,
1614,성인남성의 성장물을 우주 배경으로 포장한 평작. 아빠찾아 45억광년을 여행한 50대남성의 고뇌가 너무 클리셰적이라 엔딩까지 전체적으로 심심했다. 다만 우주의 광활함과 우주선의 생활은 다른 영화보다 리얼감을 선사했다....,,,,,,,,,,,
1615,아빠찾아 헤매이는 원더키디 실사판,,,,,,,,,,,
1616,우주는 배경일뿐 인간의 내면,,,,,,,,,,,
1617,브래트피트의 원맨쇼.,,,,,,,,,,,
1618,인터스텔라 처럼 흥미로운 소재가 아니라현실적인 우주여행에 대한 이야기인데 아버지에 대한 결말이 와닿지 않고 개연성도 별로  해적이랑 원숭이 써지도 ㅡㅡ 하지만 브래드 연기내공은 역시 굿,,,,,,,,,,,
1619,어려워 어려워 너무 어려워전달하는 메시지가 뭔지,,,,,,,,,,,
1620,인터스텔라나 그래비티는 보면 바로 또보고 싶가는 생각이드는데 이건 딱히..,,,,,,,,,,,
1621,SF를 가장한 드라마다.메시지를 읽자.,,,,,,,,,,,
1622,영화에서 전달하고자 하는  주제는 아니지만 외계지적생명체의 존재를 강하게 믿고 있는 한사람으로써 조금 의도적이지 않나 하는 생각이 드는 영화임! 재미도 있었고 꽤나 괜찮은 영화인거 같지만의심과 실망을 함께 주는 영화...,,,,,,,,,,,
1623,제가 액션영화나 오락영화를 좋아해서 재미없게 느껴지는건지 진심으로 지루했습니다. 주연의 연기는 좋았지만 나머지는 꽝입니다. 어떻게 이게 평점이 8점대인지 이해가 안됩니다.장르가 sf,,,,,,,,,,,
1624,이런 영화는 조용히 혼자서 재방*5해도 됨,,,,,,,,,,,
1625,의미없는 삶은 없다 ^^ 진정 소중한 사람과 존재들을 알라~,,,,,,,,,,,
1626,없는 것을 찾지 말고 눈 앞에 있는 걸 보자... 소중한 것들을 위해 살기,,,,,,,,,,,
1627,너무도 우아하지만... 그 속에서 해매이다 현실로 돌아올 수 없을지도 모른다는 생각마저 드는 기나긴 꿈을 꾸다 간신히 눈을 뜬 기분,,,,,,,,,,,
1628,혼자가 편하다고 생각했었다. 사실 나는 제대로 혼자인 적이 거의 없었다는 것을 깨달았다. 운이 좋게도 혼자여도 혼자가 아니었다는 것을 알았다. 나도 누군가의 짐을 덜어주는 사람이 되야겠다.,,,,,,,,,,,
1629,너무 좋은 영화였다.피트의 연기는 정말 말이필요 없을 정도로 훌륭하다.스토리는 또 어떻고...,,,,,,,,,,,
1630,우주 영화는 항상 옳다,,,,,,,,,,,
1631,삶에 대해,,,,,,,,,,,
1632,이를테면 별과 별 사이에 있는 것은 어둠이 아니라 거리일 것이다. 이 영화는 거리를 이해하는 영화라고도 할 수 있을 것이다. 별에 닿는 여정은 가득 찬 어둠을 헤쳐가는 역경일수도 있지만 과감히 축약될 수 있는 것이기...,,,,,,,,,,,
1633,브래드 피트의 간만에 본 절제된 연기는 영화분위기를 고조시켰다. 내용은 미묘하다. 많은 메시지를 담은듯한 영화지만 워낙 모호하고 복잡하여 관객들에게 과연 잘전달이 되었을지는 모르겠다.,,,,,,,,,,,
1634,감독이 전하고 싶은 얘기는 잘 알겠는데 스토리의 개연성이 좀 아쉬움. SF장르로서의 리얼리티도 많이 떨어지는 편. 브래드피트의 연기가 영화를 살린 듯. 화면과 음악은 고독한 우주를 잘 나타내었다.,,,,,,,,,,,
1635,너무 훌륭하다.,,,,,,,,,,,
1636,개인의 서사는 좋고 와닿는 면도 있었지만 사건 전개의 개연성이 허술한 지점들에서 몰입이 약간 어려웠다. 그래도 볼만했고 배우의 연기가 압권.,,,,,,,,,,,
1637,불면증 치료제.,,,,,,,,,,,
1638,굳이 목숨 걸거나 우주 여행 하지 않아도 알게 되는 것들을 참 힘들게 깨달은 피트형. 스토리도 볼거리도 없는데 자아성찰하는 과정이나 결말 조차 너무 뻔하고 익숙하다. 주인공의 케릭터나 갈등 조차도 너무나 흔해 빠졌다...,,,,,,,,,,,
1639,브레드 피트의 내면 연기와 해왕성의 아름다운 절경을 본 것만으로도 인터스텔라와 함께 내 생애 최고의 SF영화가 되었다.,,,,,,,,,,,
1640,오락영화는 절대 아니고,,,,,,,,,,,
1641,뭔가 심오하고 인간의 심리적인 면을 다루려고 한거 같은데 그걸 너무 멋부리며 나 심오한 연기한다!!하고 외치는 느낌,,,,,,,,,,,
1642,박평식 스타일 평점 남긴다 : 미친아빠 찾아나선 평정심 최강 아들이 철학자가 되었다. (별 점수 4개),,,,,,,,,,,
1643,무겁다. 그러나 홀린듯이 보았다.,,,,,,,,,,,
1644,이제 소중한 것에 집중하며 살아야 한다. 내 옆에 있는 가족이이 광활한 우주의 중심이니까.,,,,,,,,,,,
1645,경이로운 우주와 여운 남는 잔잔한 서사. 말로 표현하지 못한 긴 여정을 배우의 표정으로 보였다.,,,,,,,,,,,
1646,스토리 서사 구조가 지옥의 묵시록과 닮았다. 하지만 결말은 보다 희망적이고 현실적이어서 마음이 편했다. 따분하다고 욕하지 말고 자극과 쾌락에 중독된 뇌를 씻어낸다는 마음으로 이런 영화도 감상하고 문학 작품도 읽으면서...,,,,,,,,,,,
1647,영화를 보는 내내 브래드 피트의 감정이 전달되었다. 공허했다. 결핍이 있던 그의 공허가 와 닿는다. 아버지를 닮기 싫어하던 아들은 아버지와 닮아 있다. 아버지와의 조우로 그는 답을 찾은걸까.,,,,,,,,,,,
1648,그냥 미래의 우리의 삶이 될수있는 영화인것 같다. 미래의 실제 모습이랄까. 블록버스터 할리우드 영화느낌보다는 참.. 말할수없는 아름다운 영화라고 평하고싶다.,,,,,,,,,,,
1649,인간은 타인에게 자신을 인정받고 이해받고 싶어하지만,,,,,,,,,,,
1650,조금 밋밋해서 졸렸지만 그런대로 볼만은 함요,,,,,,,,,,,
1651,단순한 우주영화가 아닙니다 좋습니다,,,,,,,,,,,
1652,도입부에 그래비티 스타일의 씬은 아찔하고 자극을 줘서 좋았다. 브래드 피트의 연기는 흠잡을 데 없이 좋았으나,,,,,,,,,,,
1653,브래드피트의 자연스러운연기 좋음,,,,,,,,,,,
1654,앞으로의 인생을 한 번 생각하게 해주는 영화.,,,,,,,,,,,
1655,브래드피트는 우주에서도 먹혔다잔잔함과 긴장감 적당한 멋진 액션씬 인간의 내면을 잘 느낄수있었다,,,,,,,,,,,
1656,차분하고 담담하게 달로 가는 것이 상업화 되어 있고,,,,,,,,,,,
1657,나는 좀 지루했다 흑흑흑,,,,,,,,,,,
1658,다 재미잇네요 시간가는줄 모르겠어요,,,,,,,,,,,
1659,지금껏 봤던 SF영화를 뒤섞은 스토리에 이야기 전개가 매끄럽지 않다.,,,,,,,,,,,
1660,서구의 고전적인 가치관들이 많이 들어있는 영화.,,,,,,,,,,,
1661,브래드 피트의 인물역할을 잘 연기했습니다,,,,,,,,,,,
1662,역시 제임스그레이의 영화다. 보이지도 오지도 않은 미래와 희망 때문에 지금을 낭비하지마라.공존하며 살아라.사랑해라.개인적 욕심만 추구하는 삶은  곧 혼자의 삶이다.,,,,,,,,,,,
1663,와....,,,,,,,,,,,
1664,해왕성까지 다녀 올 가치가 충분했다. 아버지는 끝내 찾지 못한 것을 로이는 찾아 낼 수 있었으니,,,,,,,,,,,
1665,화면에 빠져들것같아여어어어,,,,,,,,,,,
1666,SF 액션 영화를 기대하면 실망할 수 있음. 주변의 소중한 것들을 잊지 말라는 드라마 영화로서는 괜찮음.,,,,,,,,,,,
1667,빵형~,,,,,,,,,,,
1668,참신한 우주소재와 브래드피트의 조합,,,,,,,,,,,
1669,좋았으나 마지막에 관객을 믿지 못해 진부한 영화가 되었다,,,,,,,,,,,
1670,심오하고 아름다웠어요,,,,,,,,,,,
1671,호불호는갈리겠지만 난호,,,,,,,,,,,
1672,근원을 찾아 거슬러 올라가 알게 된게 고통이었을지라도,,,,,,,,,,,
1673,누가그랬지 삶이란 한평생이 유년기와 청소년기에 타인으로부터 주입된 가치관,,,,,,,,,,,
1674,영상미는 깔끔하고 좋다. 특히 어두운호수를 지나가는 장면은 남주의 심리를 매우 잘보여주고 있다. 그러나 많은걸 보여주고싶었으나 끝은 미비하며 그걸 이끌어가는 소재도 갑작스럽다. 우주선 철판으로 혜왕성의 고리를 뚫고가...,,,,,,,,,,,
1675,간만에 피트형 잘봣음ㅎㅎㅎ,,,,,,,,,,,
1676,중학생때 스페이스 오딧세이를 처음보았을때의 감동을 다시 느끼게 해 준 영화.우주에 다른 생명체는 또 있을지 몰라도 이것과 같은 영화는 다시 없을것이다.,,,,,,,,,,,
1677,"우주라는 광활한 배경에서 펼쳐지는 ""있을때 잘할껄..""",,,,,,,,,,,
1678,빵오빠의 목소리와 내면연기는 굿이었지만 스토리 플롯이 매우 단순. 역시 sf 영화의 1등은 인터스텔라. 그래도 팬심으로 8점!,,,,,,,,,,,
1679,가끔은 느림의 미학 정적인 영화가 정신건강에 이롭다,,,,,,,,,,,
1680,우주sf장르에 철학적인 요소까지 넣어만든 대작 애드아스트라 세계관도 흥미롭고 엄청 재밌음,,,,,,,,,,,
1681,차분한 주제와 아름다운 영상미,,,,,,,,,,,
1682,브래드 피트의 인생이,,,,,,,,,,,
1683,보기전 스포를 제외한 리뷰들을 보고 불안했고 확실히 아쉬운 부분들이 보였음 하지만 의외로 캐릭터 성격.내면의 상황과 제가 상당히 비슷했고 어린시절 아버지와 떨어져 지낸것도 비슷해서 저도 모르게 캐릭터의 감정선에 몰입...,,,,,,,,,,,
1684,신은브래드를빵으로안만들고인간으로만들었다그 브래드는 핏을더해 배우가된다세상에서제일멋진배우가.그 이름값하는영화표정쩌러~~♡♡,,,,,,,,,,,
1685,너어무 지루한 거 빼고,,,,,,,,,,,
1686,사색적이며 영상미가 좋았습니다.,,,,,,,,,,,
1687,결국 해답을 얻는 깨닫는 영화였는데 볼거 은근 없어서 지루했음 메세지는 좋았음 행성들 잘봤음 예술적,,,,,,,,,,,
1688,워낙 SF광이라 기다리다 관람.. 주관적 평가는 그래비티>인터스텔라>애드아스트라.. 점수로는 그래비티100 기준으로 인터스텔라 98,,,,,,,,,,,
1689,인터스텔라보다 재밋던데,,,,,,,,,,,
1690,브래드 피트를 좋아한다면 무조건 봐야 할 영화,,,,,,,,,,,
1691,없는 것을 찾느라 있는 것을 보지 못했다..단순한 우주영화가 아닌 철학이 많이 담겨있어요.보이지 않는(과거 혹은 미래)것에 대한 집착과 미련 걱정들 보다 보이는(현재)것들에 집중하라는 것.다시금 소중한 것들에 대해 ...,,,,,,,,,,,
1692,대박이다 재미없어서  별한개로 표시해서 댓글 달았는데 다른사람 아이디로는 보이지가 않는다 본인 아이디로만 로그인해야 본인 댓글이 보인다이게 말로만 듣던 댓글 조작이구나,,,,,,,,,,,
1693,나쁘지 않았으나 영화 플레이 시간이 엄청나게 길게 느껴졌다. 3시간 반은 되는줄 알았는데 나와보니 시간이 얼마 안가있었음.,,,,,,,,,,,
1694,너무 궁금했는데..너무 재밌게 봤어요,,,,,,,,,,,
1695,재밌었다...브래드 연기 훌륭했고...극장에서 내리기전에 보고 오길 잘했다는 생각..,,,,,,,,,,,
1696,비현실적이고. 뭔가 새롭지만 소란스럽지 않은 영화가 보고싶었는데 딱 그런영화였어요. 10대때 봤다면 감동이 컸겠지만 30대가 감동하기엔 소재가 다소 진부한 느낌은 있네요.,,,,,,,,,,,
1697,그래비티와는 또 다른 색감으로 매혹적이고 아름답다,,,,,,,,,,,
1698,팝콘이랑 콜라를 항상 큰거로 먹는편인데.. 팝콘 반도 못먹음.. 영화가 너무 조용해서....ㅋㅋㅋㅋ 팝콘 녹여먹기는 처음인듯ㅋㅋㅋ,,,,,,,,,,,
1699,주인공의 감정선을 잘 그려냈음,,,,,,,,,,,
1700,피트형 최근 개봉 2작품 다 만점입니다.,,,,,,,,,,,
1701,SF 우주영화를 바라고 갔지만 자기성찰영화가 기다리고 있었다.,,,,,,,,,,,
1702,우주 ASMR ,,,,,,,,,,,
1703,유를 찾으러 갔지만 무를 발견하는 영화.,,,,,,,,,,,
1704,많은 생각을 하게되는 영화,,,,,,,,,,,
1705,조금은 어려웠던..  중간에 한번 취침했음..,,,,,,,,,,,
1706,심야영화로는 비추,,,,,,,,,,,
1707,빵형은 돈이 남으면 태우던지 불우 이웃에 기부하세요. 걍 코스모스같은 다큐멘터리를 찍지 그랬어요. 불면증인데 깜깜한 스크린 앞에서 좋은 음악과 꿀잠 잤습니다.,,,,,,,,,,,
1708,무엇을 전달하려는지는 알겠지만 템포가 조금 느린듯 하다.,,,,,,,,,,,
1709,당신의 곁에는 누가 있나요?,,,,,,,,,,,
1710,잔건 사실이다 하지만 우주영화 속에 사회를 담고있다 종종 이해할수없는 내용과 의문점을 가지는 장면들이 있지만 나쁘진 않다,,,,,,,,,,,
1711,영상미랑 연출은 좋았는데 스토리가 별로 와닿는 게 없었다 공감도 별로 안되고.. 인터스텔라는 아니라고 본다 그냥 로이는 돌아와서 살고 싶어졌다고 했는데 음 별로 감정선이 공감 안된다..,,,,,,,,,,,
1712,예고편을 좀만 더 잔잔하게 만들었으면 다른걸 기대하고 가지 않았을텐데 생각한것과 좀 많이 달랐음.,,,,,,,,,,,
1713,우주여행을 배경으로 한 자아성찰 영화. 영화관에서 사색하고 왔어요.,,,,,,,,,,,
1714,I still love you,,,,,,,,,,,
1715,배경은 끝없는 우주로의 항해이지만 포커스는 브래드피트의 내레이션을 따라 인간의 내면으로 들어간다,,,,,,,,,,,
1716,솔직히 정말 인간적으로 다큐 싫어하면 보지말길....,,,,,,,,,,,
1717,잘봤습니다. 애드 아스트라,,,,,,,,,,,
1718,신과함께 극한직업 엑시트가 재밌었다면 이 영화는 보지 마시길 인터스텔라나 이 영화나 지루하긴 마찬가지인데 인터스텔라만 맹목적으로 빨아댄 이유는? 너도나도 놀란 놀란 하니깐 같이 빨아댄거지?,,,,,,,,,,,
1719,미지의 영역과 지적생명체에 대한 인간의 끊임없는 욕심(?)이 가져다 주는 공허함과 그로 인해 어쩌면 우리가 잊고 있을수도 있는 관계들과 소소한 일상들의 소중함을 우주라는 광활하지만 공허한 배경을 소재로 잘 그려낸듯하...,,,,,,,,,,,
1720,그래비티에서 산드라블록이 중력의힘으로 땅을 밟고 일어섰다면 브래드피트는 사람의 손을 잡았다,,,,,,,,,,,
1721,우주의 표피를 입은 집착.허무에 대한 드라마,,,,,,,,,,,
1722,신대륙을 발견한 승무원들과 별반 다를것없는 심리상태일것같네요..  생존에대한 위협..  그리고 고독..  고요함..  고향에대한 그리움..,,,,,,,,,,,
1723,브래드 피트의 눈물 한 줄기,,,,,,,,,,,
1724,아 진짜 연기 잘하고.. 영화 끝나고 소름돋았다.. 여운이 장난아님,,,,,,,,,,,
1725,그래비티를 이은 인생영화,,,,,,,,,,,
1726,웰메이드 우주영화. 어쩌면 인터스텔라보다 재밌게 봤던 것 같다!,,,,,,,,,,,
1727,컨택트 재미있게 보셨더라면 추천합니다. 여운이 남는 영화,,,,,,,,,,,
1728,여기있는 1점짜리 평점들 말도 이해가지만,,,,,,,,,,,
1729,주인공의 내면에 깊게 공감했던 것 같다.자신위 흘러넘치는 동요에 휩쓸리면서도 잔잔히 멈춰 서기를 선택한 걸까?,,,,,,,,,,,
